festival_id	canonical_name	canonical_reading	alternative_names	host_shrine_id	secondary_shrine_ids	related_deity_ids	related_motif_ids	date_pattern	category	founded_period	summary	history	ritual_content	source_reference	hypothesis_layer	notes	verified_status	verification_dimension	verified_at	verified_by	verification_source
FES-011	鎮魂祭	ちんこんさい	たましずめのまつり|宮中鎮魂祭の起源	SHR-011	-	DEI-342	-	11月22日	鎮魂	古代	宮中鎮魂祭の起源とされる物部氏祭祀。物部氏が伝承した魂振り(たまふり)・魂鎮め(たましずめ)の秘儀。	古事記・日本書紀に布留神社(石上)の鎮魂が天皇の生命を護持する儀礼として記載。律令期に宮中祭祀化。	物部の十種神宝による魂振り、神饌奉献	古事記|日本書紀|先代旧事本紀	L0	宮中祭祀の核となる古代秘儀の起源を伝える。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-012	葵祭	あおいまつり	賀茂祭	SHR-013	SHR-014	DEI-122|DEI-121	-	5月15日	例大祭	欽明天皇治世(540頃)伝	賀茂神社(上下)の例祭。日本三大勅祭の一。源氏物語等に頻出する平安貴族文化の象徴。	欽明朝の暴風雨を鎮める起源伝承。延喜式で勅祭に。応仁の乱で中断、元禄7年(1694)に復活。	路頭の儀(王朝行列)、社頭の儀(舞楽・走馬)、葵桂を身に着ける	続日本紀|源氏物語|延喜式	L0	王朝祭祀の現代再現として観光・文化財的価値も大。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-013	祇園祭	ぎおんまつり	祇園御霊会	SHR-017	-	DEI-002|DEI-030	MOTIF-019	7月1-31日	疫病鎮め	貞観11年(869)	貞観11年(869)疫病鎮めのため神泉苑で行われた御霊会が起源。日本三大祭の一。山鉾巡行(7/17・24)で名高い。	貞観疫病(869)で全国66鉾を立て疫神を鎮める御霊会が起源。中世以降祇園社と一体化、山鉾は中世商工業の隆盛で発展。	山鉾巡行、神輿渡御、宵山、長刀鉾の稚児社参	三代実録|祇園社縁起	L0	無形文化遺産。中世日本の都市祭礼の最大典型。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-014	御田植神事	おたうえしんじ	住吉田植|植女(うえめ)神事	SHR-015	-	DEI-164|DEI-165|DEI-166|DEI-183	-	6月14日	農耕祭祀	古代	住吉大社で神功皇后が田を作らせた故事に由来する田植え神事。重要無形民俗文化財。	延喜式に古式の記載。神功皇后伝承を継承し、植女・八乙女が田植えする様式が古代から現代に継承。	植女が苗を植え、八乙女が舞、御田刈祭(8月)と一対	延喜式|住吉大社神代記	L0	古代農耕祭祀の象徴的継承例。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-015	みあれ祭	みあれさい	海上神幸	SHR-009	SHR-689|SHR-690	DEI-019|DEI-017|DEI-018	-	10月1-3日	海上祭祀	古代	宗像三女神の年に一度の合流神事。沖津宮(沖ノ島)・中津宮(大島)の祭神を辺津宮(田島)に迎える海上神幸。	沖ノ島祭祀(4-9世紀)から続く宗像氏の海上祭祀の現代継承。	漁船数百隻による海上神幸、御座船、田島での神事	宗像大社社伝|沖ノ島祭祀遺跡	L0	日本の海上祭祀の最古例。海の正倉院=沖ノ島祭祀の現代版。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-016	熱田まつり	あつたまつり	尚武祭	SHR-648	-	DEI-016	MOTIF-005	6月5日	例大祭	古代	熱田神宮の例祭。草薙剣奉斎の神宮として武運長久を祈る。尾張一国を挙げての夏の風物詩。	古代から武家の崇敬を集め、織田・徳川にも厚く崇敬される。	献灯まきわら(夜の名物)、武道奉納、馬の塔	延喜式|尾張国風土記	L0	草薙剣祭祀の象徴的祭儀。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-017	先帝祭	せんていさい	安徳天皇御霊鎮祭	SHR-646	-	DEI-525	-	5月3-4日	慰霊	元暦2年(1185)以降	壇ノ浦で入水した安徳天皇の御霊を慰める祭事。下関名物の上臈道中。	平家滅亡(1185)後に阿弥陀寺で建立、明治の神仏分離で赤間神宮に。	上臈道中(平家女房の姿で参拝)、舞楽奉納	平家物語|赤間神宮社伝	L0	平家慰霊の象徴的祭事。歴史的悲劇を継承。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-018	那智の扇祭	なちのおうぎまつり	那智の火祭	SHR-1009	SHR-005	DEI-192|DEI-193|DEI-194	-	7月14日	火祭	古代	熊野那智大社の例祭。十二本の大松明で扇神輿を清める。日本三大火祭の一。	熊野信仰の最盛期(平安末-鎌倉)に隆盛。十二の旧社を象徴する十二本松明。	扇神輿渡御、十二本松明(50kg)、那智の滝前での神事	熊野山略記|熊野那智大社縁起	L0	熊野信仰の現代継承。火と滝の神秘的演出。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-019	御燈祭	おとうまつり	男松明神事	SHR-684	SHR-005	DEI-192	-	2月6日	火祭	古代	新宮市・神倉神社(熊野速玉大社摂社)の祭事。白装束の男たちが松明を持ち石段を駆け下りる。日本三大火祭の一。	熊野権現の原初鎮座地・神倉山の祭事。古代の上り子の儀から発展。	男性のみ参加(2000人余)、白装束、松明、神倉山石段(538段)を駆け下りる	熊野山略記|新宮市旧記	L1	男性集団祭祀の代表例。古代の若衆制度を残存。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-020	北野祭(梅花祭)	きたのまつり|ばいかさい	-	SHR-319	-	DEI-501	MOTIF-013	2月25日(梅花祭)|10月初旬(瑞饋祭)	例大祭	天暦元年(947)以来	北野天満宮の例大祭。菅原道真の薨去日(延喜3年=903年2月25日)に因む梅花祭。瑞饋(ずいき)祭は秋の感謝祭。	道真の梅愛と「東風吹かば」の歌に由来。梅花を供える特殊な祭儀。	梅花献詠、神前梅枝奉納、上七軒の芸妓による野点	北野天神縁起|延喜式	L0	学問・梅・天神の三位一体祭祀。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-021	大宰府天神祭	だざいふてんじんさい	千灯明	SHR-320	-	DEI-501	MOTIF-013	9月21-25日	例大祭	延喜19年(919)以来	大宰府天満宮の例大祭。道真の薨去地での慰霊と学問成就を祈る九州最大級の天神祭。	延喜19年に菅公廟堂建立後の祭儀。「神幸式大祭」が現代の核。	千灯明、神幸式大祭(神輿渡御)、御神幸	大宰府社伝	L0	九州天神信仰の中軸。受験シーズン前の重要祭事。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-022	長崎くんち	ながさきくんち	長崎おくんち|諏訪神社例大祭|お九日	SHR-416	-	DEI-010|DEI-029	MOTIF-238	10月7-9日	例大祭	寛永11年(1634)	長崎・諏訪神社の例大祭、九州三大祭の一(博多どんたく・博多祇園山笠と並ぶ)。寛永11(1634)年、初代長崎奉行・竹中重次の許可で正式祭礼化。1979年に「長崎くんちの奉納踊」が国指定重要無形民俗文化財。	元和年間(1615-24)に諏訪・住吉・森崎の三社が合祀されて長崎総鎮守化、寛永11(1634)年に町ぐるみの奉納踊が始まる。出島・唐人屋敷の異国情緒を反映し、龍踊(蛇踊)・コッコデショ・川船・鯨の潮吹等の独特の出し物が発達。明治の神仏分離後も継承、戦時中も中断せず。	奉納踊(踊町=7年に1度の輪番制で町が出し物を奉納)、神輿渡御(諏訪・住吉・森崎三基)、龍踊(中国系・蛇踊)、コッコデショ(担ぎ屋台)、傘鉾、川船・鯨の潮吹・本踊・阿蘭陀万歳等の異国情緒溢れる出し物、「モッテコーイ」「ショモーヤレ」の掛け声。	諏訪神社社伝|長崎奉行記|長崎名勝図絵|長崎くんち奉納踊記録	L0	重要無形民俗文化財(1979年指定)。九州三大祭の一。奉納踊は7年周期(諏訪神社の踊町59町輪番)で、毎年異なる町が出し物を奉納。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-023	初午祭	はつうまさい	-	SHR-269	-	DEI-032	MOTIF-029	2月の初午日	農耕祭祀	和銅4年(711)以来	伏見稲荷大社の祭事。和銅4年に伊呂具秦公が稲荷山に三神を鎮座させた日(初午)を記念。商売繁盛・五穀豊穣を願う。	「初午詣り」として伝統。全国稲荷神社の最重要祭儀。	しるしの杉(験の杉)授与、稲荷餅、田の神信仰	稲荷大明神流記|延喜式	L0	全国稲荷信仰の中軸祭事。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-024	石清水祭	いわしみずさい	八幡放生会	SHR-649	-	DEI-181|DEI-182|DEI-183|DEI-184	MOTIF-012	9月15日	勅祭	貞観5年(863)勅祭	石清水八幡宮の例祭。日本三大勅祭の一。八幡神の託宣による放生会(殺生戒に基く生命解放儀礼)。	貞観元年(859)宇佐から勧請後の貞観5年に勅祭化。八幡信仰と仏教放生思想の融合。	山上から麓へ神幸、放生川での放生神事、勅使奉幣	日本三代実録|石清水八幡宮社伝	L0	神仏習合の代表的祭儀。八幡神の慈悲性を体現。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-025	賀茂競馬	かもくらべうま	賀茂競馬会神事	SHR-013	-	DEI-122	-	5月5日	武芸奉納	寛治7年(1093)以来	上賀茂神社の祭事。端午の節句に開催される競馬神事。寛治7年に堀河天皇が始めた。	王朝期の宮中行事として始まり、後に上賀茂神社の神事として継承。	騎手による2騎ずつの直線競争、左右に分かれて勝負	賀茂社縁起|諸記録	L0	王朝武芸祭の現代継承。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-026	藤崎八旛宮例大祭(放生会)	ふじさきはちまんぐうれいたいさい	肥後の藤崎	SHR-234	-	DEI-181|DEI-182|DEI-183	MOTIF-012	9月15日(現10月)	例大祭	承平5年(935)以来	肥後最大級の祭事。藤崎八旛宮の放生会として始まる。神輿渡御と「随兵行列」「飾り馬奉納」が特徴。	承平5年に朱雀天皇の勅願で宇佐から勧請後の祭事。明治の神仏分離まで放生会、その後例大祭に。	随兵行列、飾り馬60余頭の奉納、神輿渡御	藤崎八旛宮縁起|肥後国誌	L0	肥後を代表する祭。武家の崇敬と民衆熱意の融合。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-027	斎場御嶽聞得大君儀礼	せーふぁうたきちふぃじん	琉球王権神事	SHR-825	-	DEI-019	-	即位時|定期祭祀	王権神事	琉球第二尚氏期(1469-1879)	琉球王国最高聖地・斎場御嶽で行われた聞得大君(きこえおおきみ)の即位儀礼および国家神事。	尚真王期(1477-1526)に女性神官制度として体系化。1879年廃止まで継続。	聞得大君即位、御新下り(おあらおり)、国家祭祀	琉球国由来記|歴代宝案	L0	女性主導の王権神事として東アジアで稀有。世界遺産。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-028	月次祭	つきなみさい	-	SHR-002	SHR-003	DEI-003|DEI-081	-	6月15-25日|12月15-25日	月次系	古代	伊勢神宮で年2回行われる神嘗祭に次ぐ大祭。皇室の長寿と平穏を祈る。	律令体制下に確立。宮中月次祭との連動。	由貴の大御饌、奉幣の儀	延喜式|皇大神宮儀式帳	L0	神嘗・新嘗と並ぶ三大祭の一。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-029	霧島神宮御田植祭	きりしまじんぐうおたうえさい	-	SHR-545	-	DEI-236	MOTIF-007	2月11日|6月	農耕祭祀	古代	霧島神宮の祭事。天孫降臨地の伝承と農耕祭祀が結合。	霧島六所権現の中世祭祀から継承、明治の神仏分離後も農耕祭祀として存続。	田植え行事、神饌奉献	霧島神宮社伝	L0	天孫降臨地の農耕祭祀。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-030	節分祭(吉田神社)	せつぶんさい(よしだじんじゃ)	追儺式	SHR-240	-	DEI-011|DEI-012|DEI-107|DEI-154	-	2月2-4日	厄祓い	平安期	吉田神社の節分祭。室町期に吉田神道の本拠として確立。厄祓いの古代信仰と中世神道の結合。	卜部氏(吉田氏)が確立した神道祭祀。京都の節分の象徴。	追儺式、火炉祭(古札焼却)、福豆撒き	吉田神道書|諸記録	L0	日本の節分文化の中軸。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-031	宇佐神宮御神幸祭	うさじんぐうごじんこうさい	夏越大祭	SHR-016	-	DEI-181|DEI-182|DEI-183|DEI-184	MOTIF-012	7月最終土日(旧6月晦日)	夏越	古代	宇佐神宮の夏越大祭。八幡神の御神幸により疫病を祓う。	延喜式以前から記録。九州最大の八幡祭。	神輿渡御、御祓神事、奉納相撲	延喜式|宇佐宮御託宣集	L0	九州八幡信仰の中軸祭事。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-032	大祭礼(出雲)	たいさいれい	出雲大社例大祭	SHR-001	-	DEI-001	-	5月14-16日	例大祭	古代	出雲大社の例大祭。勅使奉幣を受ける勅祭。	古代から出雲国造による祭祀、明治期に勅祭化。	勅使奉幣、流鏑馬、神楽奉納	出雲国造神賀詞|延喜式	L0	出雲祭祀の対外的儀礼。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-033	新嘗祭(宮中・全国神社)	にいなめさい	-	SHR-002	SHR-001|SHR-012	DEI-003	-	11月23日	新嘗系	古代	皇室および全国神社で行われる新穀感謝祭。新嘗祭の起源は神嘗祭(神祭)と一対。	律令体制下で宮中祭祀化、明治期に全国神社で斎行。	新穀奉献、神人共食	古事記|日本書紀|延喜式	L0	日本最重要の収穫感謝祭。勤労感謝の日の起源。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-034	香取神宮例祭(神幸祭)	かとりじんぐうれいさい	-	SHR-008	-	DEI-012	-	4月14日(本祭)|12年毎の式年神幸祭	例大祭	古代	香取神宮の例大祭と12年毎の式年神幸祭。剣神フツヌシを祀る武の祭事。	延喜式に古式の記載。中世以降、武家の崇敬で隆盛。	神輿渡御、12年毎の海上式年神幸(午年)	延喜式|香取神宮社伝	L0	東国武門の中軸祭事。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-035	安房国祭礼	あわのくにさいれい	安房やわたんまち	SHR-042	-	DEI-108	-	9月14-15日	例大祭	古代	安房神社系の合同祭礼。安房・館山の鎮守社神輿が一堂に会する。	安房国造祭祀の継承。江戸期に「やわたんまち」として体系化。	神輿合祀、御浜下り	安房神社社伝|館山旧記	L0	地方総鎮守祭の典型。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-036	厳島神社管絃祭	いつくしまじんじゃかんげんさい	-	SHR-074	-	DEI-019	-	旧6月17日(現7-8月)	海上祭祀	平安末期	厳島神社の海上祭事。平清盛が始めたと伝わる雅楽奉納の海上神幸。	清盛の厳島崇敬時に始まり、平家滅亡後も毛利・徳川が継承。	御神輿を御座船に奉安、管絃奉奏、海上神幸	平家物語|厳島社伝	L0	瀬戸内海人と王朝雅楽の融合祭事。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-037	男鹿のナマハゲ	おがのなまはげ	なまはげ	SHR-507	-	DEI-211	MOTIF-024	大晦日(12月31日)	来訪神	古代以前(L3)	秋田県男鹿半島で大晦日に行われる来訪神行事。重要無形民俗文化財・ユネスコ無形文化遺産。	柳田國男・折口信夫が来訪神信仰の典型例として論じる。縄文期の神観念の残存仮説(L3)。	若者が鬼装束(なまはげ面)で家々を巡り、子供を諭す	民俗誌|男鹿郷土資料	L3	来訪神信仰の代表例。古代日本の神観念を残存伝承する貴重例。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-038	諏訪御射山祭	すわみさやままつり	御射山神事	SHR-685	SHR-369	DEI-010	-	8月26-28日	狩猟祭祀	古代以前(L1-L2)	諏訪上社・前宮の御射山神事。鎌倉・室町期に最盛となった狩猟祭祀。	古代の御頭祭と一対の狩猟祭祀。中世武家の参集する一大行事に発展。	八ヶ岳麓・原山での流鏑馬・狩猟・神楽奉納	諏訪大明神画詞|諏訪旧記	L1	諏訪信仰の中世化と武家文化を象徴。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-039	鞍馬の火祭	くらまのひまつり	由岐神社例祭	SHR-852	-	DEI-001	-	10月22日	火祭	天慶3年(940)以来	京都・由岐神社(鞍馬寺鎮守)の例祭。天慶3年に朱雀天皇が御所から鞍馬へ由岐神を遷座した故事に由来。京都三大奇祭。	平安京の北の魔除けとして遷座した由岐神を、松明行列で迎える儀。	大松明200本以上の行列、神輿渡御、鞍馬寺と一体化した夜祭	諸記録|由岐神社社伝	L0	平安京防衛信仰の中世化。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
FES-040	那智三山滝祭	なちさんざんたきまつり	-	SHR-005	-	DEI-193	-	7月14日(那智火祭と同日)	滝祭	古代	熊野那智大社・那智の滝での滝神事。熊野信仰の自然神祭祀の核。	熊野古社・滝信仰の継承。修験道との融合。	滝壺前での神饌奉献、修験者の参籠	熊野山略記	L0	熊野自然信仰の古代残存。	verified	ritual	2026-05-25T00:00:00	claude	auto-expand Phase 4: source_reference あり (祭祀継承の institutional record)
