master_id	canonical_name	prefecture	address	current_coordinates	current_accuracy	rank_ancient	rank_modern	status
SHR-013	賀茂別雷神社	京都府	京都市北区上賀茂本山339	35.0598,135.7530	approximate	名神大社|山城国一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-014	賀茂御祖神社	京都府	京都市左京区下鴨泉川町59	35.0392,135.7727	approximate	名神大社|山城国一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-015	住吉大社	大阪府	大阪市住吉区住吉2-9-89	34.6128,135.4938	approximate	名神大社|摂津国一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-016	宇佐神宮	大分県	宇佐市南宇佐2859	33.5258,131.3756	approximate	名神大社|豊前国一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-017	八坂神社	京都府	京都市東山区祇園町北側625	35.0036,135.7785	approximate	-	官幣大社|別表神社	VERIFY(approximate)
SHR-018	氷川神社	埼玉県	さいたま市大宮区高鼻町1-407	35.9173,139.6296	approximate	名神大社|武蔵国一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-019	神田明神	東京都	千代田区外神田2-16-2	35.7016,139.7681	approximate	-	別表神社	VERIFY(approximate)
SHR-020	美保神社	島根県	松江市美保関町美保関608	35.5639,133.3208	approximate	名神大社	国幣中社	VERIFY(approximate)
SHR-021	神魂神社	島根県	松江市大庭町563	35.4444,133.0972	approximate	-	別表神社	VERIFY(approximate)
SHR-022	日御碕神社	島根県	出雲市大社町日御碕455	35.4344,132.6310	approximate	式内社	国幣小社	VERIFY(approximate)
SHR-023	佐太神社	島根県	松江市鹿島町佐陀宮内73	35.5400,132.9925	approximate	式内社|出雲国二宮	国幣小社|別表神社	VERIFY(approximate)
SHR-024	八重垣神社	島根県	松江市佐草町227	35.4458,133.0731	approximate	式内社	-	VERIFY(approximate)
SHR-025	須佐神社	島根県	出雲市佐田町須佐730	35.2906,132.7283	approximate	式内社|出雲国一宮候補	国幣小社	VERIFY(approximate)
SHR-026	須我神社	島根県	雲南市大東町須賀260	35.3836,133.0639	approximate	式内社	-	VERIFY(approximate)
SHR-027	揖夜神社	島根県	松江市東出雲町揖屋2229	35.4569,133.1044	approximate	名神大社	-	VERIFY(approximate)
SHR-028	万九千神社	島根県	出雲市斐川町併川258	35.3819,132.7406	approximate	式内社	-	VERIFY(approximate)
SHR-032	枚岡神社	大阪府	大阪府東大阪市出雲井町	34.6606,135.6486	approximate	名神大社	河内一宮	VERIFY(approximate)
SHR-033	大鳥大社	大阪府	大阪府堺市西区鳳北町	34.5413,135.4564	approximate	名神大社	和泉一宮	VERIFY(approximate)
SHR-034	真清田神社	愛知県	愛知県一宮市真清田	35.3045,136.802	approximate	名神大社	尾張一宮	VERIFY(approximate)
SHR-035	砥鹿神社	愛知県	愛知県豊川市一宮町		-	-	三河一宮	NEEDED
SHR-036	小国神社	静岡県	静岡県周智郡森町一宮		-	-	遠江一宮	NEEDED
SHR-038	浅間神社	山梨県	山梨県笛吹市		-	-	甲斐一宮	NEEDED
SHR-039	三嶋大社	静岡県	静岡県三島市	35.1248,138.9189	approximate	名神大社	伊豆一宮	VERIFY(approximate)
SHR-040	寒川神社	神奈川県	神奈川県高座郡寒川町		-	-	相模一宮	NEEDED
SHR-042	安房神社	千葉県	千葉県館山市大神宮	34.9089,139.8333	approximate	名神大社	安房一宮	VERIFY(approximate)
SHR-043	玉前神社	千葉県	千葉県長生郡一宮町		-	-	上総一宮	NEEDED
SHR-046	建部大社	滋賀県	滋賀県大津市神領	35.006,135.9088	approximate	名神大社	近江一宮	VERIFY(approximate)
SHR-047	南宮大社	岐阜県	岐阜県不破郡垂井町	35.3744,136.5294	approximate	名神大社	美濃一宮	VERIFY(approximate)
SHR-048	水無神社	岐阜県	岐阜県高山市一之宮町		-	-	飛騨一宮	NEEDED
SHR-050	貫前神社	群馬県	群馬県富岡市	36.2486,138.8631	approximate	名神大社	上野一宮	VERIFY(approximate)
SHR-051	二荒山神社	栃木県	栃木県宇都宮市	36.5617,139.8847	approximate	名神大社	下野一宮	VERIFY(approximate)
SHR-052	鹽竈神社	宮城県	宮城県塩竈市	38.3167,141.0192	approximate	名神大社	陸奥一宮	VERIFY(approximate)
SHR-055	氣比神宮	福井県	福井県敦賀市	35.6556,136.07	approximate	名神大社	越前一宮	VERIFY(approximate)
SHR-057	氣多大社	石川県	石川県羽咋市	36.9456,136.7783	approximate	名神大社	能登一宮	VERIFY(approximate)
SHR-058	気多神社	富山県	富山県高岡市		-	-	越中一宮	NEEDED
SHR-059	彌彦神社	新潟県	新潟県西蒲原郡	37.7067,138.8283	approximate	名神大社	越後一宮	VERIFY(approximate)
SHR-060	度津神社	新潟県	新潟県佐渡市		-	-	佐渡一宮	NEEDED
SHR-061	出雲大神宮	京都府	京都府亀岡市	35.0394,135.5719	approximate	名神大社	丹波一宮	VERIFY(approximate)
SHR-062	籠神社	京都府	京都府宮津市	35.5772,135.1953	approximate	名神大社	丹後一宮	VERIFY(approximate)
SHR-063	出石神社	兵庫県	兵庫県豊岡市	35.4733,134.8739	approximate	名神大社	但馬一宮	VERIFY(approximate)
SHR-064	宇倍神社	鳥取県	鳥取県鳥取市	35.4886,134.2769	approximate	名神大社	因幡一宮	VERIFY(approximate)
SHR-065	倭文神社	鳥取県	鳥取県東伯郡		-	-	伯耆一宮	NEEDED
SHR-067	物部神社	島根県	島根県大田市		-	-	石見一宮	NEEDED
SHR-068	水若酢神社	島根県	島根県隠岐郡	36.2906,133.3208	approximate	名神大社	隠岐一宮	VERIFY(approximate)
SHR-069	伊和神社	兵庫県	兵庫県宍粟市	35.0419,134.5611	approximate	名神大社	播磨一宮	VERIFY(approximate)
SHR-072	吉備津神社	岡山県	岡山県岡山市	34.6706,133.8497	approximate	名神大社	備中一宮	VERIFY(approximate)
SHR-073	吉備津神社(備後)	広島県	広島県福山市		-	-	備後一宮	NEEDED
SHR-074	厳島神社	広島県	広島県廿日市市	34.2959,132.3197	approximate	名神大社	安芸一宮	VERIFY(approximate)
SHR-075	玉祖神社	山口県	山口県防府市		-	-	周防一宮	NEEDED
SHR-076	住吉神社(長門)	山口県	山口県下関市	34.0289,130.9425	approximate	名神大社	長門一宮	VERIFY(approximate)
SHR-077	日前神宮	和歌山県	和歌山県和歌山市	34.2392,135.1722	approximate	名神大社	紀伊一宮	VERIFY(approximate)
SHR-078	國懸神宮	和歌山県	和歌山県和歌山市	34.2392,135.1722	approximate	名神大社	紀伊一宮	VERIFY(approximate)
SHR-079	丹生都比売神社	和歌山県	和歌山県伊都郡	34.2972,135.4197	approximate	名神大社	紀伊一宮	VERIFY(approximate)
SHR-080	伊弉諾神宮	兵庫県	兵庫県淡路市	34.4597,134.8556	approximate	名神大社	淡路一宮	VERIFY(approximate)
SHR-081	大麻比古神社	徳島県	徳島県鳴門市	34.1664,134.5083	approximate	名神大社	阿波一宮	VERIFY(approximate)
SHR-082	田村神社	香川県	香川県高松市	34.2792,134.0353	approximate	名神大社	讃岐一宮	VERIFY(approximate)
SHR-083	大山祇神社	愛媛県	愛媛県今治市大三島	34.2467,133.0033	approximate	名神大社	伊予一宮	VERIFY(approximate)
SHR-084	土佐神社	高知県	高知県高知市	33.5786,133.5697	approximate	名神大社	土佐一宮	VERIFY(approximate)
SHR-085	住吉神社(筑前)	福岡県	福岡県福岡市	33.5869,130.4119	approximate	名神大社	筑前一宮	VERIFY(approximate)
SHR-086	筥崎宮	福岡県	福岡県福岡市	33.6175,130.4258	approximate	名神大社	筑前一宮	VERIFY(approximate)
SHR-087	高良大社	福岡県	福岡県久留米市	33.3119,130.5489	approximate	名神大社	筑後一宮	VERIFY(approximate)
SHR-089	西寒多神社	大分県	大分県大分市		-	-	豊後一宮	NEEDED
SHR-090	千栗八幡宮	佐賀県	佐賀県三養基郡		-	-	肥前一宮	NEEDED
SHR-091	阿蘇神社	熊本県	熊本県阿蘇市	32.9519,131.1175	approximate	名神大社	肥後一宮	VERIFY(approximate)
SHR-092	都農神社	宮崎県	宮崎県児湯郡		-	-	日向一宮	NEEDED
SHR-093	鹿児島神宮	鹿児島県	鹿児島県霧島市	31.7444,130.7589	approximate	名神大社	大隅一宮	VERIFY(approximate)
SHR-094	新田神社	鹿児島県	鹿児島県薩摩川内市		-	-	薩摩一宮	NEEDED
SHR-095	海神神社	長崎県	長崎県対馬市	34.4644,129.3506	approximate	名神大社	対馬一宮	VERIFY(approximate)
SHR-096	天手長男神社	長崎県	長崎県壱岐市	33.7517,129.6878	approximate	名神大社	壱岐一宮	VERIFY(approximate)
SHR-098	鶴岡八幡宮	神奈川県	神奈川県鎌倉市		-	-	-	NEEDED
SHR-101	筥崎八幡	福岡県	福岡県福岡市		-	-	-	NEEDED
SHR-102	大分八幡宮	福岡県	福岡県飯塚市		-	-	-	NEEDED
SHR-103	筑紫野八幡	福岡県	福岡県筑紫野市		-	-	-	NEEDED
SHR-104	古要神社	大分県	大分県宇佐市		-	-	-	NEEDED
SHR-105	薦神社	大分県	大分県中津市		-	-	-	NEEDED
SHR-106	豊前八幡	不明	-		-	-	-	NEEDED
SHR-107	石清水若宮	京都府	京都府八幡市		-	-	-	NEEDED
SHR-108	八幡神社諸地	不明	全国		-	-	-	NEEDED
SHR-109	窪津王子	大阪府	大阪市中央区		-	-	旧無格社	NEEDED
SHR-110	坂口王子	大阪府	大阪市		-	-	旧無格社	NEEDED
SHR-111	郡戸王子	大阪府	大阪市		-	-	旧無格社	NEEDED
SHR-112	上野王子	大阪府	大阪市		-	-	旧無格社	NEEDED
SHR-113	阿倍野王子	大阪府	大阪市阿倍野区		-	-	旧無格社	NEEDED
SHR-114	津守王子	大阪府	大阪市		-	-	旧無格社	NEEDED
SHR-115	境王子	大阪府	堺市		-	-	旧無格社	NEEDED
SHR-116	大鳥居王子	大阪府	堺市		-	-	旧無格社	NEEDED
SHR-117	篠田王子	大阪府	和泉市		-	-	旧無格社	NEEDED
SHR-118	平松王子	大阪府	和泉市		-	-	旧無格社	NEEDED
SHR-119	井ノ口王子	大阪府	和泉市		-	-	旧無格社	NEEDED
SHR-120	池田王子	大阪府	岸和田市		-	-	旧無格社	NEEDED
SHR-121	麻生川王子	大阪府	岸和田市		-	-	旧無格社	NEEDED
SHR-122	近木王子	大阪府	貝塚市		-	-	旧無格社	NEEDED
SHR-123	鞍持王子	大阪府	貝塚市		-	-	旧無格社	NEEDED
SHR-124	鶴原王子	大阪府	泉佐野市		-	-	旧無格社	NEEDED
SHR-125	佐野王子	大阪府	泉佐野市		-	-	旧無格社	NEEDED
SHR-126	籾井王子	大阪府	泉南市		-	-	旧無格社	NEEDED
SHR-127	厩戸王子	大阪府	泉南市		-	-	旧無格社	NEEDED
SHR-128	信達王子	大阪府	泉南市		-	-	旧無格社	NEEDED
SHR-129	山口王子(和泉)	大阪府	阪南市		-	-	旧無格社	NEEDED
SHR-130	雄ノ山王子	大阪府	岬町		-	-	旧無格社	NEEDED
SHR-131	山口王子(紀伊)	和歌山県	和歌山市		-	-	旧無格社	NEEDED
SHR-132	川辺王子	和歌山県	和歌山市		-	-	旧無格社	NEEDED
SHR-133	中山王子	和歌山県	和歌山市		-	-	旧無格社	NEEDED
SHR-134	山崎王子	和歌山県	和歌山市		-	-	旧無格社	NEEDED
SHR-135	松代王子	和歌山県	和歌山市		-	-	旧無格社	NEEDED
SHR-136	菩提房王子	和歌山県	海南市		-	-	旧無格社	NEEDED
SHR-137	祓戸王子	和歌山県	海南市		-	-	旧無格社	NEEDED
SHR-138	藤白王子	和歌山県	海南市		-	-	旧無格社	NEEDED
SHR-139	橘本王子	和歌山県	海南市		-	-	旧無格社	NEEDED
SHR-140	所坂王子	和歌山県	海南市		-	-	旧無格社	NEEDED
SHR-141	一壷王子	和歌山県	海南市		-	-	旧無格社	NEEDED
SHR-142	蕪坂王子	和歌山県	有田市		-	-	旧無格社	NEEDED
SHR-143	山口王子(有田)	和歌山県	有田市		-	-	旧無格社	NEEDED
SHR-144	糸我王子	和歌山県	有田市		-	-	旧無格社	NEEDED
SHR-145	逆川王子	和歌山県	有田市		-	-	旧無格社	NEEDED
SHR-146	久米崎王子	和歌山県	有田川町		-	-	旧無格社	NEEDED
SHR-147	津兼王子	和歌山県	有田川町		-	-	旧無格社	NEEDED
SHR-148	河瀬王子	和歌山県	有田川町		-	-	旧無格社	NEEDED
SHR-149	馬留王子(有田)	和歌山県	有田川町		-	-	旧無格社	NEEDED
SHR-150	沓掛王子	和歌山県	有田川町		-	-	旧無格社	NEEDED
SHR-151	内ノ畑王子	和歌山県	湯浅町		-	-	旧無格社	NEEDED
SHR-152	高田王子	和歌山県	湯浅町		-	-	旧無格社	NEEDED
SHR-153	善童子王子	和歌山県	広川町		-	-	旧無格社	NEEDED
SHR-154	愛徳山王子	和歌山県	広川町		-	-	旧無格社	NEEDED
SHR-155	鹿ヶ瀬王子	和歌山県	広川町		-	-	旧無格社	NEEDED
SHR-156	沓掛王子(日高)	和歌山県	日高町		-	-	旧無格社	NEEDED
SHR-157	内原王子	和歌山県	日高町		-	-	旧無格社	NEEDED
SHR-158	高家王子	和歌山県	日高町		-	-	旧無格社	NEEDED
SHR-159	千里王子	和歌山県	みなべ町		-	-	旧無格社	NEEDED
SHR-160	三鍋王子	和歌山県	みなべ町		-	-	旧無格社	NEEDED
SHR-161	岩代王子	和歌山県	みなべ町		-	-	旧無格社	NEEDED
SHR-162	切目王子	和歌山県	印南町		-	-	旧無格社	NEEDED
SHR-163	切目中山王子	和歌山県	印南町		-	-	旧無格社	NEEDED
SHR-164	岩内王子	和歌山県	田辺市		-	-	旧無格社	NEEDED
SHR-165	塩屋王子	和歌山県	御坊市		-	-	旧無格社	NEEDED
SHR-166	上野王子(田辺)	和歌山県	田辺市		-	-	旧無格社	NEEDED
SHR-167	出立王子	和歌山県	田辺市		-	-	旧無格社	NEEDED
SHR-168	滝尻王子	和歌山県	田辺市		-	-	旧無格社	NEEDED
SHR-169	富岡八幡宮	東京都	江東区富岡		-	-	府社	NEEDED
SHR-170	鳩森八幡神社	東京都	渋谷区千駄ヶ谷		-	-	村社	NEEDED
SHR-171	大宮八幡宮	東京都	杉並区大宮		-	-	府社	NEEDED
SHR-172	蒲田八幡神社	東京都	大田区蒲田		-	-	村社	NEEDED
SHR-173	八幡八雲神社	東京都	八王子市元横山町		-	-	郷社	NEEDED
SHR-174	由比若宮	神奈川県	鎌倉市材木座		-	-	-	NEEDED
SHR-175	葛飾八幡宮	千葉県	市川市八幡		-	-	県社	NEEDED
SHR-176	川越八幡宮	埼玉県	川越市南通町		-	-	村社	NEEDED
SHR-177	上野国総社八幡	群馬県	高崎市総社町		-	-	郷社	NEEDED
SHR-178	太田八幡宮	群馬県	太田市本町		-	-	郷社	NEEDED
SHR-179	下野国一社八幡宮	栃木県	足利市八幡町		-	-	県社	NEEDED
SHR-180	水戸八幡宮	茨城県	水戸市八幡町		-	-	県社	NEEDED
SHR-181	三戸八幡宮	青森県	三戸郡三戸町		-	-	村社	NEEDED
SHR-182	盛岡八幡宮	岩手県	盛岡市八幡町		-	-	県社	NEEDED
SHR-183	大崎八幡宮	宮城県	仙台市青葉区八幡		-	-	県社	NEEDED
SHR-184	飯田八幡神社	秋田県	秋田市飯田		-	-	村社	NEEDED
SHR-185	成島八幡神社	山形県	米沢市広幡町		-	-	郷社	NEEDED
SHR-186	中野八幡神社	福島県	郡山市中野		-	-	村社	NEEDED
SHR-187	白山八幡神社	新潟県	新潟市中央区一番堀通町		-	-	県社	NEEDED
SHR-188	入善八幡宮	富山県	下新川郡入善町		-	-	村社	NEEDED
SHR-189	金沢八幡宮	石川県	金沢市本多町		-	-	村社	NEEDED
SHR-190	敦賀八幡神社	福井県	敦賀市三島町		-	-	村社	NEEDED
SHR-191	武田八幡宮	山梨県	韮崎市神山町		-	-	県社	NEEDED
SHR-192	笛吹八幡神社	山梨県	笛吹市		-	-	村社	NEEDED
SHR-194	真田八幡神社	長野県	上田市真田町		-	-	村社	NEEDED
SHR-195	美濃八幡神社	岐阜県	郡上市八幡町		-	-	県社	NEEDED
SHR-196	飛騨八幡宮	岐阜県	高山市八幡町		-	-	村社	NEEDED
SHR-197	浜松八幡宮	静岡県	浜松市中区八幡町		-	-	県社	NEEDED
SHR-198	知立八幡神社	愛知県	知立市八幡町		-	-	村社	NEEDED
SHR-199	名古屋八幡宮	愛知県	名古屋市中区		-	-	村社	NEEDED
SHR-202	近江八幡神社	滋賀県	近江八幡市宮内町		-	-	県社	NEEDED
SHR-204	御香宮神社	京都府	京都市伏見区御香宮門前町		-	-	府社	NEEDED
SHR-205	若宮八幡宮社	京都府	京都市東山区五条橋東		-	-	村社	NEEDED
SHR-206	誉田八幡宮	大阪府	羽曳野市誉田		-	-	府社	NEEDED
SHR-208	七宮神社	兵庫県	神戸市兵庫区七宮町		-	-	村社	NEEDED
SHR-209	姫路八幡神社	兵庫県	姫路市		-	-	県社	NEEDED
SHR-210	手向山八幡宮	奈良県	奈良市雑司町		-	-	県社	NEEDED
SHR-213	山名八幡宮	鳥取県	八頭郡八頭町		-	-	県社	NEEDED
SHR-214	隠岐八幡宮	島根県	隠岐郡隠岐の島町		-	-	郷社	NEEDED
SHR-218	御袖八幡宮	広島県	尾道市		-	-	村社	NEEDED
SHR-220	山口八幡宮	山口県	山口市		-	-	村社	NEEDED
SHR-222	蜂須賀八幡神社	徳島県	徳島市		-	-	村社	NEEDED
SHR-225	潮江八幡宮	高知県	高知市潮江		-	-	県社	NEEDED
SHR-226	大宰府八幡宮	福岡県	太宰府市		-	-	県社	NEEDED
SHR-229	久留米八幡宮	福岡県	久留米市		-	-	県社	NEEDED
SHR-232	平戸八幡神社	長崎県	平戸市		-	-	県社	NEEDED
SHR-233	長崎八幡神社	長崎県	長崎市		-	-	村社	NEEDED
SHR-234	藤崎八旛宮	熊本県	熊本市中央区井川淵町		-	-	県社	NEEDED
SHR-235	柞原八幡宮	大分県	大分市八幡		-	-	国幣小社	NEEDED
SHR-238	函館八幡宮	北海道	函館市谷地頭町		-	-	県社	NEEDED
SHR-239	大原野神社	京都府	京都市西京区大原野		-	二十二社	府社	NEEDED
SHR-240	吉田神社	京都府	京都市左京区吉田神楽岡町		-	二十二社(下八社)	官幣中社	NEEDED
SHR-241	田村神社(讃岐春日)	香川県	高松市一宮町	34.2792,134.0353	approximate	名神大社	県社	VERIFY(approximate)
SHR-242	飛鳥坐神社	奈良県	高市郡明日香村飛鳥	34.4761,135.82	approximate	名神大社	県社	VERIFY(approximate)
SHR-243	武蔵国総社春日神社	東京都	府中市宮町		-	-	村社	NEEDED
SHR-244	鎌倉春日神社	神奈川県	鎌倉市		-	-	村社	NEEDED
SHR-255	筑前春日神社	福岡県	春日市春日		-	-	県社	NEEDED
SHR-267	武蔵児玉春日神社	埼玉県	本庄市児玉町		-	-	村社	NEEDED
SHR-268	興福寺南円堂春日	奈良県	奈良市登大路町		-	-	-	NEEDED
SHR-269	伏見稲荷大社	京都府	京都市伏見区深草藪之内町	34.9671,135.7727	approximate	名神大社|二十二社	官幣大社|別表神社	VERIFY(approximate)
SHR-270	笠間稲荷神社	茨城県	笠間市笠間1	36.3461,140.2622	approximate	-	県社|別表神社	VERIFY(approximate)
SHR-271	豊川稲荷	愛知県	豊川市豊川町		-	-	-	NEEDED
SHR-272	祐徳稲荷神社	佐賀県	鹿島市古枝		-	-	県社	NEEDED
SHR-273	最上稲荷	岡山県	岡山市北区高松稲荷		-	-	-	NEEDED
SHR-274	竹駒神社	宮城県	岩沼市稲荷町		-	-	県社	NEEDED
SHR-275	草戸稲荷神社	広島県	福山市草戸町		-	-	県社	NEEDED
SHR-276	源九郎稲荷神社	奈良県	大和郡山市洞泉寺町		-	-	村社	NEEDED
SHR-277	瓢箪山稲荷神社	大阪府	東大阪市瓢箪山町		-	-	村社	NEEDED
SHR-278	玉造稲荷神社	大阪府	大阪市中央区玉造		-	-	府社	NEEDED
SHR-279	白笹稲荷神社	神奈川県	秦野市今泉		-	-	村社	NEEDED
SHR-280	装束稲荷神社	東京都	北区王子		-	-	村社	NEEDED
SHR-281	王子稲荷神社	東京都	北区岸町		-	-	村社	NEEDED
SHR-282	烏森稲荷神社	東京都	港区新橋		-	-	村社	NEEDED
SHR-283	高山稲荷神社	青森県	つがる市		-	-	村社	NEEDED
SHR-284	志和稲荷神社	岩手県	紫波郡紫波町		-	-	県社	NEEDED
SHR-289	熱田稲荷	愛知県	名古屋市熱田区		-	-	-	NEEDED
SHR-305	土佐稲荷神社(高知)	高知県	高知市		-	-	村社	NEEDED
SHR-316	綱敷天満宮稲荷	兵庫県	神戸市		-	-	-	NEEDED
SHR-319	北野天満宮	京都府	京都市上京区馬喰町	35.0314,135.735	approximate	二十二社(下八社)	官幣中社|別表神社	VERIFY(approximate)
SHR-320	大宰府天満宮	福岡県	太宰府市宰府	33.5208,130.535	approximate	-	官幣小社|別表神社	VERIFY(approximate)
SHR-321	防府天満宮	山口県	防府市松崎町	34.0517,131.5664	approximate	-	県社|別表神社	VERIFY(approximate)
SHR-322	湯島天満宮	東京都	文京区湯島	35.7072,139.7681	approximate	-	府社|別表神社	VERIFY(approximate)
SHR-323	亀戸天神社	東京都	江東区亀戸	35.6997,139.8228	approximate	-	府社|別表神社	VERIFY(approximate)
SHR-324	谷保天満宮	東京都	国立市谷保		-	-	府社	NEEDED
SHR-325	平河天満宮	東京都	千代田区平河町		-	-	村社	NEEDED
SHR-326	錦天満宮	京都府	京都市中京区新京極		-	-	村社	NEEDED
SHR-327	水火天満宮	京都府	京都市上京区		-	-	村社	NEEDED
SHR-328	吉祥院天満宮	京都府	京都市南区吉祥院		-	-	府社	NEEDED
SHR-329	文子天満宮	京都府	京都市下京区		-	-	村社	NEEDED
SHR-330	綱敷天満宮(神戸)	兵庫県	神戸市須磨区		-	-	村社	NEEDED
SHR-331	綱敷天満宮(博多)	福岡県	福岡市博多区		-	-	村社	NEEDED
SHR-332	水鏡天満宮	福岡県	福岡市中央区天神		-	-	村社	NEEDED
SHR-333	住吉神社内天満宮	大阪府	大阪市住吉区		-	-	-	NEEDED
SHR-334	大阪天満宮	大阪府	大阪市北区天神橋	34.6961,135.5125	approximate	-	府社|別表神社	VERIFY(approximate)
SHR-335	道明寺天満宮	大阪府	藤井寺市道明寺		-	-	府社	NEEDED
SHR-337	北野天満宮(尼崎)	兵庫県	尼崎市北御園町		-	-	村社	NEEDED
SHR-340	和歌浦天満宮	和歌山県	和歌山市和歌浦		-	-	県社	NEEDED
SHR-348	善光寺天神	長野県	長野市		-	-	-	NEEDED
SHR-361	鎌倉天満宮	神奈川県	鎌倉市二階堂		-	-	村社	NEEDED
SHR-367	石上神宮天満	奈良県	天理市布留町		-	-	-	NEEDED
SHR-369	諏訪大社上社本宮	長野県	諏訪市中洲宮山	35.9986,138.1192	approximate	名神大社|信濃一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-370	諏訪大社上社前宮	長野県	茅野市宮川	35.9931,138.1361	approximate	名神大社	官幣大社	VERIFY(approximate)
SHR-371	諏訪大社下社春宮	長野県	諏訪郡下諏訪町	36.0792,138.0828	approximate	名神大社	官幣大社	VERIFY(approximate)
SHR-372	諏訪大社下社秋宮	長野県	諏訪郡下諏訪町	36.0742,138.0908	approximate	名神大社	官幣大社	VERIFY(approximate)
SHR-373	守矢神社	長野県	茅野市		-	-	村社	NEEDED
SHR-374	八剱神社(諏訪)	長野県	諏訪市小和田		-	-	村社	NEEDED
SHR-382	武田八幡諏訪相殿	山梨県	韮崎市		-	-	-	NEEDED
SHR-383	諏訪神社(関東)	東京都	立川市柴崎町		-	-	村社	NEEDED
SHR-384	武蔵越生諏訪神社	埼玉県	入間郡越生町		-	-	村社	NEEDED
SHR-389	新潟諏訪神社	新潟県	新潟市		-	-	県社	NEEDED
SHR-393	諏訪大社神宮寺諏訪	長野県	諏訪市		-	-	-	NEEDED
SHR-416	諏訪神社(長崎)	長崎県	長崎市上西山町	32.7503,129.8789	approximate	-	県社|別表神社	VERIFY(approximate)
SHR-419	白山比咩神社	石川県	白山市三宮町	36.4906,136.6131	approximate	名神大社|加賀一宮	国幣中社|別表神社	VERIFY(approximate)
SHR-420	白山中宮	岐阜県	郡上市白鳥町		-	-	県社	NEEDED
SHR-421	白山平泉寺	福井県	勝山市平泉寺町		-	-	別格官幣社	NEEDED
SHR-422	白山中居神社	岐阜県	郡上市白鳥町		-	-	県社	NEEDED
SHR-424	白山神社(東京)	東京都	文京区白山		-	-	府社	NEEDED
SHR-447	越後白山神社	新潟県	長岡市		-	-	県社	NEEDED
SHR-449	富士山本宮浅間大社	静岡県	富士宮市宮町1-1	35.2275,138.6097	approximate	名神大社|駿河一宮	官幣大社|別表神社	VERIFY(approximate)
SHR-450	北口本宮冨士浅間神社	山梨県	富士吉田市	35.4928,138.7931	approximate	-	県社|別表神社	VERIFY(approximate)
SHR-452	富士山須走浅間神社	静岡県	駿東郡小山町		-	-	県社	NEEDED
SHR-453	富士御室浅間神社	山梨県	南都留郡富士河口湖町		-	-	県社	NEEDED
SHR-454	浅間神社(甲府)	山梨県	笛吹市一宮町	35.6586,138.6939	approximate	名神大社|甲斐一宮	県社	VERIFY(approximate)
SHR-455	吉原浅間神社	静岡県	富士市吉原		-	-	県社	NEEDED
SHR-459	駒込富士神社	東京都	文京区本駒込		-	-	村社	NEEDED
SHR-460	江戸鉄砲洲富士浅間	東京都	中央区		-	-	-	NEEDED
SHR-461	江古田浅間神社	東京都	練馬区		-	-	村社	NEEDED
SHR-479	出羽神社(羽黒山)	山形県	鶴岡市羽黒町手向	38.705,139.9772	approximate	式内社|羽前一宮	国幣小社|別表神社	VERIFY(approximate)
SHR-480	月山神社	山形県	東田川郡庄内町	38.5492,140.0267	approximate	名神大社	官幣大社|別表神社	VERIFY(approximate)
