master_id,canonical_name,reading,prefecture,address,main_deity,rank_ancient,rank_modern,current_coordinates,needs_coordinates,needs_detail
SHR-101,筥崎八幡,-,福岡県,福岡県福岡市,八幡神,-,-,,Y,Y
SHR-1016,青海神社,あおみじんじゃ,新潟県,加茂市加茂,豊玉姫,式内社|越後二宮,県社,,Y,N
SHR-1017,志賀海神社(摂社遥拝所),しかうみせっしゃ,福岡県,福岡市東区志賀島,阿曇磯良,-,-,,Y,N
SHR-1018,敷津松之宮(大国主神社),しきつまつのみや,大阪府,大阪市浪速区,大国主神,-,村社,,Y,N
SHR-1019,粟嶋神社(淡島),あわしまじんじゃ,和歌山県,海南市加太,少名毘古那神,-,村社,,Y,N
SHR-102,大分八幡宮,おおいたはちまんぐう,福岡県,福岡県飯塚市,八幡神,-,-,,Y,Y
SHR-1020,船玉神社,ふなたまじんじゃ,和歌山県,和歌山市,船霊神,式内社,村社,,Y,N
SHR-1021,綿都美神社(豊前),わたつみじんじゃ,福岡県,北九州市,綿津見神(底津)、綿津見神(中津)、綿津見神(上津),-,村社,,Y,N
SHR-1022,海神社(知多),かいじんじゃ,愛知県,知多郡南知多町,綿津見神(底津)、綿津見神(中津)、綿津見神(上津),-,村社,,Y,N
SHR-1023,渥美神明社(阿曇系),あつみしんめいしゃ,愛知県,田原市,大綿津見神,-,村社,,Y,Y
SHR-1024,石津太神社(恵比寿),いわつたじんじゃ,大阪府,堺市西区浜寺石津町,蛭子命,-,村社,,Y,N
SHR-103,筑紫野八幡,-,福岡県,福岡県筑紫野市,八幡神,-,-,,Y,Y
SHR-104,古要神社,-,大分県,大分県宇佐市,八幡神,-,-,,Y,Y
SHR-105,薦神社,こもじんじゃ,大分県,大分県中津市,八幡神,-,-,,Y,Y
SHR-106,豊前八幡,-,不明,-,八幡神,-,-,,Y,Y
SHR-107,石清水若宮,-,京都府,京都府八幡市,八幡神,-,-,,Y,Y
SHR-108,八幡神社諸地,-,不明,全国,八幡神,-,-,,Y,Y
SHR-109,窪津王子,くぼつおうじ,大阪府,大阪市中央区,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-110,坂口王子,さかぐちおうじ,大阪府,大阪市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-111,郡戸王子,こうとおうじ,大阪府,大阪市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-112,上野王子,うえのおうじ,大阪府,大阪市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-113,阿倍野王子,あべのおうじ,大阪府,大阪市阿倍野区,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-114,津守王子,つもりおうじ,大阪府,大阪市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-115,境王子,さかいおうじ,大阪府,堺市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-116,大鳥居王子,おおとりいおうじ,大阪府,堺市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-117,篠田王子,しのだおうじ,大阪府,和泉市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-118,平松王子,ひらまつおうじ,大阪府,和泉市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-119,井ノ口王子,いのくちおうじ,大阪府,和泉市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-120,池田王子,いけだおうじ,大阪府,岸和田市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-121,麻生川王子,あそうがわおうじ,大阪府,岸和田市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-122,近木王子,こぎおうじ,大阪府,貝塚市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-123,鞍持王子,くらもちおうじ,大阪府,貝塚市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-124,鶴原王子,つるはらおうじ,大阪府,泉佐野市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-125,佐野王子,さのおうじ,大阪府,泉佐野市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-126,籾井王子,もみいおうじ,大阪府,泉南市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-127,厩戸王子,うまやどおうじ,大阪府,泉南市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-128,信達王子,しんだちおうじ,大阪府,泉南市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-129,山口王子(和泉),やまぐちおうじ,大阪府,阪南市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-130,雄ノ山王子,おのやまおうじ,大阪府,岬町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-131,山口王子(紀伊),やまぐちおうじ,和歌山県,和歌山市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-132,川辺王子,かわなべおうじ,和歌山県,和歌山市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-133,中山王子,なかやまおうじ,和歌山県,和歌山市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-134,山崎王子,やまさきおうじ,和歌山県,和歌山市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-135,松代王子,まつしろおうじ,和歌山県,和歌山市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-136,菩提房王子,ぼだいぼうおうじ,和歌山県,海南市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-137,祓戸王子,はらえどおうじ,和歌山県,海南市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-138,藤白王子,ふじしろおうじ,和歌山県,海南市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-139,橘本王子,きつもとおうじ,和歌山県,海南市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-140,所坂王子,ところざかおうじ,和歌山県,海南市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-141,一壷王子,いっこおうじ,和歌山県,海南市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-142,蕪坂王子,かぶらざかおうじ,和歌山県,有田市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-143,山口王子(有田),やまぐちおうじ,和歌山県,有田市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-144,糸我王子,いとがおうじ,和歌山県,有田市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-145,逆川王子,さかさがわおうじ,和歌山県,有田市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-146,久米崎王子,くめさきおうじ,和歌山県,有田川町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-147,津兼王子,つかねおうじ,和歌山県,有田川町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-148,河瀬王子,かわせおうじ,和歌山県,有田川町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-149,馬留王子(有田),うまどめおうじ,和歌山県,有田川町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-150,沓掛王子,くつかけおうじ,和歌山県,有田川町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-151,内ノ畑王子,うちのはたおうじ,和歌山県,湯浅町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-152,高田王子,たかだおうじ,和歌山県,湯浅町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-153,善童子王子,ぜんどうじおうじ,和歌山県,広川町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-154,愛徳山王子,あいとくさんおうじ,和歌山県,広川町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-155,鹿ヶ瀬王子,ししがせおうじ,和歌山県,広川町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-156,沓掛王子(日高),くつかけおうじ,和歌山県,日高町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-157,内原王子,うちはらおうじ,和歌山県,日高町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-158,高家王子,たかいえおうじ,和歌山県,日高町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-159,千里王子,ちさとおうじ,和歌山県,みなべ町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-160,三鍋王子,みなべおうじ,和歌山県,みなべ町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-161,岩代王子,いわしろおうじ,和歌山県,みなべ町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-162,切目王子,きりめおうじ,和歌山県,印南町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-163,切目中山王子,きりめなかやまおうじ,和歌山県,印南町,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-164,岩内王子,いわうちおうじ,和歌山県,田辺市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-165,塩屋王子,しおやおうじ,和歌山県,御坊市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-166,上野王子(田辺),うえのおうじ,和歌山県,田辺市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-167,出立王子,でたちおうじ,和歌山県,田辺市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-168,滝尻王子,たきじりおうじ,和歌山県,田辺市,熊野速玉大神、熊野夫須美大神、家都美御子大神,-,旧無格社,,Y,Y
SHR-169,富岡八幡宮,とみおかはちまんぐう,東京都,江東区富岡,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,府社,,Y,Y
SHR-170,鳩森八幡神社,はとのもりはちまんじんじゃ,東京都,渋谷区千駄ヶ谷,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,N
SHR-171,大宮八幡宮,おおみやはちまんぐう,東京都,杉並区大宮,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,府社,,Y,N
SHR-172,蒲田八幡神社,かまたはちまんじんじゃ,東京都,大田区蒲田,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-173,八幡八雲神社,はちまんやくもじんじゃ,東京都,八王子市元横山町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,郷社,,Y,Y
SHR-174,由比若宮,ゆいわかみや,神奈川県,鎌倉市材木座,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,-,,Y,N
SHR-175,葛飾八幡宮,かつしかはちまんぐう,千葉県,市川市八幡,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-176,川越八幡宮,かわごえはちまんぐう,埼玉県,川越市南通町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-177,上野国総社八幡,こうずけのくにそうしゃはちまん,群馬県,高崎市総社町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,郷社,,Y,Y
SHR-178,太田八幡宮,おおたはちまんぐう,群馬県,太田市本町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,郷社,,Y,Y
SHR-179,下野国一社八幡宮,しもつけこくいっしゃはちまんぐう,栃木県,足利市八幡町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-180,水戸八幡宮,みとはちまんぐう,茨城県,水戸市八幡町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-181,三戸八幡宮,さんのへはちまんぐう,青森県,三戸郡三戸町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-182,盛岡八幡宮,もりおかはちまんぐう,岩手県,盛岡市八幡町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-183,大崎八幡宮,おおさきはちまんぐう,宮城県,仙台市青葉区八幡,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-184,飯田八幡神社,いいだはちまんじんじゃ,秋田県,秋田市飯田,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-185,成島八幡神社,なるしまはちまんじんじゃ,山形県,米沢市広幡町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,郷社,,Y,Y
SHR-186,中野八幡神社,なかのはちまんじんじゃ,福島県,郡山市中野,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-187,白山八幡神社,はくさんはちまんじんじゃ,新潟県,新潟市中央区一番堀通町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-188,入善八幡宮,にゅうぜんはちまんぐう,富山県,下新川郡入善町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-189,金沢八幡宮,かなざわはちまんぐう,石川県,金沢市本多町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-190,敦賀八幡神社,つるがはちまんじんじゃ,福井県,敦賀市三島町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-191,武田八幡宮,たけだはちまんぐう,山梨県,韮崎市神山町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-192,笛吹八幡神社,ふえふきはちまんじんじゃ,山梨県,笛吹市,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-194,真田八幡神社,さなだはちまんじんじゃ,長野県,上田市真田町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-195,美濃八幡神社,みのはちまんじんじゃ,岐阜県,郡上市八幡町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-196,飛騨八幡宮,ひだはちまんぐう,岐阜県,高山市八幡町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-197,浜松八幡宮,はままつはちまんぐう,静岡県,浜松市中区八幡町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-198,知立八幡神社,ちりゅうはちまんじんじゃ,愛知県,知立市八幡町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-199,名古屋八幡宮,なごやはちまんぐう,愛知県,名古屋市中区,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-202,近江八幡神社,おうみはちまんじんじゃ,滋賀県,近江八幡市宮内町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-204,御香宮神社,ごこうのみやじんじゃ,京都府,京都市伏見区御香宮門前町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,府社,,Y,Y
SHR-205,若宮八幡宮社,わかみやはちまんぐうしゃ,京都府,京都市東山区五条橋東,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-206,誉田八幡宮,こんだはちまんぐう,大阪府,羽曳野市誉田,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,府社,,Y,N
SHR-208,七宮神社,しちのみやじんじゃ,兵庫県,神戸市兵庫区七宮町,大国主神,-,村社,,Y,N
SHR-209,姫路八幡神社,ひめじはちまんじんじゃ,兵庫県,姫路市,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-210,手向山八幡宮,たむけやまはちまんぐう,奈良県,奈良市雑司町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,N
SHR-213,山名八幡宮,やまなはちまんぐう,鳥取県,八頭郡八頭町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-214,隠岐八幡宮,おきはちまんぐう,島根県,隠岐郡隠岐の島町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,郷社,,Y,Y
SHR-218,御袖八幡宮,みそではちまんぐう,広島県,尾道市,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-220,山口八幡宮,やまぐちはちまんぐう,山口県,山口市,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-222,蜂須賀八幡神社,はちすかはちまんじんじゃ,徳島県,徳島市,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-225,潮江八幡宮,うしおえはちまんぐう,高知県,高知市潮江,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-226,大宰府八幡宮,だざいふはちまんぐう,福岡県,太宰府市,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-229,久留米八幡宮,くるめはちまんぐう,福岡県,久留米市,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-232,平戸八幡神社,ひらどはちまんじんじゃ,長崎県,平戸市,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-233,長崎八幡神社,ながさきはちまんじんじゃ,長崎県,長崎市,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,村社,,Y,Y
SHR-234,藤崎八旛宮,ふじさきはちまんぐう,熊本県,熊本市中央区井川淵町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-235,柞原八幡宮,ゆすはらはちまんぐう,大分県,大分市八幡,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,国幣小社,,Y,Y
SHR-238,函館八幡宮,はこだてはちまんぐう,北海道,函館市谷地頭町,八幡神、応神天皇、神功皇后、比売大神(宇佐),-,県社,,Y,Y
SHR-243,武蔵国総社春日神社,むさしのくにそうしゃかすがじんじゃ,東京都,府中市宮町,建御雷之男神、経津主神、天児屋根命、比売大神(春日),-,村社,,Y,Y
SHR-244,鎌倉春日神社,かまくらかすがじんじゃ,神奈川県,鎌倉市,建御雷之男神、経津主神、天児屋根命、比売大神(春日),-,村社,,Y,Y
SHR-255,筑前春日神社,ちくぜんかすがじんじゃ,福岡県,春日市春日,建御雷之男神、経津主神、天児屋根命、比売大神(春日),-,県社,,Y,Y
SHR-267,武蔵児玉春日神社,こだまかすがじんじゃ,埼玉県,本庄市児玉町,建御雷之男神、経津主神、天児屋根命、比売大神(春日),-,村社,,Y,Y
SHR-268,興福寺南円堂春日,こうふくじなんえんどうかすが,奈良県,奈良市登大路町,建御雷之男神、経津主神、天児屋根命、比売大神(春日),-,-,,Y,Y
SHR-271,豊川稲荷,とよかわいなり,愛知県,豊川市豊川町,宇迦之御魂神,-,-,,Y,Y
SHR-272,祐徳稲荷神社,ゆうとくいなりじんじゃ,佐賀県,鹿島市古枝,宇迦之御魂神,-,県社,,Y,Y
SHR-273,最上稲荷,もがみいなり,岡山県,岡山市北区高松稲荷,宇迦之御魂神,-,-,,Y,Y
SHR-274,竹駒神社,たけこまじんじゃ,宮城県,岩沼市稲荷町,宇迦之御魂神,-,県社,,Y,Y
SHR-275,草戸稲荷神社,くさどいなりじんじゃ,広島県,福山市草戸町,宇迦之御魂神,-,県社,,Y,Y
SHR-276,源九郎稲荷神社,げんくろういなりじんじゃ,奈良県,大和郡山市洞泉寺町,宇迦之御魂神,-,村社,,Y,Y
SHR-277,瓢箪山稲荷神社,ひょうたんやまいなりじんじゃ,大阪府,東大阪市瓢箪山町,宇迦之御魂神,-,村社,,Y,Y
SHR-278,玉造稲荷神社,たまつくりいなりじんじゃ,大阪府,大阪市中央区玉造,宇迦之御魂神,-,府社,,Y,Y
SHR-279,白笹稲荷神社,しらささいなりじんじゃ,神奈川県,秦野市今泉,宇迦之御魂神,-,村社,,Y,Y
SHR-280,装束稲荷神社,しょうぞくいなりじんじゃ,東京都,北区王子,宇迦之御魂神,-,村社,,Y,Y
SHR-281,王子稲荷神社,おうじいなりじんじゃ,東京都,北区岸町,宇迦之御魂神,-,村社,,Y,Y
SHR-282,烏森稲荷神社,からすもりいなりじんじゃ,東京都,港区新橋,宇迦之御魂神,-,村社,,Y,Y
SHR-283,高山稲荷神社,たかやまいなりじんじゃ,青森県,つがる市,宇迦之御魂神,-,村社,,Y,Y
SHR-284,志和稲荷神社,しわいなりじんじゃ,岩手県,紫波郡紫波町,宇迦之御魂神,-,県社,,Y,Y
SHR-289,熱田稲荷,あつたいなり,愛知県,名古屋市熱田区,宇迦之御魂神,-,-,,Y,Y
SHR-305,土佐稲荷神社(高知),とさいなり,高知県,高知市,宇迦之御魂神,-,村社,,Y,Y
SHR-316,綱敷天満宮稲荷,つなしきいなり,兵庫県,神戸市,宇迦之御魂神,-,-,,Y,Y
SHR-324,谷保天満宮,やぼてんまんぐう,東京都,国立市谷保,菅原道真,-,府社,,Y,Y
SHR-325,平河天満宮,ひらかわてんまんぐう,東京都,千代田区平河町,菅原道真,-,村社,,Y,Y
SHR-326,錦天満宮,にしきてんまんぐう,京都府,京都市中京区新京極,菅原道真,-,村社,,Y,Y
SHR-327,水火天満宮,すいかてんまんぐう,京都府,京都市上京区,菅原道真,-,村社,,Y,Y
SHR-328,吉祥院天満宮,きっしょういんてんまんぐう,京都府,京都市南区吉祥院,菅原道真,-,府社,,Y,Y
SHR-329,文子天満宮,あやこてんまんぐう,京都府,京都市下京区,菅原道真,-,村社,,Y,Y
SHR-330,綱敷天満宮(神戸),つなしきてんまんぐう,兵庫県,神戸市須磨区,菅原道真,-,村社,,Y,Y
SHR-331,綱敷天満宮(博多),つなしきてんまんぐう,福岡県,福岡市博多区,菅原道真,-,村社,,Y,Y
SHR-332,水鏡天満宮,すいきょうてんまんぐう,福岡県,福岡市中央区天神,菅原道真,-,村社,,Y,Y
SHR-333,住吉神社内天満宮,すみよしてんまんぐう,大阪府,大阪市住吉区,菅原道真,-,-,,Y,Y
SHR-335,道明寺天満宮,どうみょうじてんまんぐう,大阪府,藤井寺市道明寺,菅原道真,-,府社,,Y,Y
SHR-337,北野天満宮(尼崎),きたのてんまんぐう,兵庫県,尼崎市北御園町,菅原道真,-,村社,,Y,Y
SHR-340,和歌浦天満宮,わかうらてんまんぐう,和歌山県,和歌山市和歌浦,菅原道真,-,県社,,Y,Y
SHR-348,善光寺天神,ぜんこうじてんじん,長野県,長野市,菅原道真,-,-,,Y,Y
SHR-361,鎌倉天満宮,かまくらてんまんぐう,神奈川県,鎌倉市二階堂,菅原道真,-,村社,,Y,Y
SHR-367,石上神宮天満,いそのかみてんまん,奈良県,天理市布留町,菅原道真,-,-,,Y,Y
SHR-373,守矢神社,もりやじんじゃ,長野県,茅野市,建御名方神、八坂刀売神,-,村社,,Y,Y
SHR-374,八剱神社(諏訪),やつるぎじんじゃ,長野県,諏訪市小和田,建御名方神、八坂刀売神,-,村社,,Y,Y
SHR-382,武田八幡諏訪相殿,たけだすわ,山梨県,韮崎市,八幡神、建御名方神、八坂刀売神,-,-,,Y,Y
SHR-383,諏訪神社(関東),すわじんじゃ,東京都,立川市柴崎町,建御名方神、八坂刀売神,-,村社,,Y,Y
SHR-384,武蔵越生諏訪神社,おごせすわじんじゃ,埼玉県,入間郡越生町,建御名方神、八坂刀売神,-,村社,,Y,Y
