motif_id	motif_name	category	summary	related_deities	related_shrines	related_regions	related_clans	related_myths	earliest_sources	symbolic_meaning	ritual_meaning	political_meaning	archaeological_possible_relation	related_folklore	notes	verified_status	verification_dimension	verified_at	verified_by	verification_source
MOTIF-011	皇統正統化編集	王権神話	古事記書紀による神話編集	-	-	大和	皇統	-	古事記|書紀	-	国家祭祀の構築	8世紀のヤマト王権による神話化	-	-	編纂年(712/720)と描く時代の分離	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-012	倭王権神話化	王権神話	倭国(古墳期)→ヤマト王権の神話化	-	-	大和	-	-	書紀	古墳時代国家形成	王権神話化	古墳期史実の神話的再構成(L2)	前方後円墳	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-013	出雲国引き	王権神話	八束水臣津野命の国引き	DEI-024	-	出雲・新羅・隠岐・高志	-	MYTH-001	出雲国風土記	国土創成	出雲創成	地方独自神話の保存	-	-	記紀には欠落	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-014	垂仁朝伊勢創建	王権神話	倭姫命の御杖代巡幸と伊勢創建	DEI-003	SHR-002	伊勢	-	-	書紀垂仁紀	皇祖神の地理的確立	国家祭祀	元伊勢諸候補との論争	-	-	倭姫命世記	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-015	神武即位	王権神話	神武の橿原宮即位	-	-	大和	皇統	-	書紀神武紀	皇統の起点	皇紀の根拠	BCE 660 は文献世界観	-	-	皇紀基準	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-016	黄泉国	冥界他界	イザナミが葬られた地下世界	DEI-005|DEI-006	SHR-027	出雲(揖夜)	-	MYTH-013	古事記|書紀	冥界	生死観	冥界=地下の起源	-	黄泉戸喫	イザナギ訪問	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-017	根の堅州国	冥界他界	スサノオの世界、大国主の試練の地	DEI-002|DEI-001	-	出雲西部?	-	MYTH-007	古事記	冥界訪問	王権神器獲得	根の国=地下/別世界/出雲	-	-	書紀本文には欠落	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-018	常世国	冥界他界	海の彼方の理想郷	DEI-020	-	海上	-	MYTH-029	古事記|風土記	他界	海洋民の他界観	常世=海の彼方	-	浦島伝	スクナビコナ常世帰還	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-019	死者の国	冥界他界	死後の世界の表象	DEI-001	-	全国	-	-	諸資料	生死観	平田篤胤幽冥論	死後管掌神=大国主	-	-	諸地方の冥界譚	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-020	補陀落浄土	冥界他界	那智から船出する浄土	-	SHR-091|SHR-093	紀伊	-	MYTH-051	諸記録	浄土	熊野信仰	補陀落渡海(L1)	-	-	平安〜江戸期	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-021	月山(死後世界)	冥界他界	月山は死後の世界	DEI-004	SHR-113	出羽	-	MYTH-085	出羽三山社伝	山岳=死後	出羽三山三世観	-	-	-	羽黒=現世、湯殿=未来	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-022	死と再生	冥界他界	岩戸籠もり等の死再生	DEI-003	-	全国	-	-	古事記|書紀	生命の循環	冬至祭祀	-	-	-	岩戸神話の核	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-023	黄泉比良坂	冥界他界	生界と冥界の境	DEI-005|DEI-006	SHR-027	出雲(揖夜)	-	MYTH-013	古事記|書紀	境界	冥界信仰	黄泉=出雲東端	-	-	千引石で塞ぐ	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-024	千引石	冥界他界	生死を分ける石	DEI-005|DEI-006	-	出雲	-	-	古事記	境界石	岩石信仰	-	諸地方の千引石	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-025	蘇生(医療)	冥界他界	大国主の母神蘇生など	DEI-001|DEI-020	-	全国	-	IZM-035	古事記	医療神話	医薬祭祀	-	-	-	貝比売・蛤貝比売	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-026	八岐大蛇	蛇神龍神	スサノオが退治した八頭八尾の蛇	DEI-002	SHR-025|SHR-026	出雲(肥河)	-	MYTH-004	古事記|書紀	蛇神	出雲祭祀の核	斐伊川氾濫/製鉄民/部族抗争	砂鉄文化	-	HYP-002	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-027	蛇神信仰	蛇神龍神	全国の蛇を神とする信仰	DEI-014	SHR-010	全国	-	-	諸記録	水神=蛇=農耕	農耕祭祀	-	-	全国蛇婿入り譚	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-028	龍蛇神	蛇神龍神	龍と蛇の融合神格	-	SHR-001|SHR-006	出雲・諏訪	-	MYTH-007|MYTH-024	諸記録	水神	諏訪龍神・出雲海蛇	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-029	三輪山型神婚	蛇神龍神	夜訪れる神(蛇)が朝に蛇と判明	DEI-014	SHR-010	大和	-	MYTH-060	古事記|書紀	異類婚	蛇神祭祀	-	-	全国蛇婿入り	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-030	諏訪龍蛇神	蛇神龍神	諏訪湖の龍蛇神	DEI-010	SHR-006	諏訪	-	MYTH-024	諸資料	諏訪明神の正体	諏訪湖祭祀	-	諏訪湖御渡	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-031	九頭龍	蛇神龍神	戸隠等の九つ頭の龍	-	-	信濃・全国	-	-	諸社伝	龍王	山岳水神	-	-	-	戸隠九頭龍信仰	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-032	海蛇(セグロウミヘビ)	蛇神龍神	出雲神在月の竜蛇神	-	SHR-001	出雲	-	-	出雲社伝	神の使い	神迎神事	-	-	-	冬季の漂着海蛇神格化	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-033	河童	蛇神龍神	水辺の精霊	-	-	全国	-	-	諸民俗	水妖	水辺信仰	-	-	遠野河童	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-034	水神=蛇	蛇神龍神	水神の蛇形象	-	-	全国	-	-	諸民俗	水と蛇の同一視	農耕祭祀	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-035	大物主の蛇身	蛇神龍神	大物主が蛇の姿	DEI-014	SHR-010	大和	CLN-015	MYTH-060	書紀	神の本体	大神神社祭祀	-	-	-	崇神紀百襲姫譚	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-036	諏訪御渡	蛇神龍神	諏訪湖の氷の裂け目=神の渡御	DEI-010	SHR-043	諏訪	-	MYTH-024	地方民俗	冬季気象の祭祀化	諏訪年占	-	-	-	八剣神社判定	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-037	白蛇信仰	蛇神龍神	白蛇を神の使いとする	DEI-019	-	全国	-	-	諸社伝	弁才天との習合	-	-	-	-	厳島・竹生島	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-038	諸地方の龍神	蛇神龍神	各地の龍神信仰	-	-	全国	-	-	諸社伝	水神	全国水辺祭祀	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-039	古代蛇神祭祀	蛇神龍神	弥生・古墳期の蛇神祭祀	-	-	全国	-	-	考古学	-	古代蛇神祭祀	子持勾玉(三輪山)等	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-040	蛇腹巻き伝承	蛇神龍神	蛇に巻かれる神話	-	-	全国	-	-	諸民俗	守護神	-	-	-	-	諸地方	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-041	海宮神話	海洋海神	山幸彦の海宮訪問	DEI-037|DEI-039	SHR-068|SHR-083	日向・対馬	-	MYTH-041	古事記|書紀	海洋他界	皇統と海神族の結合	海人族と皇統	-	-	皇統の祖母=豊玉姫	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-042	ワタツミ三神	海洋海神	綿津見の三柱の神	-	SHR-079|SHR-082	筑前・対馬	CLN-021	-	古事記	海そのもの	海洋祭祀	阿曇族祭祀の核	-	-	底津/中津/上津	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-043	住吉三神	海洋海神	底筒・中筒・表筒の海路守護神	-	SHR-015|SHR-080	摂津・筑前	CLN-029	MYTH-043	古事記|書紀	海路守護	海上交通祭祀	国家海路祭祀	-	-	禊で生成	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-044	宗像三女神	海洋海神	タギリ・タギツ・イチキシマ	DEI-017|DEI-018|DEI-019	SHR-009|SHR-077|SHR-078	筑前	CLN-016	MYTH-036	古事記|書紀	海上交通	国家海路祭祀	古代対外交渉	沖ノ島祭祀遺物	-	誓約で生成	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-045	神功皇后航海	海洋海神	三韓征討時の航海	-	SHR-073|SHR-009|SHR-015	筑紫	CLN-021|CLN-029	MYTH-039	書紀	古代対朝鮮	-	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-046	阿曇磯良	海洋海神	阿曇族の海人英雄	-	SHR-079	筑前	CLN-021	MYTH-040	筑前風土記逸文	海人族祖	阿曇祭祀の核	-	-	貝の付着	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-047	海上交通祭祀	海洋海神	古代の航海祭祀	-	SHR-009|SHR-015	全海岸線	-	MYTH-047	諸記録	-	全国海路祭祀	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-048	沖ノ島祭祀	海洋海神	古墳期〜平安期の国家祭祀	DEI-017	SHR-077	玄界灘	CLN-016	MYTH-037	発掘調査	「海の正倉院」	国家対外祭祀	国宝祭祀遺物	-	-	2017年世界遺産	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-049	海幸山幸	海洋海神	海幸彦・山幸彦の兄弟譚	DEI-037|DEI-038	SHR-065	日向	CLN-037	MYTH-041	古事記|書紀	海と山	皇統と隼人	隼人=海幸末裔	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-050	補陀落渡海	海洋海神	那智から船出する	-	SHR-091|SHR-093	紀伊	-	MYTH-051	諸記録	浄土	熊野信仰	平安〜江戸	-	-	即身渡海	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-051	籠神社元伊勢	海洋海神	伊勢以前の祭祀地	-	SHR-085	丹後	CLN-028	MYTH-046	籠神社社伝	伊勢前史	-	元伊勢候補(L2)	-	-	海部氏系図(国宝)	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-052	安曇野移住	海洋海神	阿曇族の信濃移住	-	-	信濃	CLN-021	MYTH-103	地名研究	海人族の内陸進出	-	古代海人ネットワーク(L2-L3)	-	-	安曇=阿曇	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-053	隼人海洋	海洋海神	隼人の海洋系譜	-	-	南九州	CLN-037	-	書紀	海幸彦末裔	隼人軍事氏族	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-054	禊	海洋海神	イザナギの禊から三貴子・住吉三神誕生	DEI-005	SHR-015	筑紫日向(神話空間)	-	MYTH-043	古事記	浄化	禊神事	全国の禊	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-055	船霊	海洋海神	船の守護神	-	-	全国海岸	-	-	諸民俗	漁業守護	漁撈祭祀	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-056	太陽神	太陽月星	アマテラス、皇祖神	DEI-003	SHR-002	伊勢	皇統	-	古事記|書紀	光明	国家祭祀	皇統の中軸	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-057	天岩戸	太陽月星	アマテラスの岩戸籠もり	DEI-003	SHR-064|SHR-074(関連)	日向(高千穂)	-	MYTH-078	古事記|書紀	太陽蘇生	冬至祭祀	-	-	岩戸神楽	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-058	日没信仰	太陽月星	日御碕神社	DEI-003	SHR-022	出雲	-	-	日御碕社伝	夜の守護	国家祭祀(西方)	伊勢=日昇/日御碕=日没社伝	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-059	月神	太陽月星	ツクヨミ	DEI-004	-	伊勢別宮	-	-	古事記|書紀	月	夜の祭祀	-	-	-	月読宮(伊勢)	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-060	月山信仰	太陽月星	月山修験	-	SHR-113	出羽	-	MYTH-085	出羽三山社伝	月=死後	月山修験	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-061	妙見信仰	太陽月星	北極星(北辰)信仰	-	-	全国	-	-	諸社伝	北辰	中世以降	中国系	-	秩父神社	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-062	北辰信仰	太陽月星	北極星=天皇	-	-	皇都	-	-	諸記録	-	皇統	中国陰陽道の影響	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-063	日輪	太陽月星	太陽の意匠	DEI-003	-	-	-	-	諸資料	-	-	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-064	三日月信仰	太陽月星	月の象徴	DEI-004	-	-	-	-	-	-	-	-	-	-	月読宮との関連	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-065	七夕	太陽月星	星祭り	-	-	全国	-	-	諸記録	-	夏祭祀	中国渡来	-	-	古代以来	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-066	山岳信仰	山神山岳	山自体を神とする信仰	-	全国	全国	-	-	諸資料	山=神	最古層神道	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-067	神体山	山神山岳	山自体が神体	DEI-014	SHR-010|SHR-039	大和(三輪)・諏訪(守屋)	-	MYTH-058	古事記	山=神体	本殿無し祭祀	-	三輪山祭祀遺跡	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-068	神奈備	山神山岳	神聖な山	-	-	全国	-	-	諸記録	-	最古層	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-069	修験道	山神山岳	山岳での修行と神仏習合	-	出羽三山|白山|熊野	全国	-	MYTH-053	諸修験書	山岳修行	全国修験	役小角伝	-	山伏	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-070	山伏	山神山岳	修験者	-	-	全国	-	-	諸資料	-	修験儀礼	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-071	大山祇	山神山岳	山神総体	DEI-046	SHR-032	伊予	-	-	古事記	山神総祖	-	-	-	-	伊予一宮	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-072	大山咋	山神山岳	日吉山王神	DEI-047	SHR-014(山王)	近江	-	-	古事記	山王	山王神道	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-073	山の神(マタギ)	山神山岳	狩猟者守護	-	-	東北・諏訪	-	MYTH-008	諸民俗	狩猟神	マタギ祭祀	-	-	-	女神	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-074	富士山信仰	山神山岳	浅間大神(コノハナサクヤ)	DEI-048	SHR-031|SHU-007	駿河甲斐	-	-	浅間社伝	富士=神山	富士講	-	山頂祭祀	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-075	白山信仰	山神山岳	ククリヒメ祭祀	DEI-059	SHR-047|SHU-004	加賀越前美濃	-	-	白山社伝	山岳神	白山修験	-	-	-	全国白山神社2700+	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-076	立山信仰	山神山岳	立山地獄信仰	-	SHU-005	越中	-	-	立山社伝	地獄	立山修験	-	-	-	女人禁制	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-077	出羽三山	山神山岳	月山・羽黒・湯殿山	-	SHR-113|SHR-114|SHR-115	出羽	-	MYTH-084	出羽三山社伝	三世観	出羽修験	-	-	即身仏	羽黒=現世	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-078	戸隠	山神山岳	天手力雄命祭祀	-	SHU-006	信濃	-	-	戸隠社伝	岩戸神	戸隠修験	-	-	九頭龍	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-079	御嶽	山神山岳	木曽御嶽	-	SHU-017	信濃美濃	-	-	御嶽社伝	-	御嶽講	近世盛行	-	-	御嶽教	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-080	八ヶ岳	山神山岳	諏訪盆地北方	-	-	信濃	-	-	諸民俗	-	諏訪信仰圏	-	縄文遺跡集中	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-081	金山彦神	鍛冶製鉄	金属神総体	-	南宮大社	美濃	-	-	古事記	金属神	鍛冶守護	-	-	-	南宮大社=美濃一宮	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-082	金屋子神	鍛冶製鉄	出雲の製鉄神	-	金屋子神社	奥出雲	山内・絲原・桜井	-	諸社伝	製鉄神	たたら祭祀	近世のたたら(L1)	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-083	天目一箇神	鍛冶製鉄	忌部氏祖伝の鍛冶神	-	-	忌部諸地	CLN-013	-	古語拾遺	鍛冶	-	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-084	ヤマタノオロチ製鉄説	鍛冶製鉄	オロチ=製鉄民征服譚	DEI-002	-	出雲	-	MYTH-095	HYP-002	製鉄/征服	-	古代製鉄証拠不在(IZM-094)反証	砂鉄文化	-	L4	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-085	草薙剣	鍛冶製鉄	皇統の剣	DEI-016	SHR-126	尾張	CLN-030	-	古事記|書紀	皇統の剣	王権祭祀	出雲産鉄剣説	-	-	尾張氏継承	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-086	七支刀	鍛冶製鉄	石上神宮所蔵の国宝	-	SHR-011	大和(石上)	CLN-009	-	書紀|発掘	-	物部氏祭祀	CE369銘文	-	-	国宝	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-087	出雲たたら	鍛冶製鉄	近世以降の確実な製鉄	-	-	奥出雲	山内・絲原・桜井	-	近世史料	-	日本刀供給	-	菅谷たたら	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-088	吉備製鉄	鍛冶製鉄	古代の製鉄遺跡群	-	-	備中備前	CLN-026	-	発掘調査	-	-	温羅伝承との連結	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-089	温羅	鍛冶製鉄	吉備の渡来製鉄民伝	-	-	備中	-	-	諸地方伝承	製鉄民	-	渡来製鉄民説(L2)	-	-	吉備津彦退治譚	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-090	鍛冶神信仰	鍛冶製鉄	全国の鍛冶守護	-	南宮大社|稲荷	全国	-	-	諸社伝	-	鍛冶守護	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-091	カグツチ	火山火神	イザナミ死因の火神	-	愛宕|秋葉	全国	-	-	古事記	火	火祭祀	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-092	阿蘇火山	火山火神	阿蘇カルデラの神格化	DEI-064	SHR-059	肥後	CLN-036	MYTH-069	阿蘇社伝	火山	阿蘇祭祀	7万年前カルデラ	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-093	阿蘇カルデラ	火山火神	地形の神話化	-	SHR-059	肥後	CLN-036	MYTH-075	阿蘇社伝|地質学	-	-	地質的事実(L4)	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-094	霧島火山	火山火神	霧島山岳信仰	-	SHR-067	大隅	-	-	霧島社伝	-	霧島修験	-	-	-	高千穂峯比定論争	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-095	富士火山	火山火神	富士山の火山活動	-	SHR-031|SHU-007	駿河	-	-	浅間社伝	-	富士信仰	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-096	立山地獄	火山火神	立山火山地形	-	SHU-005	越中	-	-	立山社伝	地獄	立山修験	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-097	浅間信仰	火山火神	浅間山	-	-	信濃上野	-	-	-	-	-	-	-	-	コノハナ祭祀	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-098	火渡り	火山火神	修験の火渡り神事	-	大峰|出羽三山	全国	-	-	諸修験	浄化	修験儀礼	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-099	愛宕権現	火山火神	愛宕神社の火神	-	愛宕神社	山城	-	-	諸記録	火防	-	-	-	-	全国愛宕神社	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-100	秋葉権現	火山火神	秋葉山の火神	-	秋葉山本宮秋葉神社	遠江	-	-	諸記録	火防	-	近世以降	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-101	水神	水神	全国の水神	-	-	全国	-	-	諸記録	-	-	-	-	-	諸地方	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-102	龍神	水神	水神の龍化	-	-	全国	-	-	諸資料	-	-	-	-	-	諸地方	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-103	那智の滝	水神	日本三大名瀑	-	SHR-093	紀伊	-	MYTH-055	那智社伝	滝信仰	-	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-104	廣瀬大社	水神	大和の水神	-	SHR-103	大和	-	-	延喜式	水神	-	龍田大社と一対	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-105	川の神	水神	諸河川の神	-	-	全国	-	-	諸民俗	-	-	-	-	-	諸地方	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-106	井戸神	水神	井戸の神	-	-	全国	-	-	諸民俗	-	-	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
MOTIF-107	雨神	水神	雨乞いの神	-	-	全国	-	-	諸民俗	-	雨乞神事	-	-	-	-	under_review	interpretive	2026-05-25T00:00:00	claude	auto-init: 初期値
