network_id	network_name	node_type	node_label	region	primary_deity_or_motif	primary_clan	related_shrines	period	source_reference	confidence_level	hypothesis_layer	notes
NW-MA-021	海上ネットワーク	clan	宗像氏	筑前	-	CLN-016	SHR-009	古代〜中世	諸記録	A	L0	-
NW-MA-022	海上ネットワーク	clan	海部氏	丹後	-	CLN-028	SHR-085	古代〜中世	籠神社社伝|海部氏系図	A	L0	-
NW-MA-023	海上ネットワーク	clan	尾張氏	尾張	-	CLN-030	SHR-126	古代〜中世	諸記録	A	L0	-
NW-MA-024	海上ネットワーク	clan	隼人	薩摩・大隅	-	CLN-037	-	古代	書紀|続日本紀	B	L1	-
NW-MA-025	海上ネットワーク	hypothesis	縄文海進記憶	全国	HYP-001	-	-	縄文期	HYP-001	E	L5	大胆仮説、検証困難
NW-MA-026	海上ネットワーク	hypothesis	安曇野移住	筑前→信濃	-	CLN-021	-	古代	地名研究	D	L3	地名分布による海人族の内陸進出仮説
NW-MA-027	海上ネットワーク	hypothesis	元伊勢候補	丹後	MOTIF-051	CLN-028	SHR-085	古代	籠神社社伝	C	L2	伊勢以前の祭祀地論争
NW-MA-028	海上ネットワーク	hypothesis	卑弥呼=比売大神	豊前	-	CLN-016	SHR-016	古代	-	E	L4	宇佐八幡比売大神論争
NW-MA-029	海上ネットワーク	hypothesis	沖ノ島=対朝鮮ロジ	玄界灘	MOTIF-048	CLN-016	SHR-077	古墳〜平安	発掘|学術論	C	L2	国家対外交渉の海上拠点説
NW-MO-001	山岳・修験ネットワーク	hub	大峰山	大和(吉野)	MOTIF-167	修験者	SHU-009	7世紀〜現代	諸修験書	A	L0	役小角開祖、修験道の中核
NW-MO-002	山岳・修験ネットワーク	hub	熊野三山	紀伊	MOTIF-168	熊野別当家	SHR-005|SHR-090|SHR-091	平安〜現代	熊野権現御垂迹縁起	A	L0	本地垂迹の典型
NW-MO-003	山岳・修験ネットワーク	hub	出羽三山	出羽	MOTIF-077	羽黒修験	SHR-113|SHR-114|SHR-115	平安〜現代	出羽三山社伝	A	L0	月山(過去)|羽黒(現世)|湯殿(未来)の三世観
NW-MO-004	山岳・修験ネットワーク	hub	白山	加賀越前美濃	MOTIF-075	白山修験	SHR-047|SHU-004	古代〜現代	白山社伝	A	L0	全国白山神社2700+
NW-MO-005	山岳・修験ネットワーク	hub	富士山	駿河甲斐	MOTIF-074	富士講	SHR-031|SHU-007	古代〜現代	浅間社伝	A	L0	世界遺産2013
NW-MO-006	山岳・修験ネットワーク	hub	立山	越中	MOTIF-076|MOTIF-096	立山修験	SHU-005	古代〜現代	立山社伝	A	L0	地獄信仰、女人禁制
NW-MO-007	山岳・修験ネットワーク	hub	戸隠	信濃	MOTIF-078|MOTIF-031	戸隠修験	SHU-006	古代〜現代	戸隠社伝	A	L0	九頭龍権現
NW-MO-008	山岳・修験ネットワーク	hub	御嶽	信濃美濃	MOTIF-079	御嶽講	SHU-017	近世〜現代	御嶽社伝	B	L1	御嶽教
NW-MO-009	山岳・修験ネットワーク	hub	諏訪	信濃	MOTIF-146|MOTIF-067	CLN-017|CLN-018	SHR-039〜042	縄文?〜現代	守矢家文書|諏訪上社縁起	B	L1	修験以前の縄文系祭祀
NW-MO-010	山岳・修験ネットワーク	hub	三輪山	大和	MOTIF-067|MOTIF-035	CLN-015	SHR-010	弥生末〜現代	古事記|書紀	A	L0	神体山祭祀の最古層
NW-MO-011	山岳・修験ネットワーク	hub	阿蘇山	肥後	MOTIF-092|MOTIF-093	CLN-036	SHR-059	古墳〜現代	阿蘇社伝	A	L0	-
NW-MO-012	山岳・修験ネットワーク	hub	霧島山	大隅	MOTIF-094|MOTIF-002	-	SHR-067	古墳〜現代	霧島社伝	A	L0	高千穂峰比定論争
NW-MO-013	山岳・修験ネットワーク	hub	英彦山	豊前	-	英彦山修験	-	古代〜現代	諸修験書	A	L0	九州山岳修験の中核
NW-MO-014	山岳・修験ネットワーク	hub	早池峰	陸中	MOTIF-154	-	SHR-116	古代〜現代	遠野物語	B	L1	東北山岳修験
NW-MO-015	山岳・修験ネットワーク	person	役小角	大和(葛城〜吉野〜熊野)	MOTIF-069	-	SHU-009	7世紀	諸修験書	C	L2	修験道の祖
NW-MO-016	山岳・修験ネットワーク	myth	山岳信仰	全国	MOTIF-066	-	-	最古層	諸資料	A	L0	-
NW-MO-017	山岳・修験ネットワーク	myth	神体山	大和|諏訪	MOTIF-067	CLN-015|CLN-018	SHR-010|SHR-039	弥生末〜	古事記	A	L0	-
NW-MO-018	山岳・修験ネットワーク	myth	修験道	全国	MOTIF-069	-	-	7世紀〜	諸修験書	A	L0	-
NW-MO-019	山岳・修験ネットワーク	myth	本地垂迹	全国	MOTIF-166	-	-	平安〜中世	中世神道書	A	L0	-
NW-MO-020	山岳・修験ネットワーク	syncretism	蔵王権現	大和(吉野)	MOTIF-167	-	SHU-009	平安〜現代	諸修験書	A	L0	釈迦|観音|弥勒の三尊習合
NW-MO-021	山岳・修験ネットワーク	syncretism	熊野権現	紀伊	MOTIF-168	-	SHR-005|SHR-090|SHR-091	平安〜現代	中世神道	A	L0	阿弥陀|薬師|千手の三尊習合
NW-MO-022	山岳・修験ネットワーク	syncretism	白山妙理権現	加賀越前	MOTIF-075	-	SHR-047	平安〜現代	白山社伝	A	L0	十一面観音
NW-MO-023	山岳・修験ネットワーク	syncretism	浅間大神	駿河	MOTIF-074	-	SHR-031	中世〜現代	浅間社伝	B	L1	大日如来本地
NW-MO-024	山岳・修験ネットワーク	clan	修験者集団	全国	-	-	-	古代〜現代	諸資料	A	L0	山伏
NW-MO-025	山岳・修験ネットワーク	hypothesis	諏訪縄文起源	諏訪	MOTIF-146	CLN-018	SHR-040	縄文中期	守矢家文書	D	L3	ミシャグジ・御柱の縄文起源仮説
NW-MO-026	山岳・修験ネットワーク	hypothesis	出羽三山縄文記憶	出羽	MOTIF-077	-	SHR-113	縄文?	-	E	L4	山岳信仰の縄文残存仮説
NW-MO-027	山岳・修験ネットワーク	hypothesis	早池峰縄文系精霊	陸中	MOTIF-154	-	SHR-116	縄文?	遠野物語	D	L3	近代民俗による山岳精霊解釈
NW-MO-028	山岳・修験ネットワーク	hypothesis	富士コノハナサクヤ習合	駿河	MOTIF-074	-	SHR-031	古代〜中世	浅間社伝	C	L2	-
NW-MO-029	山岳・修験ネットワーク	hypothesis	高千穂峰比定論争	日向|大隅	MOTIF-002|MOTIF-094	-	SHR-067	古代	書紀|霧島社伝	C	L2	霧島 vs 日向高千穂峡
NW-MO-030	山岳・修験ネットワーク	event	修験道廃止令	全国	-	-	-	1872	諸記録	A	L0	明治神仏分離令の延長
