relation_id	source_id	source_type	relation_type	target_id	target_type	confidence_level	hypothesis_layer	temporal_scope	valid_from	valid_until	source_reference	notes
RLN-000017	DEI-107	deity	primary_deity_of	SHR-012	shrine	A	L0	document	-	-	延喜式	天児屋根→春日
RLN-000018	DEI-009	deity	primary_deity_of	SHR-020	shrine	A	L0	document	-	-	美保社伝	コトシロヌシ→美保
RLN-000019	DEI-016	deity	primary_deity_of	SHR-126	shrine	A	L0	document	-	-	熱田神宮社伝	ヤマトタケル→熱田
RLN-000020	DEI-085	deity	primary_deity_of	SHR-064	shrine	B	L1	document	-	-	諸社伝	彦火火出見
RLN-000021	DEI-088	deity	secondary_deity_of	SHR-065	shrine	B	L1	document	-	-	諸社伝	豊玉姫
RLN-000022	DEI-089	deity	secondary_deity_of	SHR-004	shrine	B	L1	document	-	-	諸社伝	玉依姫
RLN-000023	DEI-090	deity	primary_deity_of	SHR-068	shrine	B	L1	document	-	-	諸社伝	ウガヤフキアエズ
RLN-000024	DEI-074	deity	primary_deity_of	SHR-015	shrine	A	L0	document	-	-	浅間社伝	コノハナサクヤ→富士本宮浅間
RLN-000025	DEI-195	deity	primary_deity_of	SHR-047	shrine	A	L0	document	-	-	白山社伝	白山妙理→白山比咩
RLN-000026	DEI-202	deity	primary_deity_of	SHR-113	shrine	A	L0	document	-	-	出羽三山社伝	月山権現
RLN-000027	DEI-203	deity	primary_deity_of	SHR-114	shrine	A	L0	document	-	-	出羽三山社伝	羽黒権現
RLN-000028	DEI-204	deity	primary_deity_of	SHR-115	shrine	A	L0	document	-	-	出羽三山社伝	湯殿権現
RLN-000029	DEI-191	deity	primary_deity_of	SHR-675	shrine	A	L0	document	-	-	諸修験書	蔵王権現→大峰 [audit: SHU-009→SHR-675]
RLN-000030	DEI-064	deity	primary_deity_of	SHR-032	shrine	A	L0	document	-	-	大山祇神社社伝	大山祇→伊予大山祇
RLN-000031	DEI-200	deity	primary_deity_of	SHR-014	shrine	A	L0	document	-	-	古事記|諸社伝	大山咋→日吉
RLN-000032	DEI-122	deity	primary_deity_of	SHR-013	shrine	A	L0	document	-	-	山城国風土記逸文	賀茂別雷
RLN-000033	DEI-024	deity	primary_deity_of	SHR-669	shrine	B	L1	document	-	-	出雲国風土記	八束水臣津野 [audit: SHR-X1→SHR-669]
RLN-000034	DEI-025	deity	primary_deity_of	SHR-023	shrine	A	L0	document	-	-	出雲国風土記|佐太神社社伝	佐太大神
RLN-000035	DEI-296	deity	primary_deity_of	SHR-018	shrine	A	L0	document	-	-	氷川神社社伝	氷川 [audit: SHR-X2→SHR-018]
RLN-000036	DEI-272	deity	primary_deity_of	SHR-674	shrine	B	L1	document	-	-	門客人神社縁起	アラハバキ [audit: SHR-X3→SHR-674]
RLN-000037	DEI-132	deity	primary_deity_of	SHR-040	shrine	A	L0	document	-	-	守矢家文書	洩矢神→上社前宮(在来)
RLN-000038	DEI-133	deity	primary_deity_of	SHR-040	shrine	A	L0	document	-	-	守矢家文書	ミシャグジ→上社前宮
RLN-000039	DEI-273	deity	primary_deity_of	SHR-670	shrine	A	L0	document	-	-	岩木山神社社伝	岩木山大神 [audit: SHR-X4→SHR-670]
RLN-000040	DEI-274	deity	primary_deity_of	SHR-116	shrine	A	L0	document	-	-	早池峰神社社伝	早池峰大神
RLN-000041	DEI-276	deity	primary_deity_of	SHR-052	shrine	A	L0	document	-	-	塩竈神社社伝	塩土老翁 [audit: SHR-X5→SHR-052]
RLN-000042	DEI-279	deity	primary_deity_of	SHR-671	shrine	A	L0	document	-	-	日光二荒山社伝	日光二荒山 [audit: SHR-X6→SHR-671]
RLN-000043	DEI-220	deity	primary_deity_of	SHR-093	shrine	B	L1	document	-	-	那智大社社伝	那智大滝
RLN-000044	DEI-218	deity	primary_deity_of	SHR-530	shrine	A	L0	document	-	-	愛宕社伝	愛宕権現 [audit: SHR-X7→SHR-530]
RLN-000045	DEI-219	deity	primary_deity_of	SHR-534	shrine	A	L0	document	-	-	秋葉社伝	秋葉権現 [audit: SHR-X8→SHR-534]
RLN-000046	DEI-233	deity	primary_deity_of	SHR-059	shrine	A	L0	document	-	-	阿蘇社伝	健磐龍命→阿蘇
RLN-000047	DEI-236	deity	primary_deity_of	SHR-067	shrine	A	L0	document	-	-	霧島社伝	霧島神
RLN-000048	DEI-415	deity	primary_deity_of	SHR-554	shrine	A	L0	document	-	-	葛城一言主社伝	一言主 [audit: SHR-X9→SHR-554]
RLN-000049	DEI-026	deity	primary_deity_of	SHR-672	shrine	A	L0	document	-	-	古事記	アヂスキタカヒコネ→高鴨 [audit: SHR-X10→SHR-672]
RLN-000050	DEI-211	deity	secondary_deity_of	SHR-675	shrine	B	L1	document	-	-	諸修験書	役小角 [audit: SHU-009→SHR-675]
RLN-000051	DEI-217	deity	primary_deity_of	SHR-103	shrine	A	L0	document	-	-	延喜式	廣瀬大社水神
RLN-000052	DEI-216	deity	primary_deity_of	SHR-673	shrine	A	L0	document	-	-	龍田大社社伝	龍田風神 [audit: SHR-X11→SHR-673]
RLN-000053	DEI-005	deity	secondary_deity_of	SHR-010	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000054	DEI-110	deity	secondary_deity_of	SHR-013	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000055	DEI-017	deity	secondary_deity_of	SHR-015	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000056	DEI-191	deity	secondary_deity_of	SHR-032	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000057	DEI-191	deity	secondary_deity_of	SHR-033	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000058	DEI-194	deity	secondary_deity_of	SHR-034	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000059	DEI-181	deity	secondary_deity_of	SHR-035	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000060	DEI-020	deity	secondary_deity_of	SHR-036	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000061	DEI-015	deity	secondary_deity_of	SHR-449	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000062	DEI-110	deity	secondary_deity_of	SHR-038	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000063	DEI-109	deity	secondary_deity_of	SHR-039	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000064	DEI-107	deity	secondary_deity_of	SHR-040	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000065	DEI-005	deity	secondary_deity_of	SHR-018	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000066	DEI-064	deity	secondary_deity_of	SHR-042	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000067	DEI-012	deity	secondary_deity_of	SHR-043	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000068	DEI-211	deity	secondary_deity_of	SHR-008	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000069	DEI-017	deity	secondary_deity_of	SHR-007	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000070	DEI-010	deity	secondary_deity_of	SHR-046	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000071	DEI-191	deity	secondary_deity_of	SHR-047	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000072	DEI-091	deity	secondary_deity_of	SHR-048	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000073	DEI-337	deity	secondary_deity_of	SHR-006	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000074	DEI-108	deity	secondary_deity_of	SHR-050	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000075	DEI-017	deity	secondary_deity_of	SHR-051	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000076	DEI-091	deity	secondary_deity_of	SHR-052	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000077	DEI-002	deity	secondary_deity_of	SHR-493	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000078	DEI-194	deity	secondary_deity_of	SHR-1015	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000079	DEI-109	deity	secondary_deity_of	SHR-055	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000080	DEI-342	deity	secondary_deity_of	SHR-419	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000081	DEI-014	deity	secondary_deity_of	SHR-057	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000082	DEI-337	deity	secondary_deity_of	SHR-058	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000083	DEI-342	deity	secondary_deity_of	SHR-059	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000084	DEI-017	deity	secondary_deity_of	SHR-060	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000085	DEI-002	deity	secondary_deity_of	SHR-061	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000086	DEI-002	deity	secondary_deity_of	SHR-062	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000087	DEI-009	deity	secondary_deity_of	SHR-063	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000088	DEI-011	deity	secondary_deity_of	SHR-064	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000089	DEI-111	deity	secondary_deity_of	SHR-065	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000090	DEI-091	deity	secondary_deity_of	SHR-004	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000091	DEI-107	deity	secondary_deity_of	SHR-067	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000092	DEI-110	deity	secondary_deity_of	SHR-068	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000093	DEI-016	deity	secondary_deity_of	SHR-069	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000094	DEI-107	deity	secondary_deity_of	SHR-578	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000095	DEI-010	deity	secondary_deity_of	SHR-579	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000096	DEI-181	deity	secondary_deity_of	SHR-072	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000097	DEI-016	deity	secondary_deity_of	SHR-073	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000098	DEI-011	deity	secondary_deity_of	SHR-074	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000099	DEI-003	deity	secondary_deity_of	SHR-075	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000100	DEI-064	deity	secondary_deity_of	SHR-076	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000101	DEI-005	deity	secondary_deity_of	SHR-077	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000102	DEI-109	deity	secondary_deity_of	SHR-078	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000103	DEI-009	deity	secondary_deity_of	SHR-079	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000104	DEI-191	deity	secondary_deity_of	SHR-080	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000105	DEI-110	deity	secondary_deity_of	SHR-081	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000106	DEI-011	deity	secondary_deity_of	SHR-082	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000107	DEI-012	deity	secondary_deity_of	SHR-083	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000108	DEI-016	deity	secondary_deity_of	SHR-084	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000109	DEI-211	deity	secondary_deity_of	SHR-085	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000110	DEI-108	deity	secondary_deity_of	SHR-086	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000111	DEI-019	deity	secondary_deity_of	SHR-087	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000112	DEI-018	deity	secondary_deity_of	SHR-016	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000113	DEI-074	deity	secondary_deity_of	SHR-089	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000114	DEI-015	deity	secondary_deity_of	SHR-090	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000115	DEI-181	deity	secondary_deity_of	SHR-091	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000116	DEI-011	deity	secondary_deity_of	SHR-092	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000117	DEI-011	deity	secondary_deity_of	SHR-093	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000118	DEI-091	deity	secondary_deity_of	SHR-094	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000119	DEI-064	deity	secondary_deity_of	SHR-095	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000120	DEI-003	deity	secondary_deity_of	SHR-096	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000121	DEI-011	deity	secondary_deity_of	SHR-649	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000122	DEI-107	deity	secondary_deity_of	SHR-098	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000123	DEI-017	deity	secondary_deity_of	SHR-086	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000124	DEI-064	deity	secondary_deity_of	SHR-083	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000125	DEI-181	deity	secondary_deity_of	SHR-101	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000126	DEI-005	deity	secondary_deity_of	SHR-102	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000127	DEI-001	deity	secondary_deity_of	SHR-103	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000128	DEI-015	deity	secondary_deity_of	SHR-104	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000129	DEI-011	deity	secondary_deity_of	SHR-105	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000130	DEI-009	deity	secondary_deity_of	SHR-106	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000131	DEI-010	deity	secondary_deity_of	SHR-107	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000132	DEI-211	deity	secondary_deity_of	SHR-108	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000133	DEI-074	deity	secondary_deity_of	SHR-109	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000134	DEI-296	deity	secondary_deity_of	SHR-110	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000135	DEI-003	deity	secondary_deity_of	SHR-111	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000136	DEI-005	deity	secondary_deity_of	SHR-112	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000137	DEI-001	deity	secondary_deity_of	SHR-113	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000138	DEI-014	deity	secondary_deity_of	SHR-114	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000139	DEI-200	deity	secondary_deity_of	SHR-115	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000140	DEI-012	deity	secondary_deity_of	SHR-116	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000141	DEI-074	deity	secondary_deity_of	SHR-117	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000142	DEI-109	deity	secondary_deity_of	SHR-118	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000143	DEI-015	deity	secondary_deity_of	SHR-119	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000144	DEI-181	deity	secondary_deity_of	SHR-120	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000145	DEI-337	deity	secondary_deity_of	SHR-121	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000146	DEI-074	deity	secondary_deity_of	SHR-122	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000147	DEI-211	deity	secondary_deity_of	SHR-123	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000148	DEI-018	deity	secondary_deity_of	SHR-124	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000149	DEI-091	deity	secondary_deity_of	SHR-125	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000150	DEI-010	deity	secondary_deity_of	SHR-126	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000151	DEI-010	deity	secondary_deity_of	SHR-127	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000152	DEI-194	deity	secondary_deity_of	SHR-128	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000153	DEI-011	deity	secondary_deity_of	SHR-129	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000154	DEI-019	deity	secondary_deity_of	SHR-130	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000155	DEI-342	deity	secondary_deity_of	SHR-131	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000156	DEI-019	deity	secondary_deity_of	SHR-132	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000157	DEI-009	deity	secondary_deity_of	SHR-133	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000158	DEI-296	deity	secondary_deity_of	SHR-134	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000159	DEI-001	deity	secondary_deity_of	SHR-135	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000160	DEI-108	deity	secondary_deity_of	SHR-136	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000161	DEI-091	deity	secondary_deity_of	SHR-137	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000162	DEI-009	deity	secondary_deity_of	SHR-138	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000163	DEI-016	deity	secondary_deity_of	SHR-139	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000164	DEI-108	deity	secondary_deity_of	SHR-140	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000165	DEI-020	deity	secondary_deity_of	SHR-141	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000166	DEI-111	deity	secondary_deity_of	SHR-142	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000167	DEI-181	deity	secondary_deity_of	SHR-143	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000168	DEI-001	deity	secondary_deity_of	SHR-144	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000169	DEI-191	deity	secondary_deity_of	SHR-145	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000170	DEI-006	deity	secondary_deity_of	SHR-146	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000171	DEI-002	deity	secondary_deity_of	SHR-147	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000172	DEI-020	deity	secondary_deity_of	SHR-148	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000173	DEI-110	deity	secondary_deity_of	SHR-149	shrine	B	L1	document	-	-	延喜式神名帳	式内社配祀
RLN-000174	MOTIF-001	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000175	MOTIF-001	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000176	MOTIF-002	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000177	MOTIF-002	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000178	MOTIF-003	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000179	MOTIF-003	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000180	MOTIF-004	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000181	MOTIF-004	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000182	MOTIF-005	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000183	MOTIF-005	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000184	MOTIF-006	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000185	MOTIF-006	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000186	MOTIF-007	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000187	MOTIF-007	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000188	MOTIF-008	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000189	MOTIF-008	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000190	MOTIF-009	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000191	MOTIF-009	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000192	MOTIF-010	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000193	MOTIF-010	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000194	MOTIF-011	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000195	MOTIF-011	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000196	MOTIF-012	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000197	MOTIF-012	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000198	MOTIF-013	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000199	MOTIF-013	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000200	MOTIF-014	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000201	MOTIF-014	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000202	MOTIF-015	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000203	MOTIF-015	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000204	MOTIF-016	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000205	MOTIF-016	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000206	MOTIF-017	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000207	MOTIF-017	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000208	MOTIF-018	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000209	MOTIF-018	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000210	MOTIF-019	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000211	MOTIF-019	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000212	MOTIF-020	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000213	MOTIF-020	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000214	MOTIF-021	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
RLN-000215	MOTIF-021	motif_abstract	mentioned_in	TXT-Nihonshoki	text	B	L0	document	-	-	nihonshoki	主要文献言及
RLN-000216	MOTIF-022	motif_abstract	mentioned_in	TXT-Kojiki	text	B	L0	document	-	-	kojiki	主要文献言及
