shrine_id	extended_summary	history	rituals_culture	primary_sources	external_links
SHR-057	【概要】石川県羽咋市寺家町、能登半島の付け根に鎮座する能登一宮。背後に「入らずの森」と呼ばれる原生林の禁足地を有することで知られる。【祭神】主祭神は大己貴命(大国主神)。出雲からの来臨伝承をもつ。【創建・由緒】社伝では大己貴命が出雲から舟で能登に渡り、国土を開拓した後に鎮座したと伝える。万葉集には大伴家持が当社に参詣して詠んだとされる歌があり、奈良時代には既に著名であった。【社格・歴史的位置づけ】延喜式神名帳に名神大社として記載され、能登国一宮。明治期に国幣大社に列した。	【古代】万葉集に越中守大伴家持が気多神に詣でた際の歌が載り、奈良時代に著名な北陸の大社であった。延喜式神名帳に能登国羽咋郡の名神大社として載る。【中世】能登国一宮として在地の崇敬を集めた。【近世・近代】加賀藩前田氏の崇敬を受け、社殿の造営・修復が行われた。本殿・摂社若宮神社本殿・拝神門などが重要文化財。明治期に国幣大社に列格。	【祭礼】十二月の「鵜祭(うまつり)」は生きた鵜を神前に放つ古式の特殊神事で知られる。三月の平国祭(おいでまつり)は祭神の能登平定にちなむ巡幸神事。【建築】前田氏ゆかりの社殿群が重要文化財。【境内】本殿背後の「入らずの森」は神域として立ち入りを禁じる原生林で、社叢として保護される。	延喜式神名帳|万葉集(大伴家持)|社伝	氣多大社公式 https://www.keta.jp/
SHR-059	【概要】越後国一宮で名神大社。新潟県西蒲原郡弥彦村、霊峰弥彦山の麓に鎮座し、古くから「おやひこさま」と親しまれる越後随一の大社。【祭神】天香山命(あめのかぐやまのみこと、別名・天香語山命)を祀る。社伝では天照大神の曾孫にあたり、越後国開拓の祖神として漁業・農業・酒造などの産業をもたらしたと伝える。【創建・由緒】創建年代は不明だが、万葉集に弥彦山を詠んだ歌が残るなど古代より神奈備として崇敬された。背後の弥彦山を神体山とする山岳信仰を基盤とする。【社格・歴史的位置づけ】延喜式神名帳に「伊夜比古神社」として名神大社に列し、越後一宮として朝廷・武家の崇敬を受けた。	【古代】弥彦山を神奈備とする信仰に始まり、万葉集にもその名が見える古社。延喜式神名帳に名神大社として登載され、越後国一宮の地位を確立した。【中世】源義家や上杉氏ら武門の崇敬を集め、社領の寄進を受けた。【近世・近代】徳川幕府の保護下に栄え、明治期に国幣中社に列格。明治45年(1912)の大火で社殿の大半を焼失したが、大正期に氏子の総力により壮麗な社殿が再建され現在に至る。	【祭祀・文化】例祭は2月2日。4月18日の妻戸大神例祭、7月25日の燈籠神事(燈籠まつり)が著名で、灯籠と大々神楽が奉納される。参拝作法は出雲大社と同じ「二礼四拍手一礼」で知られる。社殿は大正期再建の荘厳な造りで、弥彦山頂には御神廟が鎮座する。境内には重要文化財の太刀など宝物を伝える。摂社に武呉神社、桜井神社などを擁する。	延喜式神名帳|万葉集|社伝	彌彦神社公式 https://www.yahiko-jinja.or.jp/
SHR-061	【概要】丹波国一宮で名神大社。京都府亀岡市千歳町に鎮座し、千年山(御蔭山)を神体山とする古社。「元出雲」とも称される。【祭神】大国主命(大己貴命)と后神の三穂津姫命を主祭神とする。【創建・由緒】創建は不明だが、社伝では和銅2年(709)に社殿が造営されたと伝える。背後の御蔭山を磐座信仰の対象とし、社殿成立以前からの自然崇拝に起源を持つとされる。出雲大社よりも古くから大国主を祀ると伝え「元出雲」の通称がある。【社格・歴史的位置づけ】延喜式神名帳に名神大社として列し、丹波国一宮として崇敬された。中世には足利尊氏による社殿造営の伝承を持つ。	【古代】御蔭山を神体山とする磐座信仰に始まる古社で、延喜式神名帳に名神大社として登載。丹波国一宮として朝廷の崇敬を受けた。【中世】社伝では足利尊氏が現存の本殿を造営したと伝え、室町期の建築様式を残す本殿が重要文化財に指定されている。【近世・近代】徳川期も丹波一宮として崇敬を集め、明治期に府社に列格。現在も縁結びの神として広く信仰を集めている。	【祭祀・文化】例祭は10月21日。本殿は室町初期の三間社流造で国の重要文化財。背後の御蔭山には磐座群があり、上之社(素戔嗚尊・櫛稲田姫命)などの磐座が点在する神聖な禁足地を擁する。境内の真名井の水は名水として知られる。縁結び・夫婦和合の信仰で参拝者を集め、上之社や黒太夫社などの摂末社を有する。	延喜式神名帳|社伝	出雲大神宮公式 https://www.izumo-d.org/
SHR-062	【概要】丹後国一宮で名神大社。京都府宮津市大垣、天橋立の北端近くに鎮座し、伊勢神宮の祖宮とされることから「元伊勢籠神社」と称される。【祭神】主祭神は彦火明命(ひこほあかりのみこと、天火明命)で、海部氏の祖神。相殿に豊受大神、天照大神、海神、天水分神を祀る。【創建・由緒】社伝では、天照大神と豊受大神がかつて当地(吉佐宮)に遷座しのち伊勢へ遷ったと伝え、これにより「元伊勢」と称される。背後の真名井神社(奥宮)を磐座信仰の聖地とする。【社格・歴史的位置づけ】延喜式神名帳に名神大社として列し、丹後国一宮として崇敬された。宮司を世襲する海部氏は古代豪族の系譜を伝える。	【古代】海部氏が代々宮司を務め、その系図「海部氏系図」は現存最古の系図として国宝に指定される。延喜式神名帳に名神大社として登載され、丹後国一宮の地位を確立した。【中世・近世】丹後一宮として武家・領主の崇敬を受け続けた。【近代】明治期に国幣中社に列格。現在も海部氏が宮司を世襲し、伊勢神宮との由緒を伝える元伊勢として参拝者を集める。	【祭祀・文化】例祭は4月24日の葵祭(藤祭)で、太刀振りや神楽が奉納される。本殿は伊勢神宮と同じ神明造で、高欄に五色の座玉(すえだま)を備えるのは伊勢神宮正殿と籠神社のみとされる。国宝「海部氏系図」(本系図・勘注系図)を所蔵。奥宮の真名井神社は磐座を祀る聖地として知られる。	延喜式神名帳|海部氏系図|社伝	元伊勢籠神社公式 https://www.motoise.jp/
SHR-063	【概要】但馬国一宮で名神大社。兵庫県豊岡市出石町宮内に鎮座し、新羅からの渡来神を祀ることで知られる。【祭神】天日槍命(あめのひぼこのみこと)と、その神宝である出石八前大神を祀る。【創建・由緒】創建は不明。記紀には新羅の王子・天日槍が来朝し、各地を巡って但馬国に定住したと記され、当社はその天日槍を祖神とする渡来系氏族の奉斎に起源を持つとされる。出石地方を開拓した神として崇敬される。【社格・歴史的位置づけ】延喜式神名帳に名神大社として列し、但馬国一宮として崇敬された。渡来神を祀る古社として、日朝交流の古代史を考える上でも重要な存在である。	【古代】記紀に伝わる新羅王子・天日槍の伝承を基盤とし、出石を本拠とした渡来系氏族により奉斎されたと考えられる。延喜式神名帳に名神大社として登載され、但馬国一宮となった。【中世】山名氏ら但馬守護の崇敬を受けた。【近世・近代】出石藩主の保護下に栄え、明治期に国幣中社に列格。現在も但馬一宮「一宮さん」として地域の崇敬を集める。	【祭祀・文化】例祭は10月20日の幟まわし(のぼりまわし)で知られ、太鼓や幟を伴う賑やかな祭礼が行われる。社殿は流造で、楼門・拝殿・本殿を備える。天日槍がもたらしたとされる神宝の伝承を伝える。境内には禁足地とされる聖域があり、古来の神奈備信仰の名残をとどめる。比売社などの摂末社を有する。	延喜式神名帳|古事記|日本書紀|社伝	出石神社公式 https://izushi-jinja.jp/
SHR-064	【概要】因幡国一宮で名神大社。鳥取県鳥取市国府町宮下、稲葉山(宇倍山)の麓に鎮座する古社。【祭神】武内宿禰命(たけのうちのすくね)を主祭神とする。記紀に景行・成務・仲哀・応神・仁徳の五朝に仕えたと伝わる長寿の忠臣で、その終焉の地が当社背後の亀金岡(かめがねがおか)と伝えられる。【創建・由緒】社伝では大化4年(648)の創建と伝える。武内宿禰がこの地で双履(双沓)を残して姿を隠したという伝承を持ち、亀金岡の御陵伝承地を擁する。【社格・歴史的位置づけ】延喜式神名帳に名神大社として列し、因幡国一宮として崇敬された。長寿・忠誠の神として、また日本初の紙幣の図柄に当社が描かれたことでも知られる。	【古代】社伝に大化4年(648)の創建と伝え、武内宿禰終焉伝承を核とする。延喜式神名帳に名神大社として登載され、因幡国一宮の地位を確立した。【中世】因幡守護らの崇敬を受けた。【近世・近代】鳥取藩主池田氏の崇敬を集め、明治期に国幣中社に列格。明治32年(1899)発行の五円紙幣をはじめ、社殿と武内宿禰の図柄が複数の日本銀行券に採用された。	【祭祀・文化】例祭は4月21日。武内宿禰が双履を残したと伝わる亀金岡(双履石)が背後にあり、武内宿禰の御陵伝承地として知られる。長寿・健康の信仰を集める。社殿は流造で、拝殿・幣殿・本殿を備える。境内からは因幡国府跡を望み、古代因幡の中心地であったことをうかがわせる。	延喜式神名帳|古事記|日本書紀|社伝	宇倍神社公式 https://ubejinja.or.jp/
SHR-068	【概要】隠岐国一宮で名神大社。島根県隠岐郡隠岐の島町(島後)郡に鎮座する隠岐諸島を代表する古社。【祭神】水若酢命(みずわかすのみこと)を主祭神とする。隠岐国の国土開発と海上鎮護を司る神とされる。【創建・由緒】創建年代は不明。古来、隠岐の島(島後)の総鎮守として崇敬され、海に囲まれた隠岐における国家鎮護・海上安全の信仰を担ってきた。【社格・歴史的位置づけ】延喜式神名帳に名神大社として列し、隠岐国一宮として崇敬された。隠岐造と呼ばれる独自の本殿建築を伝え、離島ながら格式高い大社として歴史を刻んできた。	【古代】隠岐島後の総鎮守として古くから崇敬され、延喜式神名帳に名神大社として登載。隠岐国一宮の地位を確立した。【中世】隠岐は後鳥羽上皇・後醍醐天皇の配流地となり、配流の歴史と深く関わる地に鎮座した。【近世・近代】松江藩の支配下で隠岐の総鎮守として崇敬を集め、明治期に国幣中社に列格。現存本殿は寛政期の再建と伝え、国の重要文化財に指定されている。	【祭祀・文化】例祭は隔年で行われる「水若酢神社祭礼風流」が著名で、島根県の無形民俗文化財に指定され、馬入れ神事や流鏑馬、神輿渡御などが奉納される。本殿は「隠岐造」と称される独特の建築様式で、茅葺の大社風の造りをもち国の重要文化財。離島の祭祀文化を今に伝える貴重な事例である。	延喜式神名帳|社伝	-
SHR-069	【概要】播磨国一宮で名神大社。兵庫県宍粟市一宮町須行名に鎮座し、播磨国の総鎮守として崇敬される古社。【祭神】伊和大神(いわのおおかみ、大己貴命と同一視される)を主祭神とする。播磨国を開拓し国造りを行った地主神とされる。【創建・由緒】社伝では成務天皇または欽明天皇の代の創建と伝える。播磨国風土記に伊和大神による播磨国土の開発・地名起源の説話が豊富に記され、当社はその伊和大神を奉斎する播磨随一の古社である。【社格・歴史的位置づけ】延喜式神名帳に名神大社として列し、播磨国一宮として崇敬された。社殿が北向きに建つことでも知られる。	【古代】播磨国風土記に伊和大神の国占め・国作りの説話が多数記され、播磨開拓の祖神として古代から崇敬された。延喜式神名帳に名神大社として登載され、播磨国一宮の地位を確立した。【中世】播磨守護赤松氏らの崇敬を受けた。【近世・近代】姫路藩などの保護を受け、明治期に国幣中社に列格。現在も播磨国総鎮守「一宮さん」として広く信仰を集めている。	【祭祀・文化】例祭は10月15・16日の秋季大祭で、屋台(ようたい)の練り出しなど播磨の祭礼文化を伝える。21年ごとの式年祭(三ツ山祭)の伝統を持つ。社殿は北向きに鎮座する珍しい配置で、本殿は入母屋造。境内には鶴が舞い降りたと伝わる「鶴石」があり、創建伝承を伝える。豊かな社叢に囲まれた古社の景観を残す。	延喜式神名帳|播磨国風土記|社伝	伊和神社公式 https://iwajinja.or.jp/
SHR-072	【概要】備中国一宮で名神大社。岡山県岡山市北区吉備津に鎮座し、吉備中山の北西麓に位置する。比翼入母屋造の壮大な社殿で知られる。【祭神】大吉備津彦命(おおきびつひこのみこと)を主祭神とする。崇神天皇の代に四道将軍として吉備を平定したと記紀に伝わる皇族で、桃太郎伝説の原型とされる温羅(うら)退治伝承の主人公でもある。【創建・由緒】創建は不明だが、吉備中山を神体山とする信仰を基盤とする古社。吉備津彦命による吉備平定と温羅退治の伝承を核とする。【社格・歴史的位置づけ】延喜式神名帳に名神大社として列し、備中国一宮として崇敬された。かつて吉備国一宮で、備前・備中・備後の三吉備津宮の本社にあたる。	【古代】吉備中山を神体山とする信仰に始まり、吉備津彦命を奉斎する吉備国総鎮守として崇敬された。吉備国の三分割後は備中国一宮となり、延喜式神名帳に名神大社として登載された。【中世】足利義満の造営と伝わる現存本殿・拝殿が応永32年(1425)に再建され、室町建築の傑作として国宝に指定される。【近世・近代】岡山藩主池田氏の崇敬を受け、明治期に官幣中社に列格した。	【祭祀・文化】本殿・拝殿は「比翼入母屋造(吉備津造)」と呼ばれる全国唯一の様式で国宝。約400メートルに及ぶ廻廊も有名で県重要文化財。温羅の首を埋めたと伝わる御釜殿で行われる「鳴釜神事(釜鳴り神事)」は、釜の鳴る音で吉凶を占う特殊神事として上田秋成『雨月物語』にも描かれた。例祭のほか七十五膳据神事などを伝える。	延喜式神名帳|古事記|日本書紀|社伝	吉備津神社公式 https://www.kibitujinja.com/
SHR-074	【概要】安芸国一宮で名神大社。広島県廿日市市宮島町、瀬戸内海の宮島(厳島)に鎮座し、海上に立つ朱塗りの大鳥居と社殿で世界的に著名。日本三景の一つで世界文化遺産。【祭神】宗像三女神、すなわち市杵島姫命を主祭神とし、田心姫命・湍津姫命を配祀する。海の守護神として崇敬される。【創建・由緒】社伝では推古天皇元年(593)に佐伯鞍職(さえきのくらもと)が創建したと伝える。島全体を神とする信仰を基盤とし、潮の満ち引きする海上に社殿を営む独特の景観を生んだ。【社格・歴史的位置づけ】延喜式神名帳に名神大社として列し、安芸国一宮として崇敬された。平安末期に平清盛の崇敬を受け、現在の壮麗な寝殿造の社殿が整えられた。	【古代】社伝に推古天皇元年(593)の佐伯鞍職による創建を伝え、島を神体とする信仰に始まる。延喜式神名帳に名神大社として登載された。【中世】平清盛が深く崇敬し、仁安年間に寝殿造様式の社殿を造営、平家一門の参詣で隆盛した。『平家物語』にも描かれる。【近世・近代】毛利氏・豊臣秀吉らの崇敬を受け、明治期に官幣中社に列格。1996年に世界文化遺産に登録された。	【祭祀・文化】例祭は旧暦6月17日の管絃祭で、平清盛が始めたと伝わる海上の祭礼として名高い。社殿群(本社本殿・拝殿・回廊・能舞台・客神社等)と大鳥居は国宝・重要文化財で、海上に展開する寝殿造は世界的に類を見ない。『平家納経』をはじめ平家奉納の宝物を多数所蔵する。旧暦大晦日の鎮火祭など多彩な神事を伝える。	延喜式神名帳|平家物語|社伝	厳島神社公式 https://www.itsukushimajinja.jp/
SHR-076	【概要】長門国一宮で名神大社。山口県下関市一の宮住吉に鎮座し、大阪・福岡の住吉とともに「日本三大住吉」の一つに数えられる。【祭神】住吉三神の荒魂(底筒男命・中筒男命・表筒男命)を主祭神とする。海上守護・航海安全の神として崇敬される。【創建・由緒】社伝では神功皇后の三韓征伐に際し住吉大神の神託があり、その荒魂を当地に祀ったことに始まると伝える。記紀・住吉信仰の伝承を基盤とし、関門海峡を望む要衝に海上鎮護の神を祀る。【社格・歴史的位置づけ】延喜式神名帳に名神大社として列し、長門国一宮として崇敬された。住吉荒魂を祀る点に特色を持つ。	【古代】神功皇后の住吉大神奉斎伝承を起源とし、住吉荒魂を祀る社として古代より崇敬された。延喜式神名帳に名神大社として登載され、長門国一宮の地位を確立した。【中世】応安年間に大内弘世が現存本殿を造営したと伝え、九間社流造の本殿は国宝に指定される。拝殿は毛利元就の寄進と伝わり重要文化財。【近世・近代】長門一宮として崇敬され、明治期に官幣中社に列格した。	【祭祀・文化】例祭は12月15日。本殿は五社殿を一棟に連ねた「九間社流造」という全国的に類例の少ない様式で国宝。拝殿は天文年間に毛利元就が寄進したと伝わり国の重要文化財。御田植祭(おたうえさい)など農耕儀礼を伝える。社宝に大内・毛利氏ゆかりの太刀などを蔵し、武門の崇敬の篤さを物語る。	延喜式神名帳|古事記|日本書紀|社伝	-
SHR-077	【概要】日前神宮は和歌山市秋月に鎮座し、國懸神宮とともに一つの境内に並び立つ古社で、両社を合わせて「日前宮(にちぜんぐう)」と総称される。【祭神】日前大神(日像鏡を神体とする)を主神とし、相殿に思兼命・石凝姥命を祀ると伝わる。【創建・由緒】社伝では、天照大神が天岩戸に隠れた際に石凝姥命が鋳造した鏡のうち、伊勢神宮の八咫鏡に先立って造られた鏡を神体とし、神武天皇の時代に紀伊国造家の祖が祀ったと伝わる。【社格・歴史的位置づけ】『延喜式神名帳』に名神大社として記載され、紀伊国一宮とされる。紀伊国造家(紀氏)が代々祭祀を担ってきた。	【古代】紀伊国造家が祭祀権を世襲し、両神宮を奉斎してきたと伝わる。『日本書紀』神代巻に日前神・国懸神の記述が見える。『延喜式神名帳』では名神大社に列せられた。【中世】紀伊国一宮として崇敬を集めたが、社地の変遷を経たとされる。【近世・近代】明治期に官幣大社に列格した。一境内に二つの神宮が並ぶ古来の形を今に伝えている。	【祭日・神事】例祭は秋季に行われる。両神宮が並立する独特の社殿配置が特徴で、それぞれ独立した神門・社殿を構える。【建築・境内】広大な杜に包まれ、紀伊国造家ゆかりの社として古制を伝える。【摂末社】境内に天道根神社など複数の摂末社を擁する。	日本書紀(神代巻)|延喜式神名帳|社伝	-
SHR-078	【概要】國懸神宮は和歌山市秋月の日前宮境内に、日前神宮と並んで鎮座する古社である。両社を合わせ「日前宮」と総称され、ともに紀伊国一宮とされる。【祭神】國懸大神を主神とし、日矛鏡を神体とすると伝わる。相殿に玉祖命・明立天御影命・鈿女命を祀るとされる。【創建・由緒】社伝では、石凝姥命が天照大神のために鋳造した鏡のうちの一面を神体とし、紀伊国造家の祖が神武朝に奉斎したと伝わる。日前神宮と表裏一体の由緒を持つ。【社格・歴史的位置づけ】『延喜式神名帳』に名神大社として記載され、日前神宮とともに紀伊国一宮に位置づけられる。	【古代】『日本書紀』神代巻に国懸神の記述が見える。紀伊国造家が日前神宮とともに祭祀を世襲してきたと伝わる。『延喜式神名帳』に名神大社として列せられた。【中世】紀伊国一宮として武家・朝廷の崇敬を受けたとされる。【近世・近代】明治期に官幣大社に列格。日前・國懸の両神宮が同一境内に並立する形態を今日まで保っている。	【祭日・神事】例祭は秋季に営まれる。日前神宮と対をなす社殿が並び、神門・本殿を別個に構える点が特色である。【建築・境内】古来の鎮守の杜を保ち、紀伊国造家ゆかりの祭祀空間を伝える。【摂末社】両神宮の境内に複数の摂末社を祀る。	日本書紀(神代巻)|延喜式神名帳|社伝	-
SHR-079	【概要】丹生都比売神社は和歌山県伊都郡かつらぎ町上天野に鎮座し、全国の丹生都比売神を祀る神社の総本社とされる。地元では「天野大社」とも称される。【祭神】第一殿に丹生都比売大神(稚日女尊とも)、第二殿に高野御子大神(狩場明神)、第三殿に大食都比売大神、第四殿に市杵島比売大神を祀る。【創建・由緒】社伝では古く神代に遡るとされる。高野御子大神が空海を高野山へ導いたと伝わり、丹生都比売神が高野山の地を空海に授けたとの伝承から、高野山金剛峯寺の地主神・守護神として深く結びついた。【社格・歴史的位置づけ】『延喜式神名帳』に名神大社として記載され、紀伊国一宮とされる。2004年「紀伊山地の霊場と参詣道」の一部として世界遺産に登録された。	【古代】丹生・水銀(辰砂)の産出と関わる丹生氏の奉斎する神とされる。9世紀に空海が高野山を開くにあたり、地主神として崇敬された。【中世】高野山の鎮守として隆盛し、神仏習合のもと両部神道の影響を受けた。北条政子の寄進と伝わる楼門などが整備された。【近世・近代】高野山と一体の信仰を保ち、明治の神仏分離を経て官幣大社に列格した。	【祭日・神事】例祭(渡御の儀)が行われる。室町時代の建立と伝わる楼門は重要文化財に指定され、四殿の本殿は春日造で重要文化財。【建築・境内】鏡池に架かる輪橋(太鼓橋)が知られる。【世界遺産・文化財】境内は世界遺産の構成資産。銀銅蛛の網の太刀など多くの文化財を蔵する。【摂末社】境内に複数の末社を祀る。	延喜式神名帳|社伝|高野山関係縁起	丹生都比売神社公式 https://niutsuhime.or.jp/
SHR-080	【概要】伊弉諾神宮は兵庫県淡路市多賀に鎮座し、日本最古の神社の一つとされる。淡路国一宮で、古くは「淡路島神」「一宮大神」と称された。【祭神】伊弉諾尊・伊弉冉尊の二柱を祀る。【創建・由緒】『古事記』『日本書紀』に、国生み・神生みを終えた伊弉諾尊が淡路の多賀の地に幽宮(かくりのみや)を構えて余生を過ごしたと記され、その御陵に起源を持つと伝わる。神宮の地はその幽宮の旧跡とされる。【社格・歴史的位置づけ】『延喜式神名帳』に名神大社として記載され、淡路国一宮。明治期に官幣大社に列格、1954年に神宮号を冠した。記紀神話の国生みの中心地としての位置づけを持つ。	【古代】『日本書紀』に「幽宮を淡路の洲に構りて」とあり、伊弉諾尊終焉の地と伝わる。『延喜式神名帳』に名神大社として列せられた。【中世】淡路国一宮として崇敬を集めた。【近世・近代】明治期に官幣大社に列格し、本殿の背後にあった墳丘(神陵地)を移し本殿を造営したと伝わる。1954年に伊弉諾神宮と改称した。	【祭日・神事】例祭は春に行われる。境内の「夫婦大楠」は樹齢の古い御神木として知られ、兵庫県指定天然記念物。【建築・境内】本殿は伊弉諾尊の御陵伝承地に鎮まる。陽の道しるべ(太陽運行と諸社の位置関係)の伝承で知られる。【摂末社】境内に複数の摂末社を祀る。	古事記(上巻)|日本書紀(神代巻)|延喜式神名帳	伊弉諾神宮公式 https://izanagi-jingu.jp/
SHR-081	【概要】大麻比古神社は徳島県鳴門市大麻町に鎮座する阿波国一宮で、地元では「大麻さん」と親しまれる。【祭神】大麻比古大神を主神とし、猿田彦大神を配祀する。大麻比古大神は阿波忌部氏の祖神・天日鷲命に関わる神とも、忌部氏の祖を祀るとも伝わる。【創建・由緒】社伝では、神武天皇の時代に阿波忌部氏の祖が麻・楮を植えて開拓し、その祖神を大麻山の麓に祀ったことに始まると伝わる。忌部氏は朝廷の祭祀に用いる麻織物を貢進した氏族である。【社格・歴史的位置づけ】『延喜式神名帳』に名神大社として記載され、阿波国一宮。明治期に国幣中社に列格した。	【古代】阿波忌部氏が奉斎し、朝廷の大嘗祭に麁服(あらたえ)を献上する氏族の祖神とされた。『延喜式神名帳』に名神大社として列せられた。【中世】阿波国一宮として武家の崇敬を受けたとされる。【近世・近代】蜂須賀氏ら阿波の領主の崇敬を受け、明治期に国幣中社に列格した。	【祭日・神事】例祭が行われる。境内には樹齢の古い大楠の御神木がある。【建築・境内】境内のドイツ橋・めがね橋は、第一次大戦時に近隣の板東俘虜収容所のドイツ兵捕虜が築いたと伝わる石橋で知られる。【摂末社】境内に複数の摂末社を祀る。【文化】忌部氏ゆかりの麻栽培の伝統と結びつく。	延喜式神名帳|社伝|忌部氏関係伝承	大麻比古神社公式 https://www.ooasahikojinja.jp/
SHR-082	【概要】田村神社は香川県高松市一宮町に鎮座する讃岐国一宮で、古くは「田村大社」「一宮」と称された。【祭神】倭迹迹日百襲姫命を主神とし、五十狭芹彦命(吉備津彦命)・猿田彦大神・天隠山命・天五田根命を合わせ「田村大神」として祀ると伝わる。【創建・由緒】社伝では、和銅2年(709年)に社殿が創建されたと伝わる。境内には深い淵(花泉)があり、水神信仰・農業用水の守護神としての性格が古くからあったとされる。【社格・歴史的位置づけ】『延喜式神名帳』に名神大社として記載され、讃岐国一宮。明治期に国幣中社に列格した。	【古代】讃岐平野の灌漑・水源と結びつく水神を祀る古社とされる。社伝では和銅年間の創建を伝える。『延喜式神名帳』に名神大社として列せられた。【中世】讃岐国一宮として崇敬を集めた。【近世・近代】高松藩主松平氏の崇敬を受けたと伝わり、明治期に国幣中社に列格した。	【祭日・神事】例祭が行われる。境内の奥殿の下に湧水の淵(定水井・花泉)があり、覗くと祟りがあるとの伝承が残る。【建築・境内】水に関わる伝承が多く、龍神信仰とも結びつく。近年は多彩な境内整備で知られる。【摂末社】境内に多数の摂末社を祀る。	延喜式神名帳|社伝	田村神社公式 http://tamurajinja.com/
SHR-083	【概要】大山祇神社は愛媛県今治市大三島町宮浦、瀬戸内海の大三島に鎮座する伊予国一宮で、全国の大山祇神社・三島神社の総本社とされる。「日本総鎮守」を称する。【祭神】大山積神(大山津見神)を祀る。山の神・海の神・武人の守護神として広く信仰される。【創建・由緒】社伝では、大山積神の子孫とされる小千命(乎知命)が大三島に神を勧請したことに始まると伝わる。瀬戸内海の制海権と関わり、古代から海上交通・水軍の守護神として崇敬された。【社格・歴史的位置づけ】『延喜式神名帳』に名神大社として記載され、伊予国一宮。明治期に国幣大社に列格した。武具・甲冑の奉納で知られる。	【古代】瀬戸内の海人と関わり、越智氏・河野氏ら伊予の豪族が奉斎したと伝わる。『延喜式神名帳』に名神大社として列せられた。【中世】源氏・平氏をはじめ武将が武具を奉納し、武門の守護神として隆盛した。河野氏・村上水軍の崇敬を受けた。【近世・近代】明治期に国幣大社に列格した。	【祭日・神事】例祭のほか、御田植祭・抜穂祭で奉納される一人角力(ひとりずもう)が知られる。【建築・境内】本殿・拝殿は重要文化財。境内の大楠群は天然記念物で、乎知命お手植えと伝わる楠もある。【文化財】国宝・重要文化財の甲冑・刀剣を多数蔵し、紫陽殿・国宝館に収蔵する。武具奉納数は国内有数。	延喜式神名帳|社伝	大山祇神社公式 https://oomishimagu.jp/
SHR-084	【概要】土佐神社は高知県高知市一宮(いっく)しなねに鎮座する土佐国一宮で、古くは「都佐坐神社」「高賀茂大明神」「一宮(いっく)さま」と称された。【祭神】味鋤高彦根神(あぢすきたかひこねのかみ)と一言主神を祀ると伝わる。両神には諸説があり併記される。【創建・由緒】社伝では古く神代に遡るとされ、『日本書紀』雄略天皇の条に、葛城の一言主神が土佐に流されたとの伝承が見え、当社の由緒と関わるとされる。一方で、賀茂氏ゆかりの味鋤高彦根神を祀るとの説もある。【社格・歴史的位置づけ】『延喜式神名帳』に「都佐坐神社」として名神大社に記載され、土佐国一宮。明治期に国幣中社に列格した。	【古代】『日本書紀』『続日本紀』『土佐国風土記』逸文に土佐の神に関する記述が見える。『延喜式神名帳』に名神大社として列せられた。【中世】土佐国一宮として崇敬を集めた。【近世・近代】戦国期に焼亡したが、永禄年間に長宗我部元親が社殿を再建したと伝わる。明治期に国幣中社に列格した。	【祭日・神事】例祭は「しなね祭」と呼ばれ夏に行われる。【建築・境内】長宗我部元親再建と伝わる本殿・幣殿・拝殿は十字形(入蜻蛉形)の配置で知られ、重要文化財。楼門(神光門)・鼓楼も重要文化財。【摂末社】境内に複数の摂末社を祀る。	日本書紀(雄略紀)|土佐国風土記(逸文)|延喜式神名帳|社伝	土佐神社公式 https://www.tosajinja.i-tosa.com/
SHR-085	【概要】住吉神社は福岡市博多区住吉に鎮座する筑前国一宮で、全国の住吉神社の中でも最も古い起源を持つとされ「日本第一住吉宮」を称する。【祭神】底筒男命・中筒男命・表筒男命の住吉三神を主神とし、天照皇大神・神功皇后を配祀する。【創建・由緒】社伝では、伊弉諾尊が黄泉国から帰り筑紫の日向の橘の小戸の阿波岐原で禊を行った際に住吉三神が生まれたとされ、その地が当社の鎮座地に近いと伝わる。住吉三神は海上交通・航海安全の守護神である。【社格・歴史的位置づけ】『延喜式神名帳』に名神大社として記載され、筑前国一宮。明治期に官幣小社、のち官幣中社に列格した。	【古代】禊祓・航海の神として古代から博多湾岸で崇敬された。『延喜式神名帳』に名神大社として列せられた。【中世】筑前国一宮として武家・商人の崇敬を受けた。【近世・近代】福岡藩主黒田氏の崇敬を受け、現本殿は元和9年(1623年)に黒田長政が造営したと伝わる。明治期に官幣中社に列格した。	【祭日・神事】例祭(相撲会大祭)が秋に行われる。【建築・境内】本殿は古い神社建築様式「住吉造」を伝え、元和9年造営の本殿は重要文化財に指定される。【摂末社】境内に複数の摂末社を祀る。【文化】航海・禊祓・和歌の神としても信仰される。	日本書紀(神代巻)|延喜式神名帳|社伝	住吉神社公式 https://nihondaiichisumiyoshigu.jp/
