motif_id	extended_summary	primary_sources	external_links
MOTIF-016	【黄泉国神話】イザナミ死後、イザナギが妻を追って訪れた死者の国の神話(『古事記』神代上)。【神話の流れ】イザナミの火神カグツチ出産死亡後、悲しんだイザナギは妻を追って黄泉国を訪問、「私はまだ国を作り終えていない、戻ってくれ」と懇願、イザナミは「黄泉戸食(よもつへぐい=黄泉の食物)を食べてしまったので戻れないが、黄泉神に相談する間、私の姿を見ないで」と禁忌を伝え去る。待ちきれないイザナギは禁忌を破って櫛の歯で火を灯し、腐乱して蛆の湧くイザナミの姿を見て恐怖、逃走。怒ったイザナミは黄泉醜女(よもつしこめ)・八雷神(やくさのいかづちのかみ)を派遣して追わせるが、イザナギは桃の実(黄泉戸食を避けるための供物)を投げて撃退、最終的に黄泉比良坂(よもつひらさか)を千引岩で塞ぎ、ここで永久の離別を宣告。「あなたが1日に1000人殺せば、私は1日に1500人産む」の生死応酬で別離(『古事記』)。【生死起源神話】死者の世界(黄泉国)と生者の世界の境界=黄泉比良坂が物理的世界観として確立、世界の死後世界神話(オルフェウス神話・ペルセポネ神話・イザナギの黄泉訪問)の比較研究の中心事例(L2-L3、松前健・大林太良)。【見るな禁忌】「見るな」「振り返るな」の禁忌構造は世界神話に普遍的だが、イザナギ神話と古代ギリシャ・オルフェウス神話・キリスト教ロト妻神話との類似性が比較神話学で論じられる。【信仰】黄泉比良坂の比定地は出雲国(現島根県松江市東)の伊賦夜坂(イフヤサカ、現地に石碑あり)、出雲神話の聖地。	古事記(神代上 黄泉国段)|日本書紀(神代上 第五段一書)|出雲国風土記	
MOTIF-018	【常世国】古代日本の神話的他界観における「永遠の他界」、海の彼方にあるとされる不老不死・永遠の世界。【神話登場例】(1)スクナビコナが大国主との国造り途中に常世国へ去る(『古事記』神代上)、(2)垂仁朝、田道間守(たじまもり)が非時香菓(ときじくのかくのみ=橘の原種)を求めて常世国へ派遣されたが、帰国時には垂仁すでに崩御、田道間守は陵前で号泣して死去(『日本書紀』垂仁90年)、(3)浦島太郎説話(常世から来た亀=乙姫=豊玉姫系の海宮神話)。【常世観の系統】常世は山幸彦の訪れた海宮(綿津見宮)と同体視されることが多く、「海の彼方の永遠世界」が古代日本の代表的他界観。仏教伝来後は浄土・極楽と同体視される傾向(L1)、特に補陀落浄土(観音浄土)信仰=補陀落渡海(熊野那智から船で海を渡って観音浄土を目指す捨身行)が中世日本で行われた背景。【比較神話】ギリシャ神話のヘスペリデスの園、ケルト神話の「常若の国(Tír na nÓg)」と類似、世界の島嶼民族の永遠他界観として位置。	古事記(神代上 大国主段)|日本書紀(垂仁紀・神代上)|浦島太郎説話(風土記諸逸文)|補陀落渡海記	
MOTIF-026	【八岐大蛇神話】須佐之男命(スサノオ、DEI-002)が出雲国簸川(ひのかわ=斐伊川)上流で八岐大蛇(やまたのおろち)を退治した神話(『古事記』神代上 八岐大蛇段)。【神話の流れ】高天原を追放されたスサノオが出雲国に降臨、簸川上流の老夫婦・足名椎(あしなづち)・手名椎(てなづち)に出会う、彼らの末娘・櫛名田比売(クシナダヒメ、DEI-021)が8年連続で八岐大蛇に7人の姉を喰われ、いよいよ8番目の自分の番だと泣いていた。スサノオは「娘を妻にくれれば大蛇を退治する」と申し出、八塩折之酒(やしおりのさけ=8回醸し直した強い酒)を造らせて大蛇に飲ませて酔わせ、十拳剣で寸断して退治、大蛇の尾から草薙剣(三種の神器の一)を得る。退治後、クシナダを妻とし出雲須賀に宮殿を建て「八雲立つ 出雲八重垣 妻籠みに 八重垣作る その八重垣を」を詠む、和歌の起源。【神話解釈】八岐大蛇=斐伊川の氾濫(8つの支流)の擬人化説(L2)、または砂鉄製鉄の象徴(L3、出雲は古代製鉄拠点)、または出雲先住民への征服神話説(L3)等。【比較神話】英雄が龍蛇を退治する構造は世界普遍的(ペルセウス、ジークフリート、聖ゲオルギオス等)、世界神話の英雄退治型の日本版。【信仰】須我神社(島根、スサノオ宮殿建設地)、八重垣神社(松江、夫婦祀)で祀られる。	古事記(神代上 八岐大蛇段)|日本書紀(神代上 第八段本文・一書)|出雲国風土記|備後国風土記逸文	
MOTIF-029	【三輪山型神婚】神(蛇神等)が人間女性のもとに夜間訪問し、姿を見られて立ち去る型の神婚説話、日本古代神話の代表的説話類型。【代表例】(1)崇神朝、大物主神が倭迹迹日百襲姫命(やまとととひももそひめ)の夫となり夜のみ訪れる、姫が「昼の姿を見せて」と請うと「明朝、君の櫛箱を覗け」と告げる、翌朝、櫛箱に小蛇が現れ姫が驚き叫ぶと神は恥じて三輪山に帰り、姫は箸で陰部を突いて死亡、箸墓古墳に葬られた(『日本書紀』崇神紀)。(2)賀茂氏祖神話で、玉依姫(かもの玉依姫)が賀茂川で禊する際に流れてきた丹塗りの矢(神霊の依代)に感じて懐妊、生まれた子が賀茂別雷神(DEI-122、上賀茂神社祭神)、姫の父・賀茂建角身に「父神は誰か」と問われた子は天井に向かって「我が父は天津神」と矢を投げて答え、神懐妊と判明(『山城国風土記』逸文)。【比較神話】「不可視の夫」型神婚は世界神話に普遍的(エロスとプシュケ、白鳥処女説話、星女房等)、L2-L3 で比較神話研究の中心主題。【箸墓】倭迹迹日百襲姫の墓・箸墓古墳(墳丘長280m、3世紀後半)は卑弥呼墓説の有力候補(L2-L3、考古学・古代史)、邪馬台国畿内説の核心的史跡。	日本書紀(崇神紀)|古事記(中巻 崇神段)|山城国風土記逸文|大神神社縁起	
MOTIF-035	【大物主の蛇身】崇神朝、三輪山祭神・大物主大神が蛇身として現れる神話(『日本書紀』崇神紀)。【倭迹迹日百襲姫の説話】百襲姫が大物主の夫となるが昼間の姿を知らない、姫が「明朝、君の櫛箱を覗け」と告げられ、翌朝開けてみると美しい小蛇がいて姫が驚き叫ぶと神は恥じて三輪山に帰り、姫は箸で陰部を突いて死亡(箸墓伝承)。【蛇神信仰】大物主=三輪山=蛇神という構造は、神社建築以前の山岳磐座祭祀+蛇神信仰の遺存形態、農耕神=蛇神の古層信仰を反映(L2、松前健・吉田敦彦)。【比較】記紀には他に大蛇神話(八岐大蛇、伊吹山白猪)、神話的蛇神は世界普遍的(ナーガ、ウロボロス、ケルト等)。【信仰】大神神社(SHR-010)、三輪山の蛇祭祀継承、毎年大神祭で蛇神の神紋(三本杉=御室杉)を奉斎。三輪山周辺で蛇に出会うのは大物主の現身とする民俗信仰、現代も継承。	日本書紀(崇神紀)|大神神社縁起|新撰姓氏録	
MOTIF-041	【海宮神話】山幸彦(火遠理命=ホオリ)が綿津見宮(海中の宮殿)を訪問する記紀神話(『古事記』神代下 海幸山幸段)。【神話の流れ】兄の海幸彦と山幸彦が漁・狩道具を取り替え、山幸彦が兄の釣針を海中に失い兄に怒られる、塩椎神(しおつちのかみ)の助言で目無籠(まなしかつま=隙間のない籠)に乗って海宮へ。海宮で井戸端で水を汲んでいた豊玉姫(綿津見大神の娘、DEI-088)と出会い結ばれ、3年を過ごす。釣針を取り戻し、潮干珠・潮満珠(潮の干満を意のままにする宝珠)を授かって地上へ戻り、兄を懲らしめて服従させる。【ウガヤフキアエズ出産】帰国後、豊玉姫は鵜の羽で葺いた産屋でウガヤフキアエズを出産する際、夫に「私の本来の姿は他国の姿(ワニ=サメ)、見るな」と禁じたが山幸彦が覗き見、夫婦の禁忌違反のため豊玉姫は海宮へ帰り母子は離別。子のウガヤを養育した妹・玉依姫が後にウガヤと結婚し神武を生む(系譜の連続性)。【海人族系譜】豊玉姫の子孫が皇統(神武の祖父母)、海人族の祖神=皇室外戚化の神話的構造、阿曇氏・宗像氏・隼人等の海人氏族が祖神とする。【比較】英雄が海中宮を訪問し異界の女性と結ばれる構造は世界神話に普遍的(ポセイドンの宮、メリュジーヌ伝説等)、L2-L3 比較神話研究。	古事記(神代下 海幸山幸段)|日本書紀(神代下 第十段本文・一書)	
MOTIF-042	【ワタツミ三神】イザナギの黄泉国訪問後の禊で生まれた海神三神 — 底津綿津見神(そこつわたつみ)・中津綿津見神(なかつわたつみ)・上津綿津見神(うわつわたつみ)、または総体としての大綿津見神(DEI-168)。【神話的位置】住吉三神(底筒・中筒・表筒)と同じく禊段で生まれ、海中の三層(底・中・上)を司る海神。山幸彦の海宮訪問神話で「海宮の主」「豊玉姫・玉依姫の父」として登場(『古事記』『日本書紀』)。【阿曇氏祖神】海人族・阿曇氏(CLN-033)の祖神格、博多湾入口の志賀島の志賀海神社(現福岡市東区)で阿曇氏が古代から綿津見三神祭祀を継承、海人氏族の中心信仰。【神武天皇との関係】豊玉姫(綿津見の娘)・玉依姫(豊玉姫の妹)が皇統に入り、神武天皇の祖母系として皇室外戚の神話的根拠。【比較】海神三層構造=底・中・上は世界の海洋神話に普遍的、ポセイドン・ネプチューン等との比較が論じられる(L2-L3)。【信仰】志賀海神社・和多都美神社(対馬、海中鳥居)・全国の綿津見神社・海神社で祀られる、海上守護・潮汐・漁業の神。	古事記(神代上 禊段・神代下 海幸山幸段)|日本書紀(神代上 第六段・神代下 第十段一書)|志賀海神社縁起	
MOTIF-044	【宗像三女神】アマテラスとスサノオの誓約(うけい)で生まれた三女神 — 田心姫(DEI-017、沖津宮=沖ノ島)・湍津姫(DEI-018、中津宮=大島)・市杵島姫(DEI-019、辺津宮=本土)。【神話的位置】高天原の誓約段で、スサノオの剣からアマテラスが生み出した三女神(『古事記』『日本書紀』神代上 誓約段)、出雲系神格との混交を示す中軸海神。【沖ノ島祭祀】沖ノ島(本土から60km沖の絶海の孤島)で4-9世紀の祭祀活動、磐座→半岩陰→岩陰→半露天→露天の5段階変遷を経た古代海上祭祀の最高神格、出土の8万点(国宝)の祭祀遺物(三角縁神獣鏡・金製指輪・カットグラス碗等)は宗像三女神への奉献品。【世界遺産】2017年「神宿る島宗像・沖ノ島と関連遺産群」としてユネスコ世界文化遺産登録、沖ノ島祭祀遺跡を中心とする世界的に類例なき古代海洋祭祀。【宗像氏祭祀】古代海人族・宗像氏(CLN-016)が古代から代々祭祀継承、応神朝の宗像君徳善の娘・尼子娘が藤原武智麻呂の母となり皇室外戚化。【弁才天習合】中世以降、市杵島姫は仏教の弁才天と習合、安芸宮島・厳島神社(世界遺産)・江島神社(江ノ島)・竹生島宝厳寺・天河大弁財天社等の弁天信仰拠点で祀られる。【信仰】宗像大社三宮(沖津宮・中津宮・辺津宮)を本社に、全国の宗像分社・厳島系神社で祀られる、海上守護・大陸交通・芸能・財福の神。	古事記(神代上 誓約段)|日本書紀(神代上 第六段本文・一書)|宗像大社縁起|筑前国風土記	
MOTIF-046	【阿曇磯良】神功皇后の三韓征伐の水軍司令神格、阿曇氏(CLN-033)の祖神とも崇敬される海人信仰の中心神格。【神話の流れ】神功皇后が新羅遠征を計画した際、海中に潜って大魚介・小魚介を集めて軍船を集結させ、磯良が水先案内をして勝利したとされる(『八幡愚童訓』『太平記』『神功皇后縁起』等の中世神話、L2-L3)。記紀本文には登場せず中世神話で独立神格化。【姿】顔に貝・海藻を付けた老人姿(中世絵巻の定型図像、『神功皇后絵巻』等)、長年海中に潜って育った海人の最高神格化。【翁面の起源】能楽の翁面(秘曲『翁』の主役)が阿曇磯良の姿を起源とする説あり(L3、観世流伝承)、能楽の最重要神事的演目の起源。【志賀海神社】博多湾入口の志賀島(現福岡市東区)の志賀海神社が阿曇磯良祭祀の中心、阿曇氏が古代から継承、綿津見三神と共に祀られる。【信仰】志賀海神社・神功皇后系神社・全国の磯良社・安曇野(信濃の阿曇族移住地)で祀られる、海上守護・武運・水軍・能楽の神。	八幡愚童訓|太平記|神功皇后縁起|住吉大社神代記|志賀海神社縁起	
MOTIF-049	【海幸山幸神話】兄海幸彦(火照命、隼人祖)と弟山幸彦(火遠理命=ホオリ、皇統祖)の兄弟の物語(『古事記』神代下 海幸山幸段)。【神話の流れ】兄海幸彦が海漁、弟山幸彦が山猟を業とする中、互いの道具を取り替えて試みるが、山幸は釣針を海中に失う。兄に新しい釣針で代用しようとするが許されず、塩椎神の助言で海宮を訪れて豊玉姫と結ばれ、潮干珠・潮満珠と釣針を持って帰国、兄を懲らしめて服従させる。【系譜的意味】山幸彦の子孫が皇統(山幸→ウガヤフキアエズ→神武)、海幸彦の子孫が隼人族(南九州、海洋民) — 弟継承(隼人=兄の従属)の神話的根拠、ヤマト政権による南九州隼人服属の神話化。【隼人服属儀礼】奈良朝以降、宮中で隼人が「狗吠の儀」(犬の吠え声を真似る儀礼)を披露し服属を演じる宮中儀礼、海幸山幸神話の儀礼的継承(『令義解』『延喜式』)、平安期に正月儀礼として継承。【意義】兄弟競合・弟継承・海宮訪問・潮干珠潮満珠の宝物伝承等、世界神話の典型的構造を含む日本神話の重要型、皇統神話の中軸エピソード。	古事記(神代下 海幸山幸段)|日本書紀(神代下 第十段)|令義解|延喜式	
MOTIF-057	【天岩戸神話】須佐之男の暴挙にアマテラスが天石屋戸に籠もり、世界が闇に包まれた神話(『古事記』神代上、『日本書紀』神代上 第七段)。【神話の流れ】高天原に登ったスサノオが、アマテラスとの誓約で生まれた子の所有を巡り、田を荒らし、御殿に糞を放ち、神衣を織る天石屋戸の機織女を殺害(忌服殿、いみはたどのに皮を逆剥ぎした馬を投げ入れ)等の暴挙を繰り返す。怒り恐れたアマテラスは天石屋戸に籠もり、世界は完全な闇に。八百万の神々が天安河原に集まり対策を協議、思金神(オモイカネ)の策で岩戸前に祭場を整備:伊斯許理度売(石凝姥)が八咫鏡を作り、玉祖が八尺瓊勾玉を作り、布刀玉(太玉)が幣帛を捧げ、天児屋根が祝詞を奏上、天宇受売(アメノウズメ)が桶を踏み鳴らし神懸かりして衣服を脱いで踊り、八百万の神々が大笑い、その騒ぎにアマテラスが「我が籠もっているのに何故」と岩戸を細く開ける、隙間から天宇受売が「あなたより貴い神が現れたから」と答え、岩戸の隙間に八咫鏡を差し入れ、アマテラスが鏡に映る自分を見て驚き身を乗り出した瞬間、天手力雄(タヂカラオ)が岩戸を引き開け、世界に光が戻る。スサノオは罪を償わされ高天原を追放、出雲に降る。【祭祀起源神話】神道祭祀の各要素(鏡作・玉作・祝詞奏上・神楽舞・幣帛奉献)の起源、後の中臣・忌部・猿女・鏡作・玉作各氏の職掌の神話的正統性。【天孫降臨への流れ】岩戸神話で生まれた三種神器の鏡・玉が、後の天孫降臨で邇邇芸に授けられる流れ、皇統神話の中核連関。【太陽神話】アマテラス=太陽神の岩戸隠れ=冬至の太陽弱化を象徴する世界普遍的構造(L2、太陽神話学)、世界各地の太陽帰還神話との比較研究。	古事記(神代上 岩戸隠れ段)|日本書紀(神代上 第七段本文・一書)|古語拾遺	
