relation_id	source_id	source_type	relation_type	target_id	target_type	region	period	confidence_level	hypothesis_layer	source_reference	notes
RLN-100106	CLN-021	clan	primary_deity_of	SHR-079	shrine	筑前(志賀島)	古代〜	A	L0	志賀海神社社伝	阿曇氏=志賀海神社
RLN-100107	CLN-021	clan	descended_from	綿津見三神	deity	筑前	神代	B	L1	新撰姓氏録	-
RLN-100108	MYTH-040	myth_episode	mentioned_in	諸地方文献	text	筑前	古代	B	L1	筑前国風土記逸文	阿曇磯良
RLN-100109	CLN-021	clan	located_in	信濃安曇野	region	信濃	古代	B	L2	地名研究	阿曇族の内陸移住
RLN-100110	CLN-029	clan	primary_deity_of	SHR-080	shrine	筑前(博多)	古代〜	A	L0	諸社伝	博多住吉
RLN-100111	CLN-029	clan	primary_deity_of	SHR-015	shrine	摂津(住吉)	古代〜	A	L0	住吉神代記	住吉氏(津守氏)
RLN-100112	MYTH-043	myth_episode	mentioned_in	古事記	text	筑紫日向	成立CE712	A	L0	古事記	イザナギ禊→住吉三神
RLN-100113	MYTH-044	myth_episode	mentioned_in	日本書紀	text	住吉	成立CE720	A	L0	書紀	神功皇后住吉守護
RLN-100114	CLN-028	clan	primary_deity_of	SHR-085	shrine	丹後	古代〜	A	L0	籠神社社伝	海部氏=籠神社
RLN-100115	MYTH-046	myth_episode	politically_linked	SHR-085	shrine	丹後	古代	B	L2	籠神社社伝	元伊勢候補
RLN-100116	SHR-086	shrine	performed_at	豊受大神祭祀	-	丹後	古代	A	L0	籠神社社伝	真名井神社=豊受大神元宮
RLN-100117	CLN-030	clan	descended_from	彦火明命	deity	尾張〜丹後	神代〜	B	L1	先代旧事本紀	尾張氏=海部氏同祖
RLN-100118	CLN-030	clan	primary_deity_of	SHR-126	shrine	尾張	古代〜	A	L0	熱田神宮社伝	尾張氏=熱田神宮
RLN-100119	SHR-126	shrine	performed_at	草薙剣祭祀	-	尾張	古代〜	A	L0	書紀|社伝	三種神器の一
RLN-100120	SHR-082	shrine	performed_at	対馬海神祭祀	-	対馬	古代〜	A	L0	延喜式	対馬一宮
RLN-100121	SHR-083	shrine	performed_at	豊玉姫宮伝承	-	対馬	古代〜	A	L0	和多都美社伝	海中鳥居
RLN-100122	SHR-084	shrine	performed_at	壱岐海神祭祀	-	壱岐	古代〜	A	L0	延喜式	壱岐一宮
RLN-100123	IZM-037	event	mentioned_in	古事記	text	高天原宗像	成立CE712	A	L0	古事記	誓約神事(IZM-017連結)
RLN-100124	CLN-016	clan	allied_with	CLN-021	clan	北部九州	古墳〜	B	L1	諸研究	宗像-阿曇連合
RLN-100125	CLN-029	clan	allied_with	CLN-021	clan	北部九州摂津	古墳〜	B	L1	諸研究	住吉-阿曇連合
RLN-100126	SHR-073	shrine	performed_at	香椎廟	-	筑前	古代	A	L0	延喜式	神功皇后伝承
RLN-100127	SHR-074	shrine	primary_deity_of	八幡神	deity	筑前(博多)	古代〜	A	L0	諸記録	筥崎宮=博多八幡
RLN-100128	SHR-081	shrine	performed_at	応神天皇誕生伝	-	筑前(宇美)	古代〜	A	L0	宇美八幡社伝	安産信仰
RLN-100129	SHR-077	shrine	mentioned_in	発掘調査	-	筑前(沖ノ島)	1954-現在	A	L0	発掘調査	「海の正倉院」
RLN-100130	CLN-022	clan	primary_deity_of	SHR-035	shrine	山城	古代〜	A	L0	伏見稲荷大社社伝	秦氏=伏見稲荷
RLN-100131	CLN-022	clan	primary_deity_of	SHR-034	shrine	山城	古代〜	A	L0	松尾大社社伝	秦氏=松尾大社
RLN-100132	CLN-022	clan	allied_with	CLN-040	clan	山城	古代	B	L1	諸記録	秦氏-山城賀茂
RLN-100133	CLN-040	clan	primary_deity_of	SHR-013	shrine	山城	古代〜	A	L0	賀茂社家文書	山城賀茂氏=上賀茂
RLN-100134	CLN-040	clan	primary_deity_of	SHR-014	shrine	山城	古代〜	A	L0	賀茂社家文書	山城賀茂氏=下鴨
RLN-100135	CLN-014	clan	primary_deity_of	SHR-105	shrine	大和(葛城)	古代〜	A	L0	高鴨神社社伝	葛城賀茂氏=高鴨
RLN-100136	CLN-014	clan	primary_deity_of	SHR-106	shrine	大和(葛城)	古代〜	A	L0	鴨都波社伝	葛城鴨氏=鴨都波
RLN-100137	DEI-026	deity	descended_from	DEI-001	deity	出雲・葛城	神代	C	L0	古事記	アヂスキ=大国主の子
RLN-100138	IZM-051	event	mentioned_in	古事記	text	葛城	神代	A	L0	古事記	アヂスキ=喪屋蹴り
RLN-100139	CLN-040	clan	descended_from	賀茂建角身命	deity	山城	神代	B	L1	賀茂社家文書|古事記	八咫烏=神武道案内
RLN-100140	MYTH-066	myth_episode	mentioned_in	古事記	text	山城	神代	A	L0	古事記	賀茂氏神武道案内
RLN-100141	SHR-005	shrine	primary_deity_of	家都美御子大神	deity	紀伊	古代〜	A	L0	諸記録	熊野本宮
RLN-100142	SHR-090	shrine	primary_deity_of	熊野速玉大神	deity	紀伊	古代〜	A	L0	諸記録	熊野速玉
RLN-100143	SHR-091	shrine	primary_deity_of	熊野夫須美大神	deity	紀伊	古代〜	A	L0	諸記録	熊野那智
RLN-100144	SHR-092	shrine	performed_at	神倉ゴトビキ岩	-	紀伊	古代〜	A	L0	神倉社伝	熊野最古祭祀地
RLN-100145	SHR-093	shrine	performed_at	那智の滝	-	紀伊	古代〜	A	L0	那智社伝	滝信仰
RLN-100146	MYTH-048	myth_episode	mentioned_in	熊野権現御垂迹縁起	text	紀伊	平安期	B	L1	縁起	熊野権現降臨
RLN-100147	MYTH-049	myth_episode	mentioned_in	古事記|日本書紀	text	紀伊	成立CE712-720	A	L0	記紀	神武熊野
RLN-100148	MYTH-050	myth_episode	mentioned_in	古事記|日本書紀	text	紀伊大和	神代	A	L0	記紀	八咫烏道案内
RLN-100149	MYTH-051	myth_episode	performed_at	那智	region	紀伊	平安〜江戸	B	L1	諸記録	補陀落渡海
RLN-100150	MYTH-052	myth_episode	syncretized_with	阿弥陀薬師観音	-	紀伊	平安〜中世	A	L0	中世神道書	熊野三山本地仏
RLN-100151	MYTH-053	myth_episode	politically_linked	修験道	-	紀伊大峰	7世紀末伝	B	L1	諸修験書	役小角
RLN-100152	SHR-094	shrine	performed_at	熊野奥之院	-	紀伊	古代〜	A	L1	玉置神社社伝	熊野詣終点
RLN-100153	SHU-011	shrine	syncretized_with	阿弥陀如来	-	紀伊	平安〜中世	A	L0	中世神道書	熊野本宮本地
RLN-100154	SHU-012	shrine	syncretized_with	薬師如来	-	紀伊	平安〜中世	A	L0	中世神道書	熊野速玉本地
RLN-100155	SHU-013	shrine	syncretized_with	千手観音	-	紀伊	平安〜中世	A	L0	中世神道書	熊野那智本地
RLN-100156	紀伊熊野	region	syncretized_with	出雲熊野	region	紀伊・出雲	古代	C	L2	諸研究	紀伊出雲熊野関係仮説(L2-L3)
RLN-100157	SHR-096	shrine	politically_linked	高野山	-	紀伊	平安以降	A	L0	諸記録	丹生都比売-空海関係
RLN-100158	SHR-097	shrine	performed_at	紀伊国造	clan	紀伊	古代	A	L0	延喜式	日前=紀伊国造祭祀
RLN-100159	SHR-098	shrine	performed_at	紀伊国造	clan	紀伊	古代	A	L0	延喜式	國懸=紀伊国造祭祀
RLN-100160	SHR-099	shrine	primary_deity_of	五十猛命	deity	紀伊	古代〜	A	L0	延喜式	木の神
RLN-100161	DEI-014	deity	primary_deity_of	SHR-010	shrine	大和	古墳期〜	A	L0	古事記|延喜式	大物主=大神神社
RLN-100162	CLN-015	clan	performed_at	SHR-010	shrine	大和	古墳期〜	A	L0	古事記	三輪氏=世襲祭祀
RLN-100163	MYTH-058	myth_episode	mentioned_in	古事記|日本書紀	text	大和	神代	A	L0	記紀	大物主三輪山鎮座
RLN-100164	MYTH-059	myth_episode	mentioned_in	日本書紀	text	大和	崇神朝	A	L0	書紀	大田田根子祟り
RLN-100165	MYTH-060	myth_episode	politically_linked	THM-027	-	大和〜全国	神代以降	A	L0	古事記|諸民俗	三輪山型神婚
RLN-100166	MYTH-061	myth_episode	mentioned_in	日本書紀	text	大和	崇神朝	A	L0	書紀	倭迹迹日百襲姫=大物主妻
RLN-100167	MYTH-061	myth_episode	politically_linked	卑弥呼比定説	-	大和	弥生末	C	L4	諸研究	モモソヒメ卑弥呼説
RLN-100168	MYTH-062	myth_episode	politically_linked	THM-027	-	全国	神代〜	A	L0	諸民俗	蛇婿入り全国譚
RLN-100169	MYTH-063	myth_episode	politically_linked	CLN-022	clan	山城	古代〜	A	L1	松尾大社社伝	秦氏酒造神
RLN-100170	MYTH-064	myth_episode	mentioned_in	日本書紀	text	大和	崇神朝	A	L0	書紀	大田田根子=出雲茅渟県
RLN-100171	SHR-100	shrine	performed_at	大物主荒魂祭祀	-	大和	古代〜	A	L0	大神神社社伝	狭井神社=荒魂
RLN-100172	SHR-101	shrine	primary_deity_of	大田田根子	deity	大和	古代〜	A	L0	大神神社社伝	大直禰子神社
RLN-100173	SHR-102	shrine	politically_linked	元伊勢候補	-	大和	古代	B	L2	諸記録	檜原神社=倭笠縫邑
RLN-100174	SHR-103	shrine	primary_deity_of	若宇加能売命	deity	大和	古代〜	A	L0	延喜式	廣瀬大社=水神
RLN-100175	SHR-104	shrine	primary_deity_of	天御柱命	deity	大和	古代〜	A	L0	延喜式	龍田大社=風神
RLN-100176	DEI-014	deity	syncretized_with	DEI-001	deity	大和・出雲	神代	C	L2	古事記|諸研究	大物主大国主同体論争(L2)
RLN-100177	IZM-040	event	supports	HYP-005	hypothesis	大和・出雲	神代	C	L2	古事記	幸魂奇魂記述
RLN-100178	CLN-015	clan	descended_from	大田田根子	-	大和	崇神朝	B	L1	古事記	三輪氏祖
RLN-100179	MYTH-065	myth_episode	politically_linked	CLN-015	clan	大和	古代〜奈良	A	L0	先代旧事本紀	三輪氏祭祀権世襲
RLN-100180	大物主	deity	syncretized_with	三輪明神	-	大和	中世	A	L1	中世神道書	-
RLN-100181	SHR-107	shrine	primary_deity_of	高皇産霊神	deity	大和(葛城)	古代〜	A	L0	延喜式	高天彦神社=タカミムスビ
RLN-100182	大三輪山	region	politically_linked	纒向遺跡	-	大和	古墳前期	B	L2	発掘調査|諸研究	初期ヤマト王権祭祀
RLN-100183	IZM-147	event	mentioned_in	古事記|日本書紀	text	大和	崇神朝	A	L0	記紀	大物主祟りの鎮め
RLN-100184	SHR-016	shrine	primary_deity_of	八幡神	-	豊前(宇佐)	古代〜	A	L0	諸記録	八幡総本宮
RLN-100185	MYTH-071	myth_episode	mentioned_in	宇佐宮御託宣集	text	豊前	中世神道書	B	L1	託宣集	八幡神顕現(欽明32年伝)
RLN-100186	MYTH-072	myth_episode	politically_linked	応神天皇	-	豊前	古代	B	L1	託宣集	八幡=応神同体
RLN-100187	MYTH-080	myth_episode	politically_linked	SHR-016	shrine	豊前	近代	B	L2	諸研究	比売大神三説論
RLN-100188	MYTH-067	myth_episode	mentioned_in	古事記|日本書紀	text	日向	成立CE712-720	A	L0	記紀	天孫降臨高千穂
RLN-100189	SHR-062	shrine	performed_at	高千穂神楽	-	日向	古代〜	A	L0	高千穂社伝	岩戸神楽
RLN-100190	SHR-063	shrine	performed_at	クシフル神話	-	日向	神代	B	L1	地方伝承	高千穂槵触
RLN-100191	SHR-064	shrine	performed_at	天岩戸神事	-	日向	-	A	L0	地方伝承	岩戸神楽
RLN-100192	SHR-065	shrine	performed_at	豊玉姫出産伝	-	日向	-	B	L1	地方伝承	鵜戸神宮
RLN-100193	SHR-067	shrine	syncretized_with	霧島権現	-	大隅	平安〜中世	A	L0	地方伝承	霧島山修験
RLN-100194	SHR-068	shrine	primary_deity_of	彦穂穂出見尊	deity	大隅	古代〜	A	L0	延喜式	大隅一宮=山幸彦
RLN-100195	MYTH-041	myth_episode	mentioned_in	古事記|日本書紀	text	日向	成立CE712-720	A	L0	記紀	海幸山幸
RLN-100196	MYTH-042	myth_episode	mentioned_in	古事記|日本書紀	text	日向海宮	成立CE712-720	A	L0	記紀	豊玉姫玉依姫
RLN-100197	MYTH-070	myth_episode	mentioned_in	日本書紀	text	日向南九州	成立CE720	A	L0	書紀	隼人=海幸末裔
RLN-100198	CLN-037	clan	served	大和王権	-	南九州	古代	A	L0	続日本紀	隼人楯隼人舞
RLN-100199	MYTH-079	myth_episode	performed_at	朝廷儀礼	-	大和	古代	A	L0	続日本紀|延喜式	-
RLN-100200	SHR-059	shrine	primary_deity_of	健磐龍命	deity	肥後(阿蘇)	古代〜	A	L0	阿蘇神社社伝	肥後一宮=阿蘇神社
RLN-100201	CLN-036	clan	performed_at	SHR-059	shrine	肥後	古代〜現代	A	L0	阿蘇神社社家文書	阿蘇氏世襲
RLN-100202	MYTH-068	myth_episode	mentioned_in	阿蘇神社社伝	text	肥後	-	B	L1	阿蘇社伝	阿蘇都比古開拓
RLN-100203	MYTH-069	myth_episode	mentioned_in	阿蘇神社社伝	text	肥後	-	B	L1	阿蘇社伝	健磐龍命カルデラ伝
RLN-100204	MYTH-075	myth_episode	supports	阿蘇カルデラ	region	肥後	7万年前以来	C	L4	地質学	地質学的事実の神話化
RLN-100205	SHR-076	shrine	performed_at	英彦山修験	-	豊前	古代〜近代	A	L0	諸修験書	九州修験中心
