myth_id	canonical_name	region	related_shrines	related_clans	related_deities	summary	motif_category	source_type	source_reference	historical_interpretation	ritual_meaning	political_meaning	notes
MYTH-011	加賀の潜戸の佐太大神誕生	出雲(嶋根郡)	SHR-023	-	DEI-025	キサカヒメが加賀の潜戸で金弓を放ち洞窟を生成、佐太大神を産む	岩戸生まれ	風土記	出雲国風土記嶋根郡加賀郷条	岩戸信仰の地方版	佐太神社祭祀の起源	出雲在来神の独自誕生神話	加賀の潜戸は現松江市鹿島町
MYTH-012	火継神事の起源神話	出雲(意宇)	SHR-004	CLN-001	-	出雲国造代替り時に熊野大社で神火を相続	祭祀王権	社伝	出雲国造家文書	国造世襲の神話的根拠	国造祭祀の核	出雲国造世襲の正統性	IZM-083連結
MYTH-013	黄泉比良坂(出雲)	出雲(意宇郡)	SHR-027	-	DEI-005|DEI-006	イザナギがイザナミを追い黄泉国を訪ね千引石で塞ぐ	冥界訪問	神話	古事記|日本書紀	出雲東端=冥界入口の聖地化	冥界信仰の起源	生死観の原型	揖夜神社近隣の伝承地
MYTH-014	タケミナカタの諏訪退避	諏訪	SHR-006	CLN-017	DEI-010|DEI-011	タケミカヅチに敗れ諏訪に逃れ「この地を出ない」と誓う	退避/在地化	神話	古事記	書紀には欠落、地方神格化の物語	諏訪信仰の起源	出雲祭祀の地方拡散	諏訪に「鎮座」する神格的根拠
MYTH-015	タケミナカタ vs 洩矢神	諏訪	SHR-006	CLN-017|CLN-018	DEI-010	諏訪到着のタケミナカタが在来神洩矢神と戦い勝利	新来神 vs 在来神	地方伝承	守矢家文書	縄文系信仰と外来神の融合の神話化	諏訪二重信仰の起源	タケミナカタ祭祀化以前の在来層	藤刀 vs 鉄輪の争い
MYTH-016	御柱祭の起源	諏訪	SHR-006	CLN-017	DEI-010	7年に1度、樅の大木を山中から切り出し四宮に立てる	樹木/再生	社伝	諏訪大社社伝	縄文期の樹木信仰起源説(L3)	式年造営の核心	諏訪共同体結束	木落とし・川越し等の危険儀礼
MYTH-017	御頭祭(鹿頭75)の起源	諏訪	SHR-006	CLN-018	DEI-010	4月15日、鹿頭75を神饌として奉献(現在剥製)	狩猟祭祀	社伝	守矢家文書|菅江真澄『すわのうみ』	縄文狩猟祭祀の継続説(L3)	諏訪祭祀の縄文性象徴	-	生贄論争の対象
MYTH-018	蛙狩神事	諏訪	SHR-006	CLN-017	DEI-010	元日に蛙を捕えて神饌とする	動物供犠/豊穣	社伝	諏訪大社社伝	生贄起源説/豊穣儀礼説	狩猟祭祀の縄文継続	-	動物愛護の論議あり
MYTH-019	ミシャグジ信仰	諏訪・全国	SHR-006	CLN-018	-	樹石・蛇神を依代とする縄文系土着信仰	樹石/縄文	地方伝承	守矢家文書|柳田國男	縄文期信仰の生証拠とされる(L3)	諏訪在来祭祀の主軸	タケミナカタ祭祀化以前の祭祀権	全国の御社宮司・石神信仰の源流
MYTH-020	八坂刀売の伝承	諏訪	SHR-006	CLN-019	DEI-029	タケミナカタの妃神。下社の主祭神	女神/夫婦	社伝	諏訪大社下社社伝	下社祭祀の独自性	下社祭祀の核	金刺氏(科野国造)祭祀	古事記書紀には登場せず
MYTH-021	諏訪明神の戦勝祈願	諏訪・全国	SHR-006	CLN-017	DEI-010	源頼朝・武田信玄・徳川家康が諏訪明神に戦勝祈願	武家信仰	中世神道	諏訪大明神絵詞|武家文書	諏訪信仰の武家化	軍神化	武家氏神信仰の中核	全国諏訪神社5000社以上の起源
MYTH-022	守矢神長官の縄文継承	諏訪	SHR-006	CLN-018	-	守矢氏が77代にわたり神長官を世襲、縄文系信仰を保持	祭祀世襲	地方伝承|社伝	守矢家文書	縄文期祭祀の継続説(L3)	諏訪祭祀の二重構造	タケミナカタ系(諏訪氏)とは別系	77代は社家伝、学術検証は限定
MYTH-023	諏訪七不思議	諏訪	SHR-006	-	DEI-010	御渡(おみわたり)・蛙狩・鹿穴等の不思議伝	龍蛇神/信仰	地方伝承	諏訪地方民俗	諏訪湖龍神信仰の地方版	諏訪信仰の体系化	-	江戸期に七不思議として整理
MYTH-024	龍蛇神信仰(御渡)	諏訪	SHR-006	-	-	諏訪湖の氷の裂け目を諏訪明神の渡御とする伝	龍蛇神/水神	地方伝承	諏訪地方民俗	冬季の氷現象を神格化	諏訪湖祭祀	-	八剣神社で御渡の判定
MYTH-025	諏訪縄文遺跡群と神話	諏訪	-	CLN-018	-	尖石・阿久・棚畑等の縄文遺跡が神話的記憶を支える	考古/縄文	考古学	長野県教委発掘報告	諏訪信仰の縄文起源説の物質的基盤(L3)	-	諏訪在来祭祀の物的根拠	国宝土偶複数(縄文のビーナス・仮面の女神)
MYTH-026	タケミカヅチの鹿島降臨	鹿島	SHR-007	CLN-008	DEI-011	国譲り武神タケミカヅチが鹿島に鎮座	武神鎮座	社伝	鹿島神宮社伝	古墳期祭祀の確立	国家祭祀の東国守護	藤原氏氏神化の起源	神武即位年(社伝)/古墳期(学術)
MYTH-027	フツヌシの香取鎮座	香取	SHR-008	CLN-009	DEI-012	国譲り武神フツヌシが香取に鎮座	武神鎮座	社伝	香取神宮社伝	古墳期祭祀の確立	物部氏祖神祭祀	物部氏の関東進出	古事記には登場せず書紀のみ
MYTH-028	国譲り(鹿島視点)	鹿島	SHR-007|SHR-008	CLN-008|CLN-009	DEI-011|DEI-012	タケミカヅチ・フツヌシ主役の国譲り(書紀本文)	王権/服属	神話	日本書紀	中臣・物部の祭祀権争いの反映(L1-L2)	武神祭祀の起源	藤原・物部の対立	古事記との主役の違い
MYTH-029	神鹿伝承	鹿島・春日	SHR-007|SHR-012	CLN-008	DEI-011	神鹿が春日大社に連れてこられたとの伝	動物祭祀	社伝	春日大社社伝	鹿島から春日への分霊神話化	春日祭祀の起源	藤原氏氏神の継承	奈良の鹿の起源
MYTH-030	春日大社への分霊	春日	SHR-007|SHR-008|SHR-012	CLN-008	DEI-011|DEI-012	神護景雲2年に鹿島・香取から春日へ祖神を勧請	祭祀分祀	社伝	春日大社社伝	平安初期の確立(学術)	藤原氏中央祭祀の確立	藤原氏摂関政治の宗教的基盤	社伝/学術年代差あり
MYTH-031	要石(地震を抑える石)	鹿島・香取	SHR-007|SHR-008	-	-	地震を起こす大鯰を要石が押さえる	岩石信仰/災害	地方伝承	江戸期の伝承	地震災害の神格化	災害守護祭祀	-	近世に確立した伝承
MYTH-032	武神の蝦夷征討伝	鹿島	SHR-007	CLN-008	DEI-011	タケミカヅチが東征の道を開く	征服/武神	地方伝承|社伝	常陸国風土記	古代東国経営の神話化	東国祭祀拠点化	ヤマト王権の蝦夷支配の正当化	常陸国風土記鹿島郡条
MYTH-033	常陸国風土記の鹿島記述	鹿島	SHR-007	-	-	香島の天大神(鹿島神)の記述。神郡として保護	地方記録	風土記	常陸国風土記	古代の神郡制度	神郡制度の起源	-	式内社制度以前の特別社
MYTH-034	物部氏の香取由来	香取	SHR-008	CLN-009	DEI-012	物部氏がフツヌシを祖神とする祭祀権を主張	祭祀権	系譜資料	先代旧事本紀	物部氏祖神論争(L1)	物部氏の祭祀本拠	物部氏中央政権参与	石上(布都御魂)との二重祭祀
MYTH-035	鹿島御船祭	鹿島	SHR-007	-	DEI-011	12年に一度の御船祭(午年)	船祭/海上	社伝	鹿島神宮神事記	武神の海上祭祀	式年祭祀	-	利根川経由で香取まで渡御
MYTH-036	宗像三女神誕生(誓約)	宗像	SHR-009	CLN-016	DEI-017|DEI-018|DEI-019|DEI-002|DEI-003	アマテラスとスサノオの誓約から宗像三女神生成	神生み/海神	神話	古事記|日本書紀	海上交通祭祀の起源神話	宗像祭祀の核	国家海路祭祀	出雲・宗像・天孫系の結節点
MYTH-037	沖ノ島祭祀の神々	沖ノ島	SHR-009	CLN-016	DEI-017	古墳期から平安期まで沖ノ島で国家的祭祀	祭祀遺跡	考古学	沖ノ島祭祀遺跡発掘報告	「海の正倉院」、ヤマト王権の対外祭祀	国家海路祭祀の中軸	大和政権の対外交渉	国宝祭祀遺物群
MYTH-038	アマテラスとスサノオ誓約	高天原・宗像	SHR-009	-	DEI-002|DEI-003|DEI-017|DEI-018|DEI-019	物実から男女判定する誓約神事	男女/誓約	神話	古事記|日本書紀	古代誓約儀礼の神話化	誓約神事の起源	宗像祭祀権の皇統取込	物実所有権で古事記書紀差異
MYTH-039	神功皇后三韓征討と宗像	宗像・朝鮮半島	SHR-009	CLN-016|CLN-029	DEI-019	神功皇后が三韓征討時に宗像神に祈願	征討/海上	神話|社伝	日本書紀|宗像大社社伝	古代対朝鮮交渉の神話化(L2)	宗像航海守護祭祀	古代対外関係	神話的要素強い、史実性は議論
MYTH-040	阿曇磯良の神話	北部九州	-	CLN-021	-	阿曇磯良が神功皇后に従い海上を導く	海人英雄	地方伝承	筑前国風土記逸文|住吉大社神代記	阿曇族の海人神話	阿曇族祭祀の核	北部九州海人族の地位	志賀海神社祭神
MYTH-041	海幸彦山幸彦	日向	-	-	DEI-037|DEI-038	山幸彦が海神宮で釣針を取り戻す	兄弟相剋/異類婚	神話	古事記|日本書紀	海人族と山岳族の融合説(L2)	海宮信仰の起源	皇統と海神族の結節	隼人=海幸彦末裔説の前提
MYTH-042	豊玉姫・玉依姫	日向・海宮	-	-	DEI-039|DEI-040	山幸彦と豊玉姫の婚姻、神武の祖母玉依姫	異類婚/海神	神話	古事記|日本書紀	海人族(豊玉姫)と皇統の婚姻神話化	海神族と皇統の結合	皇統の海洋的起源	玉依姫の同名異神問題
MYTH-043	住吉三神誕生(イザナギ禊)	筑紫日向	SHR-015	CLN-029	DEI-005	イザナギの禊から底筒男・中筒男・表筒男が生まれる	神生み/海神	神話	古事記|日本書紀	海路守護神の起源	住吉祭祀の核	国家海路祭祀	禊で同時生成のアマテラス三貴子と並ぶ
MYTH-044	神功皇后住吉守護	住吉	SHR-015	CLN-029	-	神功皇后の三韓征討を住吉三神が守護	征討/海路	神話	日本書紀	古代海路祭祀の神話化	住吉海上祭祀の起源	古代対朝鮮関係	住吉大社神代記
MYTH-045	安曇族の魚目伝承	北部九州	-	CLN-021	-	阿曇磯良が魚目(ぎょもく)に貝が付着している姿で現れる	異形/海人	地方伝承	諸古文献	海人族の神格化	阿曇族祭祀	-	福岡県志賀島の伝承
MYTH-046	籠神社の元伊勢伝	丹後	-	CLN-028	DEI-003|DEI-031	伊勢神宮以前にアマテラスを祀ったとの伝(元伊勢)	元伊勢/神宮	社伝	籠神社社伝|海部氏系図	元伊勢候補地の一(L2-L3)	伊勢以前の祭祀の地方視点	伊勢祭祀の前史	海部氏系図(国宝)
MYTH-047	海人族の航海神話	全国海岸線	SHR-015	CLN-021|CLN-028|CLN-029	DEI-036	海上交通安全を祈願する各種航海神話	海上/守護	地方伝承	諸社家文書	古代海路の祭祀ネットワーク	海上交通祭祀	古代国際交易の宗教的基盤	瀬戸内・玄界灘・日本海の海路
MYTH-048	熊野権現降臨	熊野	SHR-005	-	-	熊野三山の本地が浄土から降臨	権現/降臨	社伝	熊野権現御垂迹縁起	平安期の熊野修験の発展(L1)	熊野祭祀の正統化	熊野権現信仰の核	本地仏:阿弥陀・薬師・観音
MYTH-049	神武東征(熊野)	熊野	SHR-005	-	-	神武天皇が熊野で危機を迎え八咫烏に救われる	東征/英雄	神話	古事記|日本書紀	古代東征の神話化	熊野祭祀の皇統由来	熊野=皇統再生の地	高倉下の太刀の神話
MYTH-050	八咫烏の道案内	熊野・大和	-	CLN-014	DEI-051	八咫烏(賀茂建角身命)が神武を熊野から大和へ導く	動物神/案内	神話	古事記|日本書紀	賀茂氏祖神の活躍	山城賀茂氏の祭祀権	山城賀茂氏=神武功臣	葛城賀茂氏とは別系
MYTH-051	補陀落渡海	那智	SHR-037	-	-	那智の浜から補陀落浄土を目指して船出する宗教的実践	渡海/浄土	地方伝承	那智宮文書	平安〜江戸期の即身渡海(L1)	浄土信仰と熊野の融合	-	生命を捨てる宗教的行為
MYTH-052	熊野三山の本地仏	熊野	SHR-005|SHR-036|SHR-037	-	-	本宮=阿弥陀、新宮=薬師、那智=観音	神仏習合	中世神道	中世修験道書	本地垂迹の代表例(L0)	神仏習合祭祀	神仏分離以前の信仰形態	明治の神仏分離で正式分離
MYTH-053	修験道役小角伝	熊野・大峰	-	-	-	役小角が大峰山で修行し修験道を開く	修験/開祖	地方伝承	諸本『役行者顕在記』	修験道発生の伝承化(L1)	修験道の正統性	-	7世紀末に実在説あり
MYTH-054	牟婁郡の神話	熊野(牟婁)	SHR-005	-	-	牟婁郡の地名由来、熊野の地理的核心	地名由来	風土記	紀伊国風土記逸文	古代熊野の神聖地理	-	-	逸文のみ残存
MYTH-055	那智の滝信仰	那智	SHR-037	-	-	那智の滝(133m)を神体とする	滝信仰/水神	社伝	那智大社社伝	滝信仰=水神信仰の代表	那智祭祀の核	-	日本三大名瀑の一
MYTH-056	熊野権現と修験	熊野・全国	SHR-005|SHR-036|SHR-037	-	-	熊野修験が全国に修験道を伝播	修験道	社伝	諸修験文書	平安〜中世の修験道全国化(L1)	山岳信仰の体系化	全国修験ネットワーク	出羽三山等とも連結
MYTH-057	熊野速玉大神の起源	新宮	SHR-036	-	-	熊野速玉大神(=イザナギ?)の起源伝	権現信仰	社伝	熊野速玉大社社伝	新宮の独自神格化	新宮祭祀の核	-	イザナギ同体説あり(L1)
MYTH-058	大物主の三輪山鎮座	三輪	SHR-010	CLN-015	DEI-014	崇神朝にオオモノヌシが三輪山に鎮座	神鎮座	神話	古事記|日本書紀	大和王権の中心祭祀	大神神社祭祀の核	大和王権の祭祀基盤	IZM-040連結
MYTH-059	大田田根子と大物主祟り	三輪	SHR-010	CLN-015	DEI-014	大物主の祟りを大田田根子が祀ることで鎮める	祟り/鎮魂	神話	古事記|日本書紀	崇神朝の祟り神話(L1)	祟り神信仰の原型	出雲祭神を大和王権が祀る構造	IZM-147連結
MYTH-060	三輪山型神婚説話	三輪	SHR-010	CLN-015	DEI-014	夜訪れる神(蛇)が朝に蛇と判明する婚姻譚	蛇神/異類婚	神話	古事記|日本書紀	蛇神信仰=水神信仰の代表	蛇神祭祀の核	大和地母神信仰の保存	全国蛇婿入り譚の原型
MYTH-061	倭迹迹日百襲姫	三輪	SHR-010	-	DEI-014	大物主の妻、後に箸墓古墳に葬られる	女神/古墳	神話	日本書紀崇神紀	卑弥呼比定説あり(L4)	-	邪馬台国畿内説の根拠	箸墓古墳=倭迹迹日百襲姫陵
MYTH-062	蛇婿入り譚(三輪山型)	三輪・全国	SHR-010	-	DEI-014	三輪山型神婚説話の全国展開	蛇神/異類婚	地方伝承|民俗	柳田國男『日本の昔話』	蛇神=水神=農耕の象徴	農耕祭祀の象徴	-	全国の蛇婿入り譚の根源
MYTH-063	酒造神(松尾と大三輪)	三輪・松尾	SHR-010|SHR-034	CLN-015|CLN-022	DEI-014|DEI-047	大物主と大山咋が酒造の祖神	酒造神	社伝	諸社伝	酒造業の祭祀化	酒造祭祀	-	全国酒造業者の崇敬
MYTH-064	大田田根子の出雲視点	出雲・大和	SHR-010	-	DEI-014	大田田根子は出雲茅渟県(陶邑)の人	地名/系譜	神話	古事記|日本書紀	大物主祭祀=出雲系祭祀の畿内化(L2)	出雲—三輪の祭祀ネットワーク	出雲祭祀権の畿内移植	IZM-040連結
MYTH-065	三輪氏の祭祀権	三輪	SHR-010	CLN-015	DEI-014	三輪氏(神部氏)が世襲で大神神社祭祀を掌る	祭祀世襲	社伝|系譜資料	先代旧事本紀	祭祀権=地域支配の典型	大神神社祭祀の世襲	出雲祭祀の畿内化と関連	大田田根子の子孫
MYTH-066	賀茂氏の神武道案内	山城	SHR-013|SHR-014	CLN-014	DEI-051	賀茂建角身命(八咫烏)が神武を導いて山城に居を構える	動物神/移住	社伝|神話	古事記|日本書紀|賀茂社家文書	山城賀茂氏の畿内移住神話化	賀茂祭祀の起源	山城賀茂氏の正統性	葛城賀茂氏(アヂスキ系)とは別系
MYTH-067	天孫降臨(高千穂)	日向(高千穂)	SHR-042	-	DEI-015	ニニギが高千穂峰に降臨	皇統/降臨	神話	古事記|日本書紀	皇統の地理的起源神話化	天孫降臨祭祀	皇統の九州起源	日向高千穂と霧島高千穂で論争
MYTH-068	阿蘇都比古売の阿蘇開拓	阿蘇	SHR-040	CLN-036	-	阿蘇都比古・阿蘇都比売が阿蘇を開拓	開拓/地母神	社伝|地方伝承	阿蘇神社社伝	阿蘇氏の地域支配の神話化	阿蘇神社祭祀の核	阿蘇氏の祭祀権	古事記書紀には欠落
MYTH-069	健磐龍命と阿蘇火山	阿蘇	SHR-040	CLN-036	-	健磐龍命が阿蘇カルデラの水を蹴り破った	火山/開拓	地方伝承	阿蘇神社社伝	火山地形の神話化	阿蘇火山祭祀	阿蘇氏の地域支配	草部吉見神社等で関連伝
MYTH-070	隼人=海幸彦末裔伝	南九州	-	CLN-037	DEI-038	隼人は海幸彦の子孫とする伝	部族祖伝	神話	日本書紀	南九州在地集団のヤマト編入の神話化(L2)	隼人軍事氏族の祭祀	ヤマト王権の隼人支配	隼人楯・隼人舞の宗教的根拠
MYTH-071	八幡神顕現(宇佐託宣)	豊前(宇佐)	SHR-016	-	-	欽明天皇朝に八幡神が宇佐に顕現	顕現/神託	中世神道書	宇佐宮御託宣集	古代北部九州祭祀の神話化(L1)	宇佐祭祀の核	宇佐神宮の正統性	欽明32年(伝)、託宣集による
MYTH-072	神功皇后の八幡縁起	宇佐	SHR-016	-	-	神功皇后と応神天皇(八幡神)の母子伝	母子/応神	社伝	宇佐宮御託宣集	応神天皇神格化の前提(L1)	八幡=応神同体祭祀	八幡信仰の歴史的核	全国八幡信仰の起源
MYTH-073	鵜葺草葺不合命の海宮婚	日向	SHR-041	-	-	豊玉姫の妹玉依姫と婚姻、神武の父	異類婚/皇統	神話	古事記|日本書紀	皇統の海洋起源神話化	鵜戸神宮祭祀の核	-	日向出産神話の核
MYTH-074	邪馬台国九州説	北部九州	-	-	-	邪馬台国は北部九州にあったとの説	古代王権	学術仮説	諸学術論文	近代以降の学術論争(L2)	-	古代王権の所在論争	畿内説と並立
MYTH-075	阿蘇カルデラ神話	阿蘇	SHR-040	CLN-036	-	阿蘇カルデラの形成を神話的に説明	火山/開拓	地方伝承	阿蘇神社社伝	地質学的事実(7万年前)を神話化(L4)	阿蘇火山祭祀	阿蘇氏の地域知	-
MYTH-076	神武即位前(日向時代)	日向	-	-	-	神武天皇が即位前に日向で過ごした記述	皇統/前史	神話	古事記|日本書紀	皇統の南九州起源	-	日向と皇統の結合	IZM/中央視点との対比要
MYTH-077	火国(肥前肥後)の起源	肥前肥後	-	-	-	火国の名は阿蘇の火山に由来	地名由来/火山	風土記	肥前国風土記|肥後国風土記	火山信仰の九州的中心	火山祭祀	-	阿蘇カルデラとの関連
MYTH-078	高千穂峡の神話	日向(高千穂)	SHR-042	-	DEI-015|DEI-050	アメノウズメが舞い天孫降臨に従う	岩戸/神事	神話	古事記|日本書紀	天岩戸神話の九州伝承	高千穂神社祭祀の核	-	岩戸神楽の起源
MYTH-079	隼人楯と隼人舞	南九州	-	CLN-037	-	隼人が朝廷の儀礼で隼人楯を持ち舞を奉納	軍事/儀礼	地方伝承|正史	続日本紀|延喜式	隼人のヤマト服属の儀礼化	隼人系祭祀	ヤマト王権の隼人支配の儀礼化	大嘗祭等で重要
MYTH-080	比売大神三説(宇佐)	宇佐	SHR-016	-	-	比売大神は宗像三女神/地母神/卑弥呼の三説	女神/論争	社伝|学術	諸社伝・学術論文	近代の論争(L2)	宇佐祭祀の重層性	-	監査#3 SHR-016 連結
MYTH-081	アラハバキ信仰	東北・関東	-	-	-	客人神(まろうどがみ)としての荒覇吐神	客人神/在来	地方伝承	諸民俗資料	縄文系信仰の継承説(L3)	-	-	アイヌ系説もあり(L4)
MYTH-082	蝦夷の英雄阿弖流為	東北	-	CLN-038	-	阿弖流為らがヤマト軍と戦う	英雄/抵抗	正史|地方伝承	続日本紀|日本紀略	古代東北のヤマト抵抗の歴史	-	東北独自の歴史	田村麻呂と対決
MYTH-083	田村麻呂坂上伝説	東北	-	-	-	坂上田村麻呂の蝦夷征討伝	征服/英雄	地方伝承	諸地方伝承	古代東北征討の伝承化	-	東北全域の征討正当化	田村麻呂神社等多数
MYTH-084	出羽三山開山伝(蜂子皇子)	出羽	SHR-045	-	-	崇峻天皇皇子蜂子が出羽三山を開く	修験/開山	社伝	出羽三山社伝	古代修験道の発生(L1)	出羽三山祭祀の核	-	伝説的要素強い
MYTH-085	月山信仰の死後世界	出羽(月山)	SHR-045	-	-	月山は死後の世界・祖霊の山	山岳/死後	修験道	出羽三山社伝	山岳=祖霊信仰の代表	月山祭祀の核	-	羽黒=現世、湯殿=未来の三世構造
MYTH-086	湯殿山即身仏	出羽(湯殿山)	SHR-045	-	-	湯殿山修験者が即身仏となる伝	即身仏/修験	地方伝承	諸湯殿山資料	江戸期の即身仏文化(L1)	湯殿山修験の核	-	大日寺・注連寺等の即身仏
MYTH-087	鳥海山大物忌神	出羽	-	-	-	鳥海山の山神大物忌神	山岳神	社伝	鳥海山大物忌神社社伝	山岳信仰の地方版	鳥海山祭祀	-	出羽国一宮
MYTH-088	駒形神社の馬神	東北	-	-	-	駒形神社の馬の神	動物神	社伝	駒形神社社伝	馬産地の祭祀化	-	-	陸中一宮
MYTH-089	早池峰山と座敷童	東北(陸中)	-	-	-	早池峰山の山神と座敷童伝承	山岳/精霊	地方伝承|民俗	柳田國男『遠野物語』	山岳精霊信仰	-	-	遠野民俗の核
MYTH-090	安倍貞任伝説	東北	-	CLN-027	-	前九年の役で敗れた安倍貞任の伝	英雄/抵抗	地方伝承	諸地方伝承	古代東北豪族の伝承化	-	東北の独自性	安倍家系図と関連
MYTH-091	龍神信仰(津軽)	東北(津軽)	-	-	-	津軽の龍神・水神信仰	龍蛇/水神	地方伝承	諸地方民俗	北方水神信仰	-	-	岩木山等と連動
MYTH-092	縄文海進記憶	全国	-	-	-	縄文期の海面上昇が神話に記憶されたとの仮説	地理記憶	大胆仮説	HYP-001	学術検証は困難(L5)	-	-	-
MYTH-093	全国大国主信仰の展開	全国	SHR-001|多数	-	DEI-001	大国主信仰が全国に広まる	祭祀拡散	近代研究	諸研究	出雲祭祀の全国化(L1)	全国大国主祀社の起源	出雲祭祀の中央化と並行	IZM-161連結
MYTH-094	牛頭天王と祇園信仰	全国	SHR-017	-	DEI-002|DEI-030	スサノオ=牛頭天王習合の祇園信仰	習合/疫神	中世神道	備後国風土記逸文	平安末以降の習合(L1)	祇園祭の起源	全国八坂神社の信仰	IZM-030連結
MYTH-095	八岐大蛇=製鉄民征服譚説	出雲	SHR-025|SHR-026	-	DEI-002	ヤマタノオロチを製鉄渡来民とする仮説	製鉄/征服	大胆仮説	HYP-002	古代在地製鉄証拠不在(L4)	-	-	IZM-089連結
MYTH-096	翡翠ロード神話	出雲・諏訪・越	-	-	DEI-022|DEI-010	糸魚川産翡翠が出雲・諏訪に運ばれた交易記憶	交易/記憶	学術仮説	HYP-006	縄文期翡翠交易の物的証拠あり(L3)	-	出雲—諏訪—越の連携	IZM-013/072連結
MYTH-097	諏訪神党の全国展開	全国	SHR-006|多数	CLN-017	DEI-010	武家化した諏訪氏が全国に諏訪神社を勧請	武家信仰拡散	中世神道	諏訪大明神絵詞	中世武家信仰の地方拡散(L1)	-	武家氏神信仰	全国諏訪神社5000社以上
MYTH-098	全国八幡信仰	全国	SHR-016|多数	-	DEI-035	宇佐から全国へ八幡信仰が拡散	祭祀拡散	社伝	諸八幡社縁起	八幡=応神=軍神の全国展開(L1)	-	武家氏神(石清水・鶴岡等)	全国八幡神社4万社以上
MYTH-099	全国稲荷信仰(秦氏祖)	全国	SHR-035|多数	CLN-022	DEI-032	秦氏の伏見稲荷から全国へ拡散	祭祀拡散	社伝|地方伝承	伏見稲荷大社社伝	秦氏の経済力と一体(L1)	-	商工業守護神	全国稲荷社3万社以上
MYTH-100	御霊信仰の起源(平将門等)	関東・京都	SHR-019	-	-	非業の死者を神として祀る	御霊/怨霊	地方伝承|社伝	諸社伝	平安末〜中世の御霊信仰(L1)	祟りを鎮める祭祀	武士・庶民信仰	平将門・菅原道真・崇徳上皇など
MYTH-101	斐伊川氾濫=オロチ説	出雲	-	-	DEI-002	八岐大蛇は斐伊川氾濫の擬人化	自然災害/擬人化	学術仮説	HYP-002	出雲の地理を反映(L2)	-	-	製鉄説と並ぶ解釈
